# frequency_cm-1 intensity_x intensity_y intensity_z intensity_total
0.000000000000000000e+00 1.058726079122749231e-06 1.058726079122742031e-06 1.224186204991558028e-05 1.435931420816107239e-05
4.883871172269451666e-01 1.059756593307031005e-06 1.059756593307024017e-06 1.225183042877467855e-05 1.437134361538873336e-05
9.767742344538903332e-01 1.060789008807224317e-06 1.060789008807216906e-06 1.226181249520484240e-05 1.438339051281928383e-05
1.465161351680835500e+00 1.061823332205114618e-06 1.061823332205107418e-06 1.227180828046594302e-05 1.439545494487616463e-05
1.953548468907780666e+00 1.062859570122981671e-06 1.062859570122974260e-06 1.228181781593695631e-05 1.440753695618291288e-05
2.441935586134725611e+00 1.063897729223971616e-06 1.063897729223964417e-06 1.229184113311666589e-05 1.441963659156460192e-05
2.930322703361671000e+00 1.064937816212481521e-06 1.064937816212474533e-06 1.230187826362433225e-05 1.443175389604928809e-05
3.418709820588616388e+00 1.065979837834545416e-06 1.065979837834538217e-06 1.231192923920041784e-05 1.444388891486950147e-05
3.907096937815561333e+00 1.067023800878224567e-06 1.067023800878217791e-06 1.232199409170728669e-05 1.445604169346372989e-05
4.395484055042506277e+00 1.068069712174003883e-06 1.068069712173996895e-06 1.233207285312990240e-05 1.446821227747790296e-05
4.883871172269451222e+00 1.069117578595192353e-06 1.069117578595185153e-06 1.234216555557655654e-05 1.448040071276693362e-05
5.372258289496397055e+00 1.070167407058328142e-06 1.070167407058321154e-06 1.235227223127958868e-05 1.449260704539623777e-05
5.860645406723341999e+00 1.071219204523590456e-06 1.071219204523583468e-06 1.236239291259610973e-05 1.450483132164328428e-05
6.349032523950286944e+00 1.072272977995213955e-06 1.072272977995206755e-06 1.237252763200873544e-05 1.451707358799915530e-05
6.837419641177232776e+00 1.073328734521910577e-06 1.073328734521903165e-06 1.238267642212633016e-05 1.452933389117014369e-05
7.325806758404177721e+00 1.074386481197293899e-06 1.074386481197286699e-06 1.239283931568475557e-05 1.454161227807933702e-05
7.814193875631122665e+00 1.075446225160312608e-06 1.075446225160305408e-06 1.240301634554759238e-05 1.455390879586820997e-05
8.302580992858068498e+00 1.076507973595685239e-06 1.076507973595678039e-06 1.241320754470693651e-05 1.456622349189829979e-05
8.790968110085012555e+00 1.077571733734343386e-06 1.077571733734336398e-06 1.242341294628413771e-05 1.457855641375281729e-05
9.279355227311958387e+00 1.078637512853879147e-06 1.078637512853871948e-06 1.243363258353057041e-05 1.459090760923832235e-05
9.767742344538902444e+00 1.079705318278998076e-06 1.079705318278990876e-06 1.244386648982841122e-05 1.460327712638639932e-05
1.025612946176584828e+01 1.080775157381978271e-06 1.080775157381971071e-06 1.245411469869141655e-05 1.461566501345536631e-05
1.074451657899279411e+01 1.081847037583135188e-06 1.081847037583127989e-06 1.246437724376570865e-05 1.462807131893197098e-05
1.123290369621973817e+01 1.082920966351291531e-06 1.082920966351284543e-06 1.247465415883057522e-05 1.464049609153315066e-05
1.172129081344668400e+01 1.083996951204256248e-06 1.083996951204249048e-06 1.248494547779926050e-05 1.465293938020776537e-05
1.220967793067362983e+01 1.085074999709302892e-06 1.085074999709295692e-06 1.249525123471976662e-05 1.466540123413836478e-05
1.269806504790057389e+01 1.086155119483662386e-06 1.086155119483655398e-06 1.250557146377567348e-05 1.467788170274299063e-05
1.318645216512751972e+01 1.087237318195016206e-06 1.087237318195008794e-06 1.251590619928696040e-05 1.469038083567698603e-05
1.367483928235446555e+01 1.088321603561997187e-06 1.088321603561989988e-06 1.252625547571081585e-05 1.470289868283480302e-05
1.416322639958140961e+01 1.089407983354698595e-06 1.089407983354691395e-06 1.253661932764248791e-05 1.471543529435187790e-05
1.465161351680835544e+01 1.090496465395186787e-06 1.090496465395179799e-06 1.254699778981609573e-05 1.472799072060646253e-05
1.514000063403529950e+01 1.091587057558024896e-06 1.091587057558017696e-06 1.255739089710550870e-05 1.474056501222155045e-05
1.562838775126224533e+01 1.092679767770795445e-06 1.092679767770788457e-06 1.256779868452515965e-05 1.475315822006674377e-05
1.611677486848919116e+01 1.093774604014640334e-06 1.093774604014633346e-06 1.257822118723093252e-05 1.476577039526020642e-05
1.660516198571613700e+01 1.094871574324798068e-06 1.094871574324791291e-06 1.258865844052101110e-05 1.477840158917060046e-05
1.709354910294307928e+01 1.095970686791154117e-06 1.095970686791146918e-06 1.259911047983675823e-05 1.479105185341905968e-05
1.758193622017002511e+01 1.097071949558795939e-06 1.097071949558788951e-06 1.260957734076359333e-05 1.480372123988117843e-05
1.807032333739697094e+01 1.098175370828575190e-06 1.098175370828568414e-06 1.262005905903187334e-05 1.481640980068901737e-05
1.855871045462391677e+01 1.099280958857679478e-06 1.099280958857672278e-06 1.263055567051779225e-05 1.482911758823314316e-05
1.904709757185086261e+01 1.100388721960207072e-06 1.100388721960200084e-06 1.264106721124428403e-05 1.484184465516469182e-05
1.953548468907780489e+01 1.101498668507755378e-06 1.101498668507748390e-06 1.265159371738191032e-05 1.485459105439741514e-05
2.002387180630475072e+01 1.102610806930011958e-06 1.102610806930004758e-06 1.266213522524981252e-05 1.486735683910982881e-05
2.051225892353169655e+01 1.103725145715354861e-06 1.103725145715347662e-06 1.267269177131658929e-05 1.488014206274729096e-05
2.100064604075864239e+01 1.104841693411462493e-06 1.104841693411455293e-06 1.268326339220126556e-05 1.489294677902418420e-05
2.148903315798558822e+01 1.105960458625930248e-06 1.105960458625923049e-06 1.269385012467420397e-05 1.490577104192605684e-05
2.197742027521253405e+01 1.107081450026895205e-06 1.107081450026888005e-06 1.270445200565806365e-05 1.491861490571184728e-05
2.246580739243947633e+01 1.108204676343668642e-06 1.108204676343661654e-06 1.271506907222875402e-05 1.493147842491608453e-05
2.295419450966642216e+01 1.109330146367380207e-06 1.109330146367373219e-06 1.272570136161638518e-05 1.494436165435113797e-05
2.344258162689336800e+01 1.110457868951625476e-06 1.110457868951618488e-06 1.273634891120624194e-05 1.495726464910948569e-05
2.393096874412031383e+01 1.111587853013127274e-06 1.111587853013120074e-06 1.274701175853976643e-05 1.497018746456601335e-05
2.441935586134725966e+01 1.112720107532402286e-06 1.112720107532395086e-06 1.275768994131553892e-05 1.498313015638033672e-05
2.490774297857420194e+01 1.113854641554438477e-06 1.113854641554431489e-06 1.276838349739025536e-05 1.499609278049912427e-05
2.539613009580114777e+01 1.114991464189382879e-06 1.114991464189375891e-06 1.277909246477976577e-05 1.500907539315852476e-05
2.588451721302809361e+01 1.116130584613234043e-06 1.116130584613226843e-06 1.278981688166003482e-05 1.502207805088649656e-05
2.637290433025503944e+01 1.117272012068549944e-06 1.117272012068542956e-06 1.280055678636820061e-05 1.503510081050529287e-05
2.686129144748198527e+01 1.118415755865161185e-06 1.118415755865153985e-06 1.281131221740358432e-05 1.504814372913389949e-05
2.734967856470893111e+01 1.119561825380895421e-06 1.119561825380888221e-06 1.282208321342872023e-05 1.506120686419050472e-05
2.783806568193587339e+01 1.120710230062311736e-06 1.120710230062304536e-06 1.283286981327041110e-05 1.507429027339502695e-05
2.832645279916281922e+01 1.121860979425445822e-06 1.121860979425438622e-06 1.284367205592076665e-05 1.508739401477165067e-05
2.881483991638976505e+01 1.123014083056563203e-06 1.123014083056556003e-06 1.285448998053827926e-05 1.510051814665139805e-05
2.930322703361671088e+01 1.124169550612925795e-06 1.124169550612918595e-06 1.286532362644888620e-05 1.511366272767473102e-05
2.979161415084365672e+01 1.125327391823566314e-06 1.125327391823558903e-06 1.287617303314704192e-05 1.512682781679416693e-05
3.028000126807059900e+01 1.126487616490075375e-06 1.126487616490068387e-06 1.288703824029681415e-05 1.514001347327695855e-05
3.076838838529754483e+01 1.127650234487398975e-06 1.127650234487391775e-06 1.289791928773297994e-05 1.515321975670777069e-05
3.125677550252449066e+01 1.128815255764646988e-06 1.128815255764639788e-06 1.290881621546213528e-05 1.516644672699142120e-05
3.174516261975143649e+01 1.129982690345911608e-06 1.129982690345904408e-06 1.291972906366380301e-05 1.517969444435561860e-05
3.223354973697838233e+01 1.131152548331100619e-06 1.131152548331093419e-06 1.293065787269156110e-05 1.519296296935375556e-05
3.272193685420532461e+01 1.132324839896779346e-06 1.132324839896771934e-06 1.294160268307417933e-05 1.520625236286773124e-05
3.321032397143227399e+01 1.133499575297024887e-06 1.133499575297017687e-06 1.295256353551675940e-05 1.521956268611080239e-05
3.369871108865921627e+01 1.134676764864294957e-06 1.134676764864287757e-06 1.296354047090189369e-05 1.523289400063047683e-05
3.418709820588615855e+01 1.135856419010303720e-06 1.135856419010296521e-06 1.297453353029082570e-05 1.524624636831142552e-05
3.467548532311310794e+01 1.137038548226917317e-06 1.137038548226910329e-06 1.298554275492462910e-05 1.525961985137845738e-05
3.516387244034005022e+01 1.138223163087055105e-06 1.138223163087048117e-06 1.299656818622537155e-05 1.527301451239947540e-05
3.565225955756699960e+01 1.139410274245608901e-06 1.139410274245601489e-06 1.300760986579734290e-05 1.528643041428855308e-05
3.614064667479394188e+01 1.140599892440370697e-06 1.140599892440363709e-06 1.301866783542822584e-05 1.529986762030896173e-05
3.662903379202088416e+01 1.141792028492979641e-06 1.141792028492972441e-06 1.302974213709033756e-05 1.531332619407629092e-05
3.711742090924783355e+01 1.142986693309877065e-06 1.142986693309870289e-06 1.304083281294183092e-05 1.532680619956157912e-05
3.760580802647477583e+01 1.144183897883277825e-06 1.144183897883270625e-06 1.305193990532795140e-05 1.534030770109449858e-05
3.809419514370172521e+01 1.145383653292154971e-06 1.145383653292147983e-06 1.306306345678226195e-05 1.535383076336656384e-05
3.858258226092866749e+01 1.146585970703240096e-06 1.146585970703233108e-06 1.307420351002791856e-05 1.536737545143439113e-05
3.907096937815560977e+01 1.147790861372035965e-06 1.147790861372028765e-06 1.308536010797893411e-05 1.538094183072299842e-05
3.955935649538255916e+01 1.148998336643845020e-06 1.148998336643837821e-06 1.309653329374143193e-05 1.539452996702911561e-05
4.004774361260950144e+01 1.150208407954813991e-06 1.150208407954806792e-06 1.310772311061498241e-05 1.540813992652460319e-05
4.053613072983645083e+01 1.151421086832991409e-06 1.151421086832984209e-06 1.311892960209386004e-05 1.542177177575983693e-05
4.102451784706339311e+01 1.152636384899402283e-06 1.152636384899394872e-06 1.313015281186839185e-05 1.543542558166718752e-05
4.151290496429034249e+01 1.153854313869137808e-06 1.153854313869130820e-06 1.314139278382624830e-05 1.544910141156451714e-05
4.200129208151728477e+01 1.155074885552462858e-06 1.155074885552455658e-06 1.315264956205380192e-05 1.546279933315872001e-05
4.248967919874422705e+01 1.156298111855936191e-06 1.156298111855928991e-06 1.316392319083746563e-05 1.547651941454933081e-05
4.297806631597117644e+01 1.157524004783551187e-06 1.157524004783543987e-06 1.317521371466505307e-05 1.549026172423214655e-05
4.346645343319811872e+01 1.158752576437890355e-06 1.158752576437882944e-06 1.318652117822715246e-05 1.550402633110292640e-05
4.395484055042506810e+01 1.159983839021300170e-06 1.159983839021292758e-06 1.319784562641850733e-05 1.551781330446109835e-05
4.444322766765201038e+01 1.161217804837080091e-06 1.161217804837072892e-06 1.320918710433939541e-05 1.553162271401354713e-05
4.493161478487895266e+01 1.162454486290692553e-06 1.162454486290685353e-06 1.322054565729707205e-05 1.554545462987844953e-05
4.542000190210590205e+01 1.163693895890987559e-06 1.163693895890980359e-06 1.323192133080716435e-05 1.555930912258913354e-05
4.590838901933284433e+01 1.164936046251449517e-06 1.164936046251442317e-06 1.324331417059510106e-05 1.557318626309799162e-05
4.639677613655979371e+01 1.166180950091459742e-06 1.166180950091452542e-06 1.325472422259758291e-05 1.558708612278049562e-05
4.688516325378673599e+01 1.167428620237580555e-06 1.167428620237573143e-06 1.326615153296400574e-05 1.560100877343915753e-05
4.737355037101367827e+01 1.168679069624855058e-06 1.168679069624847858e-06 1.327759614805796304e-05 1.561495428730766638e-05
4.786193748824062766e+01 1.169932311298132741e-06 1.169932311298125541e-06 1.328905811445871138e-05 1.562892273705497094e-05
4.835032460546756994e+01 1.171188358413408638e-06 1.171188358413401438e-06 1.330053747896267981e-05 1.564291419578949115e-05
4.883871172269451932e+01 1.172447224239186628e-06 1.172447224239179428e-06 1.331203428858496228e-05 1.565692873706332961e-05
4.932709883992146160e+01 1.173708922157864548e-06 1.173708922157857560e-06 1.332354859056086781e-05 1.567096643487658801e-05
4.981548595714840388e+01 1.174973465667137299e-06 1.174973465667130099e-06 1.333508043234744167e-05 1.568502736368171076e-05
5.030387307437535327e+01 1.176240868381423041e-06 1.176240868381415841e-06 1.334662986162501719e-05 1.569911159838785565e-05
5.079226019160229555e+01 1.177511144033312040e-06 1.177511144033304840e-06 1.335819692629879122e-05 1.571321921436540683e-05
5.128064730882924493e+01 1.178784306475038603e-06 1.178784306475031192e-06 1.336978167450039795e-05 1.572735028745046753e-05
5.176903442605618721e+01 1.180060369679971642e-06 1.180060369679964654e-06 1.338138415458950297e-05 1.574150489394944075e-05
5.225742154328312949e+01 1.181339347744134037e-06 1.181339347744126626e-06 1.339300441515541441e-05 1.575568311064367443e-05
5.274580866051007888e+01 1.182621254887742125e-06 1.182621254887734926e-06 1.340464250501870575e-05 1.576988501479418110e-05
5.323419577773702116e+01 1.183906105456769529e-06 1.183906105456762117e-06 1.341629847323285407e-05 1.578411068414638466e-05
5.372258289496397055e+01 1.185193913924536191e-06 1.185193913924528991e-06 1.342797236908589004e-05 1.579836019693495522e-05
5.421097001219091283e+01 1.186484694893323670e-06 1.186484694893316682e-06 1.343966424210206655e-05 1.581263363188870839e-05
5.469935712941786221e+01 1.187778463096011815e-06 1.187778463096004616e-06 1.345137414204355791e-05 1.582693106823557561e-05
5.518774424664480449e+01 1.189075233397746578e-06 1.189075233397739167e-06 1.346310211891213692e-05 1.584125258570762203e-05
5.567613136387174677e+01 1.190375020797629628e-06 1.190375020797622428e-06 1.347484822295089099e-05 1.585559826454614220e-05
5.616451848109869616e+01 1.191677840430437197e-06 1.191677840430429997e-06 1.348661250464597550e-05 1.586996818550684397e-05
5.665290559832563844e+01 1.192983707568366234e-06 1.192983707568359035e-06 1.349839501472832819e-05 1.588436242986505261e-05
5.714129271555258782e+01 1.194292637622807040e-06 1.194292637622799840e-06 1.351019580417545469e-05 1.589878107942106072e-05
5.762967983277953010e+01 1.195604646146145957e-06 1.195604646146138546e-06 1.352201492421320562e-05 1.591322421650549161e-05
5.811806695000647238e+01 1.196919748833594756e-06 1.196919748833587556e-06 1.353385242631754348e-05 1.592769192398472706e-05
5.860645406723342177e+01 1.198237961525053254e-06 1.198237961525045843e-06 1.354570836221639428e-05 1.594218428526649443e-05
5.909484118446036405e+01 1.199559300206996725e-06 1.199559300206989525e-06 1.355758278389145170e-05 1.595670138430543668e-05
5.958322830168731343e+01 1.200883781014398443e-06 1.200883781014391243e-06 1.356947574358002534e-05 1.597124330560881461e-05
6.007161541891425571e+01 1.202211420232681042e-06 1.202211420232673842e-06 1.358138729377691097e-05 1.598581013424226670e-05
6.056000253614119799e+01 1.203542234299699414e-06 1.203542234299692214e-06 1.359331748723626073e-05 1.600040195583565363e-05
6.104838965336814738e+01 1.204876239807757712e-06 1.204876239807750513e-06 1.360526637697348395e-05 1.601501885658899091e-05
6.153677677059508966e+01 1.206213453505656837e-06 1.206213453505649637e-06 1.361723401626715968e-05 1.602966092327846615e-05
6.202516388782203904e+01 1.207553892300778561e-06 1.207553892300771361e-06 1.362922045866099167e-05 1.604432824326254117e-05
6.251355100504898132e+01 1.208897573261199513e-06 1.208897573261192313e-06 1.364122575796570744e-05 1.605902090448809799e-05
6.300193812227592360e+01 1.210244513617844972e-06 1.210244513617837772e-06 1.365324996826108773e-05 1.607373899549677132e-05
6.349032523950287299e+01 1.211594730766674420e-06 1.211594730766667220e-06 1.366529314389792148e-05 1.608848260543126397e-05
6.397871235672981527e+01 1.212948242270905007e-06 1.212948242270897807e-06 1.367735533950001498e-05 1.610325182404181822e-05
6.446709947395676465e+01 1.214305065863271645e-06 1.214305065863264234e-06 1.368943660996622476e-05 1.611804674169276170e-05
6.495548659118371404e+01 1.215665219448324163e-06 1.215665219448316964e-06 1.370153701047249554e-05 1.613286744936913794e-05
6.544387370841064921e+01 1.217028721104764058e-06 1.217028721104756858e-06 1.371365659647393715e-05 1.614771403868345891e-05
6.593226082563759860e+01 1.218395589087818515e-06 1.218395589087811315e-06 1.372579542370688623e-05 1.616258660188251521e-05
6.642064794286454799e+01 1.219765841831656358e-06 1.219765841831649159e-06 1.373795354819104072e-05 1.617748523185434539e-05
6.690903506009148316e+01 1.221139497951842121e-06 1.221139497951834921e-06 1.375013102623154701e-05 1.619241002213522574e-05
6.739742217731843255e+01 1.222516576247833937e-06 1.222516576247826526e-06 1.376232791442117673e-05 1.620736106691683613e-05
6.788580929454538193e+01 1.223897095705523379e-06 1.223897095705516180e-06 1.377454426964247149e-05 1.622233846105351063e-05
6.837419641177231711e+01 1.225281075499815725e-06 1.225281075499808737e-06 1.378678014906993841e-05 1.623734230006956266e-05
6.886258352899926649e+01 1.226668534997258093e-06 1.226668534997250893e-06 1.379903561017225065e-05 1.625237268016675922e-05
6.935097064622621588e+01 1.228059493758708230e-06 1.228059493758701242e-06 1.381131071071447685e-05 1.626742969823188653e-05
6.983935776345316526e+01 1.229453971542053698e-06 1.229453971542046498e-06 1.382360550876033421e-05 1.628251345184443440e-05
7.032774488068010044e+01 1.230851988304972570e-06 1.230851988304965582e-06 1.383592006267443992e-05 1.629762403928437870e-05
7.081613199790704982e+01 1.232253564207745363e-06 1.232253564207738163e-06 1.384825443112464049e-05 1.631276155954012317e-05
7.130451911513399921e+01 1.233658719616113563e-06 1.233658719616106787e-06 1.386060867308428859e-05 1.632792611231650894e-05
7.179290623236093438e+01 1.235067475104188553e-06 1.235067475104181565e-06 1.387298284783459779e-05 1.634311779804296981e-05
7.228129334958788377e+01 1.236479851457410928e-06 1.236479851457403728e-06 1.388537701496700407e-05 1.635833671788181957e-05
7.276968046681483315e+01 1.237895869675559581e-06 1.237895869675552593e-06 1.389779123438554602e-05 1.637358297373665798e-05
7.325806758404176833e+01 1.239315550975815850e-06 1.239315550975808650e-06 1.391022556630926530e-05 1.638885666826088853e-05
7.374645470126871771e+01 1.240738916795879321e-06 1.240738916795872333e-06 1.392268007127464613e-05 1.640415790486639884e-05
7.423484181849566710e+01 1.242165988797138700e-06 1.242165988797131712e-06 1.393515481013805809e-05 1.641948678773232914e-05
7.472322893572261648e+01 1.243596788867899221e-06 1.243596788867892233e-06 1.394764984407824472e-05 1.643484342181403724e-05
7.521161605294955166e+01 1.245031339126665319e-06 1.245031339126658119e-06 1.396016523459881213e-05 1.645022791285213472e-05
7.570000317017650104e+01 1.246469661925483238e-06 1.246469661925476038e-06 1.397270104353076666e-05 1.646564036738172636e-05
7.618839028740345043e+01 1.247911779853340593e-06 1.247911779853333817e-06 1.398525733303505602e-05 1.648108089274173086e-05
7.667677740463038560e+01 1.249357715739629469e-06 1.249357715739622269e-06 1.399783416560515443e-05 1.649654959708440489e-05
7.716516452185733499e+01 1.250807492657667955e-06 1.250807492657660967e-06 1.401043160406965958e-05 1.651204658938498914e-05
