mode,frequency_cm-1,Zmode_x,Zmode_y,Zmode_z,intensity_x,intensity_y,intensity_z,intensity_total
5,47.919362817993246,4.780987191779494e-15,3.885780586188048e-16,-8.365540780611586e-15,2.2857838527959568e-29,1.509929076399593e-31,6.998227255207551e-29,9.299110398767504e-29
6,48.31024167726061,2.4381525749359815e-15,-2.135039180068288e-15,-2.6148125934465175e-05,5.944587978666957e-30,4.5583923004266676e-30,6.837244898846503e-10,6.837244898846503e-10
7,126.54403567750862,-2.7697724833996483e-05,5.6403044646028335e-15,3.340426893427839e-16,7.671639609797855e-10,3.1813034453418656e-29,1.1158451830335964e-31,7.671639609797855e-10
8,126.58040488797087,-5.913492565293913e-15,-4.0933677448201644e-05,-1.9477323928828813e-14,3.4969394319786384e-29,1.6755659494334119e-09,3.7936614742852745e-28,1.6755659494334119e-09
9,180.35139813957562,6.353814908345998e-13,0.031178380505709043,-1.552592171769089e-14,4.0370963889519867e-25,0.0009720914109587777,2.4105424518386567e-28,0.0009720914109587777
10,180.3793851978758,-0.031177676316070334,6.420400977334727e-13,-1.0880185641326534e-14,0.0009720475004696531,4.1221548709760723e-25,1.1837843958972808e-28,0.0009720475004696531
11,213.20125162388177,2.9820065958630765e-15,1.7633426518461423e-16,-0.00010163840599191883,8.892363337770894e-30,3.1093773078197853e-32,1.033036557257812e-08,1.033036557257812e-08
12,213.21737593879033,-2.751220396981083e-15,-3.7643499428696714e-16,-1.5480589797307992e-14,7.569213672764749e-30,1.4170330492382898e-31,2.396486604725163e-28,2.4735957745020487e-28
13,282.23748363609604,-3.638175915046671e-16,5.960130392695939e-16,-0.13458569722911443,1.323632398882568e-31,3.552315429793785e-31,0.01811330989864686,0.01811330989864686
14,285.01412838411034,9.364316843181758e-06,-1.125354844711381e-15,3.822419811227995e-14,8.769042993949755e-11,1.2664235265153764e-30,1.4610893213268261e-27,8.769042993949755e-11
15,285.0334003799389,-1.0482202128861418e-15,2.8220909075763042e-05,1.3656610564627414e-14,1.0987656147030683e-30,7.964197090624848e-10,1.865030121138931e-28,7.964197090624848e-10
