# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 2.0199584968e+02 -1.7110980125e-13 1.7562838143e-13 -1.7110980125e-13 2.0199660111e+02 -1.6035680114e-13 1.7562838143e-13 -1.6035680114e-13 4.2992581638e+02
0.50569725 2.0199585597e+02 -1.7111029952e-13 1.7562922099e-13 -1.7111029952e-13 2.0199660740e+02 -1.6035810227e-13 1.7562922099e-13 -1.6035810227e-13 4.2992584620e+02
1.01139449 2.0199587481e+02 -1.7111179438e-13 1.7563173972e-13 -1.7111179438e-13 2.0199662625e+02 -1.6036200573e-13 1.7563173972e-13 -1.6036200573e-13 4.2992593565e+02
1.51709174 2.0199590623e+02 -1.7111428598e-13 1.7563593774e-13 -1.7111428598e-13 2.0199665767e+02 -1.6036851181e-13 1.7563593774e-13 -1.6036851181e-13 4.2992608474e+02
2.02278899 2.0199595021e+02 -1.7111777454e-13 1.7564181529e-13 -1.7111777454e-13 2.0199670167e+02 -1.6037762093e-13 1.7564181529e-13 -1.6037762093e-13 4.2992629347e+02
2.52848624 2.0199600675e+02 -1.7112226039e-13 1.7564937268e-13 -1.7112226039e-13 2.0199675824e+02 -1.6038933370e-13 1.7564937268e-13 -1.6038933370e-13 4.2992656184e+02
3.03418348 2.0199607587e+02 -1.7112774395e-13 1.7565861031e-13 -1.7112774395e-13 2.0199682738e+02 -1.6040365092e-13 1.7565861031e-13 -1.6040365092e-13 4.2992688986e+02
3.53988073 2.0199615757e+02 -1.7113422574e-13 1.7566952866e-13 -1.7113422574e-13 2.0199690910e+02 -1.6042057356e-13 1.7566952866e-13 -1.6042057356e-13 4.2992727752e+02
4.04557798 2.0199625184e+02 -1.7114170635e-13 1.7568212831e-13 -1.7114170635e-13 2.0199700340e+02 -1.6044010274e-13 1.7568212831e-13 -1.6044010274e-13 4.2992772484e+02
4.55127522 2.0199635869e+02 -1.7115018651e-13 1.7569640991e-13 -1.7115018651e-13 2.0199711029e+02 -1.6046223977e-13 1.7569640991e-13 -1.6046223977e-13 4.2992823182e+02
5.05697247 2.0199647813e+02 -1.7115966699e-13 1.7571237421e-13 -1.7115966699e-13 2.0199722977e+02 -1.6048698613e-13 1.7571237421e-13 -1.6048698613e-13 4.2992879846e+02
5.56266972 2.0199661017e+02 -1.7117014869e-13 1.7573002203e-13 -1.7117014869e-13 2.0199736185e+02 -1.6051434346e-13 1.7573002203e-13 -1.6051434346e-13 4.2992942477e+02
6.06836697 2.0199675479e+02 -1.7118163259e-13 1.7574935427e-13 -1.7118163259e-13 2.0199750652e+02 -1.6054431359e-13 1.7574935427e-13 -1.6054431359e-13 4.2993011077e+02
6.57406421 2.0199691203e+02 -1.7119411977e-13 1.7577037190e-13 -1.7119411977e-13 2.0199766381e+02 -1.6057689849e-13 1.7577037190e-13 -1.6057689849e-13 4.2993085644e+02
7.07976146 2.0199708187e+02 -1.7120761141e-13 1.7579307598e-13 -1.7120761141e-13 2.0199783371e+02 -1.6061210030e-13 1.7579307598e-13 -1.6061210030e-13 4.2993166182e+02
