mode,frequency_cm-1,activity_normalized,depolarization_ratio,Rxx,Rxy,Rxz,Ryx,Ryy,Ryz,Rzx,Rzy,Rzz
5,47.919362817993246,0.860327530105958,0.7499999999999999,0.0,0.18320814635236443,-5.885226997726036e-12,0.18320814635236443,0.0,-2.1906948280135052e-07,-5.885226997726036e-12,-2.1906948280135052e-07,0.0
6,48.31024167726061,0.8468954584306108,0.7499798396851731,0.18391334367725898,1.3353550631590839e-12,1.7428898184591467e-06,1.3353550631590839e-12,-0.18244203692763444,8.413928192907629e-07,1.7428898184591467e-06,8.413928192907629e-07,0.0
7,126.54403567750862,3.1666643258826955e-08,0.75,0.0,3.366039396946287e-06,8.56301558076517e-05,3.366039396946287e-06,0.0,1.912698774245749e-11,8.56301558076517e-05,1.912698774245749e-11,0.0
8,126.58040488797087,2.8029194765801374e-08,0.75,0.0,-2.157271593978981e-06,1.0299147246172693e-13,-2.157271593978981e-06,0.0,8.061580998802469e-05,1.0299147246172693e-13,8.061580998802469e-05,0.0
9,180.35139813957562,0.023859952075995082,0.75,0.0,-1.0175210250588162e-06,-1.471306749431509e-12,-1.0175210250588162e-06,0.0,0.10072209950288342,-1.471306749431509e-12,0.10072209950288342,0.0
10,180.3793851978758,0.02385442687532586,0.7500000000000001,0.0,-7.576342561537369e-08,-0.1007234531050929,-7.576342561537369e-08,0.0,8.827840496474958e-13,-0.1007234531050929,8.827840496474958e-13,0.0
11,213.20125162388177,9.038214907889092e-13,0.75,0.0,-1.5383335996954134e-12,-5.080797388964522e-07,-1.5383335996954134e-12,0.0,-4.976783358314351e-07,-5.080797388964522e-07,-4.976783358314351e-07,0.0
12,213.21737593879033,3.46756760142601e-10,0.75,0.0,1.393039262707475e-05,0.0,1.393039262707475e-05,0.0,1.796302225991276e-07,0.0,1.796302225991276e-07,0.0
13,282.23748363609604,0.2683973914577048,0.006717499880321993,-0.2927900431344472,-9.331788070404035e-12,2.088770052947511e-07,-9.331788070404035e-12,-0.2927900431344472,3.2105973101769295e-07,2.088770052947511e-07,3.2105973101769295e-07,-0.3972528223430885
14,285.01412838411034,4.3339188773715347e-11,0.75,0.0,2.8284405364748932e-06,-5.503945210097392e-06,2.8284405364748932e-06,0.0,1.4713067498878978e-13,-5.503945210097392e-06,1.4713067498878978e-13,0.0
