# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 6.938061782392628690e-03
5.056972470857378221e-01 7.084234447976302772e-03
1.011394494171475644e+00 7.235090594302186900e-03
1.517091741257213577e+00 7.390832140793252882e-03
2.022788988342951289e+00 7.551671980732999404e-03
2.528486235428689000e+00 7.717834702911935928e-03
3.034183482514427155e+00 7.889557369098069983e-03
3.539880729600164866e+00 8.067090352307172002e-03
4.045577976685902577e+00 8.250698241351994699e-03
4.551275223771640732e+00 8.440660817709395858e-03
5.056972470857377999e+00 8.637274111368694121e-03
5.562669717943116154e+00 8.840851543020876793e-03
6.068366965028854310e+00 9.051725160726362823e-03
6.574064212114591577e+00 9.270246980069082529e-03
7.079761459200329732e+00 9.496790437779109584e-03
7.585458706286066999e+00 9.731751969898241872e-03
8.091155953371805154e+00 9.975552726789779778e-03
8.596853200457543309e+00 1.022864043867186164e-02
9.102550447543281464e+00 1.049149144690566214e-02
9.608247694629017843e+00 1.076461291801867129e-02
1.011394494171475600e+01 1.104854525941708666e-02
1.061964218880049415e+01 1.134386475797246989e-02
1.112533943588623231e+01 1.165118646519332050e-02
1.163103668297197046e+01 1.197116735555470851e-02
1.213673393005770862e+01 1.230450978780942180e-02
1.264243117714344500e+01 1.265196530279936310e-02
1.314812842422918315e+01 1.301433879549483523e-02
1.365382567131492131e+01 1.339249310379002009e-02
1.415952291840065946e+01 1.378735406206880836e-02
1.466522016548639762e+01 1.419991607383311316e-02
1.517091741257213400e+01 1.463124826488480974e-02
1.567661465965787215e+01 1.508250128681974320e-02
1.618231190674361031e+01 1.555491485010637720e-02
1.668800915382934846e+01 1.604982607698856450e-02
1.719370640091508662e+01 1.656867877711978854e-02
1.769940364800082477e+01 1.711303376349525979e-02
1.820510089508656293e+01 1.768458034324755720e-02
1.871079814217230108e+01 1.828514913762355198e-02
1.921649538925803569e+01 1.891672640845928205e-02
1.972219263634377384e+01 1.958147009530773752e-02
2.022788988342951200e+01 2.028172779875968279e-02
2.073358713051525015e+01 2.102005698228566824e-02
2.123928437760098831e+01 2.179924770814446397e-02
2.174498162468672646e+01 2.262234827379585797e-02
2.225067887177246462e+01 2.349269417532894033e-02
2.275637611885820277e+01 2.441394089550421795e-02
2.326207336594394093e+01 2.539010109833918227e-02
2.376777061302967908e+01 2.642558691246790770e-02
2.427346786011541724e+01 2.752525810511422324e-02
2.477916510720115184e+01 2.869447709153336024e-02
2.528486235428689000e+01 2.993917189624761832e-02
2.579055960137262815e+01 3.126590838855769494e-02
2.629625684845836631e+01 3.268197336337164138e-02
2.680195409554410446e+01 3.419547033893122201e-02
2.730765134262984262e+01 3.581543030745256567e-02
2.781334858971558077e+01 3.755194011789841219e-02
2.831904583680131893e+01 3.941629171065687276e-02
2.882474308388705708e+01 4.142115608510803931e-02
2.933044033097279524e+01 4.358078669216106787e-02
2.983613757805852984e+01 4.591125794160639401e-02
3.034183482514426800e+01 4.843074574482664901e-02
3.084753207223000615e+01 5.115985853530855693e-02
3.135322931931574431e+01 5.412202909582643912e-02
3.185892656640148246e+01 5.734397986425761318e-02
3.236462381348722062e+01 6.085627730513935157e-02
3.287032106057295522e+01 6.469399456501394308e-02
3.337601830765869693e+01 6.889750615378112397e-02
3.388171555474443153e+01 7.351344402773619946e-02
3.438741280183017324e+01 7.859585145006017792e-02
3.489311004891590784e+01 8.420757966693367957e-02
3.539880729600164955e+01 9.042198308118319650e-02
3.590450454308738415e+01 9.732498153337935942e-02
3.641020179017312586e+01 1.050175737135652515e-01
3.691589903725886046e+01 1.136189035510446754e-01
3.742159628434460217e+01 1.232700009821344478e-01
3.792729353143033677e+01 1.341383378608591859e-01
3.843299077851607137e+01 1.464233546605604175e-01
3.893868802560181308e+01 1.603631152674069860e-01
3.944438527268754768e+01 1.762422186879402941e-01
3.995008251977328939e+01 1.944010063235691033e-01
4.045577976685902399e+01 2.152458941989753849e-01
4.096147701394476570e+01 2.392602292432643163e-01
4.146717426103050030e+01 2.670142413860724928e-01
4.197287150811624201e+01 2.991711461435359043e-01
4.247856875520197661e+01 3.364837869930778491e-01
4.298426600228771832e+01 3.797717484688470369e-01
4.348996324937345292e+01 4.298619120296541252e-01
4.399566049645918753e+01 4.874657612297645937e-01
4.450135774354492924e+01 5.529562947212284252e-01
4.500705499063066384e+01 6.260038404925271083e-01
4.551275223771640555e+01 7.050524904621516820e-01
4.601844948480214015e+01 7.867007289535548065e-01
4.652414673188788186e+01 8.652210209237368721e-01
4.702984397897361646e+01 9.326724701404704998e-01
4.753554122605935817e+01 9.801160278739041720e-01
4.804123847314509277e+01 1.000000000000000000e+00
4.854693572023083448e+01 9.888345200621222464e-01
4.905263296731656908e+01 9.486037589902961420e-01
4.955833021440230368e+01 8.859499136283548459e-01
5.006402746148804539e+01 8.096976844510135329e-01
5.056972470857377999e+01 7.282522768842371041e-01
5.107542195565952170e+01 6.480227345549856022e-01
5.158111920274525630e+01 5.730397692378609298e-01
5.208681644983099801e+01 5.053217083511125640e-01
5.259251369691673261e+01 4.454877835388316165e-01
5.309821094400247432e+01 3.933211064010685987e-01
5.360390819108820892e+01 3.481784958760990589e-01
5.410960543817394353e+01 3.092498674033644646e-01
5.461530268525968523e+01 2.757053530639949068e-01
5.512099993234541984e+01 2.467695723408427633e-01
5.562669717943116154e+01 2.217528263168673242e-01
5.613239442651689615e+01 2.000587432945063193e-01
5.663809167360263785e+01 1.811801460417561127e-01
5.714378892068837246e+01 1.646898069689892441e-01
5.764948616777411416e+01 1.502296542312223926e-01
5.815518341485984877e+01 1.375002025134849648e-01
5.866088066194559048e+01 1.262509945445851045e-01
5.916657790903132508e+01 1.162723180768003434e-01
5.967227515611705968e+01 1.073882037754549656e-01
6.017797240320280139e+01 9.945059271642749110e-02
6.068366965028853599e+01 9.233452021245103225e-02
6.118936689737427770e+01 8.593415796316360156e-02
6.169506414446001230e+01 8.015956879534111290e-02
6.220076139154575401e+01 7.493404692935073941e-02
6.270645863863148861e+01 7.019193647788091184e-02
6.321215588571723032e+01 6.587683930757944062e-02
6.371785313280296492e+01 6.194013952016692165e-02
6.422355037988870663e+01 5.833978543277326678e-02
6.472924762697444123e+01 5.503928120309725669e-02
6.523494487406017583e+01 5.200684943897634221e-02
6.574064212114591044e+01 4.921473357401531801e-02
6.624633936823165925e+01 4.663861478567614405e-02
6.675203661531739385e+01 4.425712304862144258e-02
6.725773386240312846e+01 4.205142578181864099e-02
6.776343110948886306e+01 4.000488065096178408e-02
6.826912835657461187e+01 3.810274158092936264e-02
6.877482560366034647e+01 3.633190903920684861e-02
6.928052285074608108e+01 3.468071726873157151e-02
6.978622009783181568e+01 3.313875245574401940e-02
7.029191734491755028e+01 3.169669687716316492e-02
7.079761459200329909e+01 3.034619493216023436e-02
7.130331183908903370e+01 2.907973766323944734e-02
7.180900908617476830e+01 2.789056294445382833e-02
7.231470633326050290e+01 2.677256898324171033e-02
7.282040358034625172e+01 2.572023916758242601e-02
7.332610082743198632e+01 2.472857660758148030e-02
7.383179807451772092e+01 2.379304698289408729e-02
7.433749532160345552e+01 2.290952852477371945e-02
7.484319256868920434e+01 2.207426814218950428e-02
7.534888981577493894e+01 2.128384285201740875e-02
7.585458706286067354e+01 2.053512579913148450e-02
7.636028430994640814e+01 1.982525625765296090e-02
7.686598155703214275e+01 1.915161309319343350e-02
7.737167880411789156e+01 1.851179124054137468e-02
7.787737605120362616e+01 1.790358081424994058e-02
7.838307329828936076e+01 1.732494852292511267e-02
7.888877054537509537e+01 1.677402110328019350e-02
7.939446779246084418e+01 1.624907052852812839e-02
7.990016503954657878e+01 1.574850077851397759e-02
8.040586228663231338e+01 1.527083598704511574e-02
8.091155953371804799e+01 1.481470980590449127e-02
8.141725678080378259e+01 1.437885584565524143e-02
8.192295402788953140e+01 1.396209907108262281e-02
8.242865127497526601e+01 1.356334804440739381e-02
8.293434852206100061e+01 1.318158792260742257e-02
8.344004576914673521e+01 1.281587412660937716e-02
8.394574301623248402e+01 1.246532661001704956e-02
8.445144026331821863e+01 1.212912466364655419e-02
8.495713751040395323e+01 1.180650219962529196e-02
8.546283475748968783e+01 1.149674346533854745e-02
8.596853200457543664e+01 1.119917914320683883e-02
8.647422925166117125e+01 1.091318279726325238e-02
8.697992649874690585e+01 1.063816763186869845e-02
8.748562374583264045e+01 1.037358353173752426e-02
8.799132099291837505e+01 1.011891435581631707e-02
8.849701824000412387e+01 9.873675460526693329e-03
8.900271548708985847e+01 9.637411430499431483e-03
8.950841273417559307e+01 9.409693997238340740e-03
9.001410998126132768e+01 9.190120128195955126e-03
9.051980722834707649e+01 8.978310270553197664e-03
9.102550447543281109e+01 8.773906735600372001e-03
9.153120172251854569e+01 8.576572211042450197e-03
9.203689896960428030e+01 8.385988389819645783e-03
9.254259621669001490e+01 8.201854705162867076e-03
9.304829346377576371e+01 8.023887162610349177e-03
9.355399071086149831e+01 7.851817260610325505e-03
9.405968795794723292e+01 7.685390992137545139e-03
9.456538520503296752e+01 7.524367920470345465e-03
9.507108245211871633e+01 7.368520322918729881e-03
9.557677969920445094e+01 7.217632396871582340e-03
9.608247694629018554e+01 7.071499523049734788e-03
9.658817419337592014e+01 6.929927581317879039e-03
9.709387144046166895e+01 6.792732314828055229e-03
9.759956868754740356e+01 6.659738738645309096e-03
9.810526593463313816e+01 6.530780589347241934e-03
9.861096318171887276e+01 6.405699812396936990e-03
9.911666042880460736e+01 6.284346084366928924e-03
9.962235767589035618e+01 6.166576367343543606e-03
1.001280549229760908e+02 6.052254493068876494e-03
1.006337521700618254e+02 5.941250774584023141e-03
1.011394494171475600e+02 5.833441643324839554e-03
1.016451466642333088e+02 5.728709309791394158e-03
1.021508439113190434e+02 5.626941446067057311e-03
1.026565411584047780e+02 5.528030888603823953e-03
1.031622384054905126e+02 5.431875359818548292e-03
1.036679356525762472e+02 5.338377207161500680e-03
1.041736328996619960e+02 5.247443158425142869e-03
1.046793301467477306e+02 5.158984092158143235e-03
1.051850273938334652e+02 5.072914822138513934e-03
1.056907246409191998e+02 4.989153894940915289e-03
1.061964218880049486e+02 4.907623399707407644e-03
1.067021191350906832e+02 4.828248789299130657e-03
1.072078163821764178e+02 4.750958712068522639e-03
1.077135136292621524e+02 4.675684853549170843e-03
1.082192108763478871e+02 4.602361787412719354e-03
1.087249081234336359e+02 4.530926835090630551e-03
1.092306053705193705e+02 4.461319933502952938e-03
1.097363026176051051e+02 4.393483510377104405e-03
1.102419998646908397e+02 4.327362366677396308e-03
1.107476971117765885e+02 4.262903565700613268e-03
1.112533943588623231e+02 4.200056328425173964e-03
1.117590916059480577e+02 4.138771934730879794e-03
1.122647888530337923e+02 4.079003630133738040e-03
1.127704861001195411e+02 4.020706537705823203e-03
1.132761833472052757e+02 3.963837574873513812e-03
1.137818805942910103e+02 3.908355374809638696e-03
1.142875778413767449e+02 3.854220212155246277e-03
1.147932750884624795e+02 3.801393932825978053e-03
1.152989723355482283e+02 3.749839887675729400e-03
1.158046695826339629e+02 3.699522869807092464e-03
1.163103668297196975e+02 3.650409055333535789e-03
1.168160640768054321e+02 3.602465947412874722e-03
1.173217613238911810e+02 3.555662323384630938e-03
1.178274585709769156e+02 3.509968184855258300e-03
1.183331558180626502e+02 3.465354710583910640e-03
1.188388530651483848e+02 3.421794212025602942e-03
1.193445503122341194e+02 3.379260091385232097e-03
1.198502475593198682e+02 3.337726802019318640e-03
1.203559448064056028e+02 3.297169810983013784e-03
