atom,species,Zxx,Zxy,Zxz,Zyx,Zyy,Zyz,Zzx,Zzy,Zzz
1,S,-0.5301302787940937,-0.15797942742211593,0.0,-0.09383999226951291,-0.16403929785384494,0.0,0.0,0.0,-4.10132662619696
2,S,-0.7558394224591194,0.23290486989253945,0.0,-0.05246627852654461,-0.24409463499297654,0.0,0.0,0.0,-3.353454073478986
3,S,-0.6813328196732339,-0.36289814921701047,0.0,-0.17368385882868562,-0.4930926959013872,0.0,0.0,0.0,-3.1593028640855754
4,S,-0.6813328196732339,-0.36289814921701047,0.0,-0.17368385882868562,-0.4930926959013872,0.0,0.0,0.0,-3.1593028640855754
5,S,-0.7558394224591194,0.23290486989253945,0.0,-0.05246627852654461,-0.24409463499297654,0.0,0.0,0.0,-3.353454073478986
6,S,-0.5301302787940937,-0.15797942742211593,0.0,-0.09383999226951291,-0.16403929785384494,0.0,0.0,0.0,-4.10132662619696
7,Sb,1.1001512667146551,-0.11625639737077072,0.0,0.05988814964884811,0.31341703393991766,0.0,0.0,0.0,4.641837578813197
8,Sb,0.867151254211792,0.4042291041173577,0.0,0.260101979975895,0.5878095948082911,0.0,0.0,0.0,5.972245984948326
9,Sb,0.867151254211792,0.4042291041173577,0.0,0.260101979975895,0.5878095948082911,0.0,0.0,0.0,5.972245984948326
10,Sb,1.1001512667146551,-0.11625639737077072,0.0,0.05988814964884811,0.31341703393991766,0.0,0.0,0.0,4.641837578813197
