atom,species,Zxx,Zxy,Zxz,Zyx,Zyy,Zyz,Zzx,Zzy,Zzz
1,S,-0.13177000,-0.07345000,-0.00007000,0.06632000,-0.14180000,0.00060000,0.00300000,0.00340000,-4.11995000
2,S,-0.84832000,-0.06876000,0.00083000,0.18859000,-0.21618000,0.00003000,0.00205000,0.00106000,-3.42853000
3,S,-0.75855000,-0.18551000,0.00027000,-0.44124000,-0.47744000,-0.00009000,0.00381000,0.00027000,-3.11221000
4,S,-0.75855000,-0.18551000,-0.00024000,-0.44125000,-0.47744000,0.00010000,-0.00380000,-0.00027000,-3.11221000
5,S,-0.84832000,-0.06876000,-0.00081000,0.18859000,-0.21619000,-0.00003000,-0.00205000,-0.00106000,-3.42853000
6,S,-0.13177000,-0.07345000,0.00005000,0.06632000,-0.14180000,-0.00056000,-0.00300000,-0.00340000,-4.11997000
7,Sb,0.96423000,0.07000000,-0.00166000,-0.18204000,0.27257000,-0.00106000,-0.00061000,0.00043000,4.61893000
8,Sb,0.77442000,0.25772000,-0.00092000,0.36837000,0.56285000,-0.00116000,-0.00039000,0.00010000,6.04176000
9,Sb,0.77442000,0.25772000,0.00091000,0.36837000,0.56286000,0.00116000,0.00039000,-0.00010000,6.04176000
10,Sb,0.96423000,0.07000000,0.00164000,-0.18204000,0.27257000,0.00102000,0.00061000,-0.00043000,4.61894000
