# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 7.2995505850e+02 1.4012687820e+02 6.1089374414e-04 1.4012687820e+02 3.9511692039e+02 2.9413402527e-04 6.1089374414e-04 2.9413402527e-04 3.2336755121e+03
0.13108461 7.2995510470e+02 1.4012686619e+02 6.1089374414e-04 1.4012686619e+02 3.9511692733e+02 2.9413402527e-04 6.1089374414e-04 2.9413402527e-04 3.2336796826e+03
0.26216922 7.2995524330e+02 1.4012683016e+02 6.1089374414e-04 1.4012683016e+02 3.9511694814e+02 2.9413402527e-04 6.1089374414e-04 2.9413402527e-04 3.2336921943e+03
0.39325382 7.2995547432e+02 1.4012677011e+02 6.1089374414e-04 1.4012677011e+02 3.9511698282e+02 2.9413402527e-04 6.1089374414e-04 2.9413402527e-04 3.2337130478e+03
0.52433843 7.2995579776e+02 1.4012668602e+02 6.1089374414e-04 1.4012668602e+02 3.9511703139e+02 2.9413402527e-04 6.1089374414e-04 2.9413402527e-04 3.2337422438e+03
0.65542304 7.2995621367e+02 1.4012657789e+02 6.1089374414e-04 1.4012657789e+02 3.9511709384e+02 2.9413402527e-04 6.1089374414e-04 2.9413402527e-04 3.2337797837e+03
0.78650765 7.2995672208e+02 1.4012644571e+02 6.1089374414e-04 1.4012644571e+02 3.9511717018e+02 2.9413402527e-04 6.1089374414e-04 2.9413402527e-04 3.2338256691e+03
0.91759226 7.2995732302e+02 1.4012628945e+02 6.1089374414e-04 1.4012628945e+02 3.9511726042e+02 2.9413402527e-04 6.1089374414e-04 2.9413402527e-04 3.2338799018e+03
1.04867687 7.2995801655e+02 1.4012610909e+02 6.1089374414e-04 1.4012610909e+02 3.9511736457e+02 2.9413402527e-04 6.1089374414e-04 2.9413402527e-04 3.2339424842e+03
1.17976147 7.2995880272e+02 1.4012590461e+02 6.1089374414e-04 1.4012590461e+02 3.9511748263e+02 2.9413402527e-04 6.1089374414e-04 2.9413402527e-04 3.2340134189e+03
1.31084608 7.2995968161e+02 1.4012567599e+02 6.1089374414e-04 1.4012567599e+02 3.9511761463e+02 2.9413402527e-04 6.1089374414e-04 2.9413402527e-04 3.2340927090e+03
1.44193069 7.2996065328e+02 1.4012542319e+02 6.1089374414e-04 1.4012542319e+02 3.9511776058e+02 2.9413402527e-04 6.1089374414e-04 2.9413402527e-04 3.2341803577e+03
1.57301530 7.2996171782e+02 1.4012514617e+02 6.1089374414e-04 1.4012514617e+02 3.9511792048e+02 2.9413402527e-04 6.1089374414e-04 2.9413402527e-04 3.2342763689e+03
1.70409991 7.2996287531e+02 1.4012484491e+02 6.1089374414e-04 1.4012484491e+02 3.9511809436e+02 2.9413402527e-04 6.1089374414e-04 2.9413402527e-04 3.2343807465e+03
1.83518451 7.2996412586e+02 1.4012451937e+02 6.1089374414e-04 1.4012451937e+02 3.9511828223e+02 2.9413402527e-04 6.1089374414e-04 2.9413402527e-04 3.2344934951e+03
1.96626912 7.2996546956e+02 1.4012416949e+02 6.1089374414e-04 1.4012416949e+02 3.9511848412e+02 2.9413402527e-04 6.1089374414e-04 2.9413402527e-04 3.2346146194e+03
2.09735373 7.2996690654e+02 1.4012379523e+02 6.1089374414e-04 1.4012379523e+02 3.9511870004e+02 2.9413402527e-04 6.1089374414e-04 2.9413402527e-04 3.2347441245e+03
2.22843834 7.2996843691e+02 1.4012339654e+02 6.1089374414e-04 1.4012339654e+02 3.9511893002e+02 2.9413402526e-04 6.1089374414e-04 2.9413402526e-04 3.2348820159e+03
