# frequency_cm-1 intensity_x intensity_y intensity_z intensity_total
0.000000000000000000e+00 2.846103535052474075e-06 5.096910621091148316e-07 2.378176454380723768e-04 2.411734400352339618e-04
1.310846081991829115e-01 2.851458426353224491e-06 5.104725653546521968e-07 2.383877162258705290e-04 2.417496472175783922e-04
2.621692163983658230e-01 2.856840891658361976e-06 5.112582199613821154e-07 2.389602615943704354e-04 2.423283607059901839e-04
3.932538245975487623e-01 2.862251209811283964e-06 5.120480737598376092e-07 2.395352990892194855e-04 2.429095983727906085e-04
5.243384327967316461e-01 2.867689663798121844e-06 5.128421753522071854e-07 2.401128464386131369e-04 2.434933782777634777e-04
6.554230409959145298e-01 2.873156540826374001e-06 5.136405741275689355e-07 2.406929215558025945e-04 2.440797186707565508e-04
7.865076491950975246e-01 2.878652132405324393e-06 5.144433202774773186e-07 2.412755425416454765e-04 2.446686379943282890e-04
9.175922573942804084e-01 2.884176734428288598e-06 5.152504648119117324e-07 2.418607276871990097e-04 2.452601548864391978e-04
1.048676865593463292e+00 2.889730647256742403e-06 5.160620595755942857e-07 2.424484954763574324e-04 2.458542881831897627e-04
1.179761473792646287e+00 2.895314175806390091e-06 5.168781572646908526e-07 2.430388645885335247e-04 2.464510569216045986e-04
1.310846081991829060e+00 2.900927629635194876e-06 5.176988114439002802e-07 2.436318539013863254e-04 2.470504803424654165e-04
1.441930690191012054e+00 2.906571323033465102e-06 5.185240765639480538e-07 2.442274824935952260e-04 2.476525778931926158e-04
1.573015298390195049e+00 2.912245575116009299e-06 5.193540079794892913e-07 2.448257696476809834e-04 2.482573692307764790e-04
1.704099906589377822e+00 2.917950709916446110e-06 5.201886619674364189e-07 2.454267348528759557e-04 2.488648742247598117e-04
1.835184514788560817e+00 2.923687056483718611e-06 5.210280957457219032e-07 2.460303978080427469e-04 2.494751129602721914e-04
1.966269122987743589e+00 2.929454948980854113e-06 5.218723674925062060e-07 2.466367784246439182e-04 2.500881057411172867e-04
2.097353731186926584e+00 2.935254726786065177e-06 5.227215363658457835e-07 2.472458968297626836e-04 2.507038730929146047e-04
2.228438339386109579e+00 2.941086734596221878e-06 5.235756625238309768e-07 2.478577733691760812e-04 2.513224357662961522e-04
2.359522947585292574e+00 2.946951322532775398e-06 5.244348071452085112e-07 2.484724286104812697e-04 2.519438147401592597e-04
2.490607555784475124e+00 2.952848846250208739e-06 5.252990324505020512e-07 2.490898833462769574e-04 2.525680312249776798e-04
2.621692163983658119e+00 2.958779667047052242e-06 5.261684017236413986e-07 2.497101585973997458e-04 2.531951066661704210e-04
