mode,frequency_cm-1,activity_normalized,depolarization_ratio,Rxx,Rxy,Rxz,Ryx,Ryy,Ryz,Rzx,Rzy,Rzz
5,39.37966520491987,3.719304465282719e-13,0.75,0.0,0.0,-1.8980223868372768e-07,0.0,0.0,-4.5417500118236914e-07,-1.8980223868372768e-07,-4.5417500118236914e-07,0.0
6,41.1383996758184,0.3432758590342144,0.7500000000000001,0.0,0.0,-0.3900330976043888,0.0,0.0,-0.30169268394527815,-0.3900330976043888,-0.30169268394527815,0.0
7,45.64720108469173,0.5394789843655718,0.19059532450971292,-0.15604294721806805,-0.13728778529296687,2.7555083900606135e-06,-0.13728778529296687,-0.1275351010920042,-6.446974380839947e-06,2.7555083900606135e-06,-6.446974380839947e-06,-0.8237267117577179
8,52.626044198216626,2.1413811386851505e-11,0.75,0.0,0.0,-4.563355958361182e-06,0.0,0.0,1.8446076856741587e-06,-4.563355958361182e-06,1.8446076856741587e-06,0.0
9,58.1978347200449,0.25650739363968644,0.7499979945032437,0.0,0.00015004129540647335,-0.5922718091401185,0.00015004129540647335,0.0,-0.0020935764585802816,-0.5922718091401185,-0.0020935764585802816,0.0015004129542313127
10,93.04882278926443,0.378311072912818,0.10380211838162633,0.781715149045238,0.49738689425817495,4.1551836183492316e-05,0.49738689425817495,0.49813710073516565,2.3128415562356583e-05,4.1551836183492316e-05,2.3128415562356583e-05,0.7292006956544714
11,93.69248649010378,3.804050297679659e-14,0.7500000000000001,0.0,0.0,-3.4869597051448817e-07,0.0,0.0,-6.136688981952474e-08,-3.4869597051448817e-07,-6.136688981952474e-08,0.0
12,96.60540437278112,0.10621403335109703,0.6692397388837432,-0.6001651816085691,0.3983596392927344,3.17847480179933e-05,0.3983596392927344,0.2040561617468069,3.7426300725114357e-06,3.17847480179933e-05,3.7426300725114357e-06,0.07952188656293219
13,103.1912724168665,6.844087876805098e-14,0.7499999999999999,0.0,0.0,-3.072845729835566e-07,0.0,0.0,4.1711480121799786e-07,-3.072845729835566e-07,4.1711480121799786e-07,0.0
14,119.4460224746548,0.06599299016673538,0.7499476189893969,-0.408112323493947,0.3062342839157834,5.0350407787170185e-05,0.3062342839157834,0.5446499023096733,2.9329472260032418e-05,5.0350407787170185e-05,2.9329472260032418e-05,-0.14403964358621651
15,127.19605132961686,3.727745800537826e-12,0.75,0.0,0.0,-1.189077266062047e-06,0.0,0.0,-4.446173706652214e-06,-1.189077266062047e-06,-4.446173706652214e-06,0.0
16,185.53117997384712,0.06437268649553639,0.75,0.0,0.0,0.2053372143270796,0.0,0.0,-0.809003159440038,0.2053372143270796,-0.809003159440038,0.0
17,188.52559210812439,0.6380056980086133,0.08119036280247556,2.3736532932621106,0.761459574165947,3.291425888978067e-05,0.761459574165947,0.7697118454130533,2.0535401895216497e-05,3.291425888978067e-05,2.0535401895216497e-05,1.812498848457559
18,196.04218557759717,1.0,0.75,0.0,0.0,2.8717942950709996,0.0,0.0,1.8987464861289194,2.8717942950709996,1.8987464861289194,0.0
19,197.07947913419494,1.4186919317709133e-12,0.75,0.0,0.0,-2.8486840345052893e-06,0.0,0.0,-2.974268598756995e-06,-2.8486840345052893e-06,-2.974268598756995e-06,0.0
20,221.24840291679388,7.64754643372081e-15,0.75,0.0,0.0,-3.2558961102261696e-07,0.0,0.0,-6.571808738608505e-08,-3.2558961102261696e-07,-6.571808738608505e-08,0.0
21,238.05870288104447,1.0496657240786523e-12,0.75,0.0,0.0,2.7606097941042054e-06,0.0,0.0,3.065793788952296e-06,2.7606097941042054e-06,3.065793788952296e-06,0.0
22,238.8806926123539,0.6264674265030222,0.7500000000000001,0.0,0.0,2.9587753345937675,0.0,0.0,1.207999724031752,2.9587753345937675,1.207999724031752,0.0
23,259.00883783740824,0.3133817685081603,0.08584107111175092,-1.5124162576539408,-1.0333344014346475,2.3288209541959923e-05,-1.0333344014346475,-1.515417083561737,7.295457906339144e-06,2.3288209541959923e-05,7.295457906339144e-06,-1.4298935451825459
24,261.26462923560274,4.0670224493241847e-14,0.75,0.0,0.0,-7.66410936914286e-07,0.0,0.0,4.192153793536226e-07,-7.66410936914286e-07,4.192153793536226e-07,0.0
25,295.92792589198496,1.2082594490419395e-14,0.75,0.0,0.0,-5.234940796582213e-07,0.0,0.0,2.085574006093564e-08,-5.234940796582213e-07,2.085574006093564e-08,0.0
26,301.09894774937936,0.1917259921817181,0.5683388773991481,-2.238616127399949,-0.8409814607290874,-3.304134386698644e-05,-0.8409814607290874,1.2573460554702656,-1.1611395768582231e-05,-3.304134386698644e-05,-1.1611395768582231e-05,-0.7216986308839812
27,322.13533661677377,0.6996447923437712,0.06502342299155167,4.183151315812207,0.5233440383627036,7.047739727630268e-06,0.5233440383627036,1.1523171486887325,1.33146645539875e-06,7.047739727630268e-06,1.33146645539875e-06,2.7277507504107272
28,330.9469628718946,1.2164636936299888e-14,0.75,0.0,0.0,-4.463728538213528e-07,0.0,0.0,3.569482417617553e-07,-4.463728538213528e-07,3.569482417617553e-07,0.0
29,333.8816250173979,0.44567375309996016,0.14322269044759853,3.2618977620431133,1.5113659685859706,-3.8131494813504906e-06,1.5113659685859706,1.1103055859759197,-4.941460022774734e-06,-3.8131494813504906e-06,-4.941460022774734e-06,1.6309488810215567
30,353.25382459754877,2.5338060613555295e-14,0.75,0.0,0.0,-8.331793133681834e-07,0.0,0.0,-2.3346425564575378e-07,-8.331793133681834e-07,-2.3346425564575378e-07,0.0
