# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 9.182723917113604084e-03
1.310846081991829115e-01 9.228666603936069510e-03
2.621692163983658230e-01 9.274993217044625801e-03
3.932538245975487623e-01 9.321708206497169788e-03
5.243384327967316461e-01 9.368816088009535720e-03
6.554230409959145298e-01 9.416321444130336740e-03
7.865076491950975246e-01 9.464228925440463722e-03
9.175922573942804084e-01 9.512543251777938816e-03
1.048676865593463292e+00 9.561269213488630264e-03
1.179761473792646287e+00 9.610411672703553579e-03
1.310846081991829060e+00 9.659975564643317678e-03
1.441930690191012054e+00 9.709965898950458432e-03
1.573015298390195049e+00 9.760387761050277194e-03
1.704099906589377822e+00 9.811246313540954514e-03
1.835184514788560817e+00 9.862546797613582633e-03
1.966269122987743589e+00 9.914294534502935546e-03
2.097353731186926584e+00 9.966494926969682658e-03
2.228438339386109579e+00 1.001915346081485442e-02
2.359522947585292574e+00 1.007227570642736138e-02
2.490607555784475124e+00 1.012586732036541669e-02
2.621692163983658119e+00 1.017993404697264959e-02
2.752776772182841114e+00 1.023448172002987613e-02
2.883861380382024109e+00 1.028951626444336159e-02
3.014945988581207104e+00 1.034504369797052854e-02
3.146030596780390098e+00 1.040107013298404576e-02
3.277115204979572649e+00 1.045760177827532306e-02
3.408199813178755644e+00 1.051464494089835583e-02
3.539284421377938639e+00 1.057220602805502424e-02
3.670369029577121633e+00 1.063029154902287235e-02
3.801453637776304628e+00 1.068890811712646174e-02
3.932538245975487179e+00 1.074806245175349319e-02
4.063622854174670174e+00 1.080776138041678568e-02
4.194707462373853168e+00 1.086801184086336712e-02
4.325792070573036163e+00 1.092882088323185626e-02
4.456876678772219158e+00 1.099019567225949928e-02
4.587961286971402153e+00 1.105214348954005991e-02
4.719045895170585148e+00 1.111467173583401830e-02
4.850130503369768142e+00 1.117778793343233990e-02
4.981215111568950249e+00 1.124149972857542076e-02
5.112299719768133244e+00 1.130581489392850150e-02
5.243384327967316239e+00 1.137074133111518406e-02
5.374468936166499233e+00 1.143628707331057794e-02
5.505553544365682228e+00 1.150246028789570635e-02
5.636638152564865223e+00 1.156926927917476845e-02
5.767722760764048218e+00 1.163672249115709975e-02
5.898807368963231212e+00 1.170482851040544579e-02
6.029891977162414207e+00 1.177359606895246949e-02
6.160976585361597202e+00 1.184303404728733952e-02
6.292061193560780197e+00 1.191315147741431497e-02
6.423145801759962303e+00 1.198395754598535409e-02
