# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
0.13108461 2.9021017546e-03 -7.6723912365e-04 -1.0373457726e-15 -7.6723912365e-04 4.3875373712e-04 -1.6316165144e-16 -1.0373457726e-15 -1.6316165144e-16 2.5808483540e-01
0.26216922 5.8044643995e-03 -1.5345865884e-03 -2.0747982650e-15 -1.5345865884e-03 8.7755613380e-04 -3.2632173338e-16 -2.0747982650e-15 -3.2632173338e-16 5.1618102494e-01
0.39325382 8.7073489036e-03 -2.3021507700e-03 -3.1124642263e-15 -2.3021507700e-03 1.3164558652e-03 -4.8947867174e-16 -3.1124642263e-15 -4.8947867174e-16 7.7429992459e-01
0.52433843 1.1611016393e-02 -3.0700401139e-03 -4.1504504637e-15 -3.0700401139e-03 1.7555016373e-03 -6.5263088319e-16 -4.1504504637e-15 -6.5263088319e-16 1.0324528940e+00
0.65542304 1.4515728231e-02 -3.8383631695e-03 -5.1888638722e-15 -3.8383631695e-03 2.1947422031e-03 -8.1577677058e-16 -5.1888638722e-15 -8.1577677058e-16 1.2906512984e+00
0.78650765 1.7421746096e-02 -4.6072286256e-03 -6.2278114632e-15 -4.6072286256e-03 2.6342263773e-03 -9.7891471826e-16 -6.2278114632e-15 -9.7891471826e-16 1.5489065102e+00
0.91759226 2.0329332060e-02 -5.3767453449e-03 -7.2674003945e-15 -5.3767453449e-03 3.0740030528e-03 -1.1420430875e-15 -7.2674003945e-15 -1.1420430875e-15 1.8072299113e+00
1.04867687 2.3238748669e-02 -6.1470223992e-03 -8.3077379991e-15 -6.1470223992e-03 3.5141212157e-03 -1.3051602117e-15 -8.3077379991e-15 -1.3051602117e-15 2.0656328944e+00
1.17976147 2.6150259023e-02 -6.9181691048e-03 -9.3489318150e-15 -6.9181691048e-03 3.9546299613e-03 -1.4682643919e-15 -9.3489318150e-15 -1.4682643919e-15 2.3241268651e+00
1.31084608 2.9064126857e-02 -7.6902950572e-03 -1.0391089615e-14 -7.6902950572e-03 4.3955785100e-03 -1.6313538918e-15 -1.0391089615e-14 -1.6313538918e-15 2.5827232440e+00
1.44193069 3.1980616618e-02 -8.4635101671e-03 -1.1434319435e-14 -8.4635101671e-03 4.8370162228e-03 -1.7944269332e-15 -1.1434319435e-14 -1.7944269332e-15 2.8414334682e+00
1.57301530 3.4899993548e-02 -9.2379246960e-03 -1.2478729607e-14 -9.2379246960e-03 5.2789926176e-03 -1.9574816912e-15 -1.2478729607e-14 -1.9574816912e-15 3.1002689931e+00
1.70409991 3.7822523765e-02 -1.0013649292e-02 -1.3524428785e-14 -1.0013649292e-02 5.7215573849e-03 -2.1205162892e-15 -1.3524428785e-14 -2.1205162892e-15 3.3592412947e+00
1.83518451 4.0748474347e-02 -1.0790795025e-02 -1.4571525979e-14 -1.0790795025e-02 6.1647604043e-03 -2.2835287941e-15 -1.4571525979e-14 -2.2835287941e-15 3.6183618711e+00
1.96626912 4.3678113408e-02 -1.1569473426e-02 -1.5620130582e-14 -1.1569473426e-02 6.6086517604e-03 -2.4465172115e-15 -1.5620130582e-14 -2.4465172115e-15 3.8776422447e+00
2.09735373 4.6611710189e-02 -1.2349796519e-02 -1.6670352404e-14 -1.2349796519e-02 7.0532817593e-03 -2.6094794806e-15 -1.6670352404e-14 -2.6094794806e-15 4.1370939637e+00
2.22843834 4.9549535135e-02 -1.3131876862e-02 -1.7722301699e-14 -1.3131876862e-02 7.4987009452e-03 -2.7724134691e-15 -1.7722301699e-14 -2.7724134691e-15 4.3967286043e+00
2.35952295 5.2491859985e-02 -1.3915827583e-02 -1.8776089200e-14 -1.3915827583e-02 7.9449601170e-03 -2.9353169681e-15 -1.8776089200e-14 -2.9353169681e-15 4.6565577725e+00
2.49060756 5.5438957851e-02 -1.4701762417e-02 -1.9831826147e-14 -1.4701762417e-02 8.3921103448e-03 -3.0981876873e-15 -1.9831826147e-14 -3.0981876873e-15 4.9165931063e+00
2.62169216 5.8391103309e-02 -1.5489795743e-02 -2.0889624320e-14 -1.5489795743e-02 8.8402029875e-03 -3.2610232489e-15 -2.0889624320e-14 -3.2610232489e-15 5.1768462769e+00
2.75277677 6.1348572482e-02 -1.6280042627e-02 -2.1949596072e-14 -1.6280042627e-02 9.2892897090e-03 -3.4238211832e-15 -2.1949596072e-14 -3.4238211832e-15 5.4373289917e+00
2.88386138 6.4311643133e-02 -1.7072618853e-02 -2.3011854359e-14 -1.7072618853e-02 9.7394224966e-03 -3.5865789226e-15 -2.3011854359e-14 -3.5865789226e-15 5.6980529952e+00
3.01494599 6.7280594746e-02 -1.7867640970e-02 -2.4076512775e-14 -1.7867640970e-02 1.0190653678e-02 -3.7492937964e-15 -2.4076512775e-14 -3.7492937964e-15 5.9590300717e+00
3.14603060 7.0255708623e-02 -1.8665226326e-02 -2.5143685580e-14 -1.8665226326e-02 1.0643035938e-02 -3.9119630251e-15 -2.5143685580e-14 -3.9119630251e-15 6.2202720471e+00
3.27711520 7.3237267971e-02 -1.9465493113e-02 -2.6213487740e-14 -1.9465493113e-02 1.1096622338e-02 -4.0745837144e-15 -2.6213487740e-14 -4.0745837144e-15 6.4817907905e+00
3.40819981 7.6225557994e-02 -2.0268560401e-02 -2.7286034956e-14 -2.0268560401e-02 1.1551466334e-02 -4.2371528501e-15 -2.7286034956e-14 -4.2371528501e-15 6.7435982170e+00
3.53928442 7.9220865988e-02 -2.1074548186e-02 -2.8361443699e-14 -2.1074548186e-02 1.2007621794e-02 -4.3996672916e-15 -2.8361443699e-14 -4.3996672916e-15 7.0057062890e+00
3.67036903 8.2223481432e-02 -2.1883577428e-02 -2.9439831245e-14 -2.1883577428e-02 1.2465143019e-02 -4.5621237661e-15 -2.9439831245e-14 -4.5621237661e-15 7.2681270185e+00
3.80145364 8.5233696090e-02 -2.2695770095e-02 -3.0521315708e-14 -2.2695770095e-02 1.2924084756e-02 -4.7245188625e-15 -3.0521315708e-14 -4.7245188625e-15 7.5308724692e+00
3.93253825 8.8251804099e-02 -2.3511249203e-02 -3.1606016080e-14 -2.3511249203e-02 1.3384502225e-02 -4.8868490249e-15 -3.1606016080e-14 -4.8868490249e-15 7.7939547586e+00
4.06362285 9.1278102078e-02 -2.4330138863e-02 -3.2694052260e-14 -2.4330138863e-02 1.3846451134e-02 -5.0491105467e-15 -3.2694052260e-14 -5.0491105467e-15 8.0573860600e+00
4.19470746 9.4312889220e-02 -2.5152564326e-02 -3.3785545098e-14 -2.5152564326e-02 1.4309987700e-02 -5.2112995634e-15 -3.3785545098e-14 -5.2112995634e-15 8.3211786047e+00
4.32579207 9.7356467396e-02 -2.5978652021e-02 -3.4880616424e-14 -2.5978652021e-02 1.4775168666e-02 -5.3734120464e-15 -3.4880616424e-14 -5.3734120464e-15 8.5853446841e+00
4.45687668 1.0040914126e-01 -2.6808529611e-02 -3.5979389092e-14 -2.6808529611e-02 1.5242051327e-02 -5.5354437963e-15 -3.5979389092e-14 -5.5354437963e-15 8.8498966516e+00
4.58796129 1.0347121836e-01 -2.7642326030e-02 -3.7081987014e-14 -2.7642326030e-02 1.5710693548e-02 -5.6973904352e-15 -3.7081987014e-14 -5.6973904352e-15 9.1148469254e+00
4.71904590 1.0654300921e-01 -2.8480171537e-02 -3.8188535201e-14 -2.8480171537e-02 1.6181153783e-02 -5.8592474004e-15 -3.8188535201e-14 -5.8592474004e-15 9.3802079900e+00
4.85013050 1.0962482747e-01 -2.9322197760e-02 -3.9299159801e-14 -2.9322197760e-02 1.6653491099e-02 -6.0210099363e-15 -3.9299159801e-14 -6.0210099363e-15 9.6459923989e+00
4.98121511 1.1271698998e-01 -3.0168537748e-02 -4.0413988138e-14 -3.0168537748e-02 1.7127765200e-02 -6.1826730876e-15 -4.0413988138e-14 -6.1826730876e-15 9.9122127767e+00
5.11229972 1.1581981692e-01 -3.1019326017e-02 -4.1533148754e-14 -3.1019326017e-02 1.7604036443e-02 -6.3442316912e-15 -4.1533148754e-14 -6.3442316912e-15 1.0178881821e+01
5.24338433 1.1893363191e-01 -3.1874698606e-02 -4.2656771450e-14 -3.1874698606e-02 1.8082365867e-02 -6.5056803684e-15 -4.2656771450e-14 -6.5056803684e-15 1.0446012306e+01
5.37446894 1.2205876211e-01 -3.2734793125e-02 -4.3784987328e-14 -3.2734793125e-02 1.8562815212e-02 -6.6670135167e-15 -4.3784987328e-14 -6.6670135167e-15 1.0713617082e+01
5.50555354 1.2519553838e-01 -3.3599748806e-02 -4.4917928833e-14 -3.3599748806e-02 1.9045446946e-02 -6.8282253017e-15 -4.4917928833e-14 -6.8282253017e-15 1.0981709082e+01
5.63663815 1.2834429537e-01 -3.4469706565e-02 -4.6055729798e-14 -3.4469706565e-02 1.9530324285e-02 -6.9893096488e-15 -4.6055729798e-14 -6.9893096488e-15 1.1250301320e+01
5.76772276 1.3150537166e-01 -3.5344809046e-02 -4.7198525486e-14 -3.5344809046e-02 2.0017511222e-02 -7.1502602337e-15 -4.7198525486e-14 -7.1502602337e-15 1.1519406895e+01
5.89880737 1.3467910985e-01 -3.6225200686e-02 -4.8346452637e-14 -3.6225200686e-02 2.0507072548e-02 -7.3110704744e-15 -4.8346452637e-14 -7.3110704744e-15 1.1789038995e+01
6.02989198 1.3786585676e-01 -3.7111027768e-02 -4.9499649514e-14 -3.7111027768e-02 2.0999073880e-02 -7.4717335211e-15 -4.9499649514e-14 -7.4717335211e-15 1.2059210896e+01
6.16097659 1.4106596349e-01 -3.8002438480e-02 -5.0658255948e-14 -3.8002438480e-02 2.1493581686e-02 -7.6322422475e-15 -5.0658255948e-14 -7.6322422475e-15 1.2329935968e+01
6.29206119 1.4427978559e-01 -3.8899582975e-02 -5.1822413390e-14 -3.8899582975e-02 2.1990663315e-02 -7.7925892404e-15 -5.1822413390e-14 -7.7925892404e-15 1.2601227676e+01
6.42314580 1.4750768320e-01 -3.9802613432e-02 -5.2992264953e-14 -3.9802613432e-02 2.2490387017e-02 -7.9527667900e-15 -5.2992264953e-14 -7.9527667900e-15 1.2873099582e+01
6.55423041 1.5075002117e-01 -4.0711684118e-02 -5.4167955471e-14 -4.0711684118e-02 2.2992821980e-02 -8.1127668799e-15 -5.4167955471e-14 -8.1127668799e-15 1.3145565348e+01
6.68531502 1.5400716924e-01 -4.1626951452e-02 -5.5349631539e-14 -4.1626951452e-02 2.3498038349e-02 -8.2725811760e-15 -5.5349631539e-14 -8.2725811760e-15 1.3418638739e+01
