# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 9.181694822023000677e-03
1.310846081991829115e-01 9.227640367767506180e-03
2.621692163983658230e-01 9.273969928728266129e-03
3.932538245975487623e-01 9.320687956674659005e-03
5.243384327967316461e-01 9.367798969068396805e-03
6.554230409959145298e-01 9.415307550239103776e-03
7.865076491950975246e-01 9.463218352584627097e-03
9.175922573942804084e-01 9.511536097796686670e-03
1.048676865593463292e+00 9.560265578112412191e-03
1.179761473792646287e+00 9.609411657592489137e-03
1.310846081991829060e+00 9.658979273426472265e-03
1.441930690191012054e+00 9.708973437266014278e-03
1.573015298390195049e+00 9.759399236586608142e-03
1.704099906589377822e+00 9.810261836078630615e-03
1.835184514788560817e+00 9.861566479068354860e-03
1.966269122987743589e+00 9.913318488969676337e-03
2.097353731186926584e+00 9.965523270767339542e-03
2.228438339386109579e+00 1.001818631253245315e-02
2.359522947585292574e+00 1.007131318697105510e-02
2.490607555784475124e+00 1.012490955300662451e-02
2.621692163983658119e+00 1.017898115739731234e-02
2.752776772182841114e+00 1.023353383638885353e-02
2.883861380382024109e+00 1.028857351740400557e-02
3.014945988581207104e+00 1.034410622076946569e-02
3.146030596780390098e+00 1.040013806148118967e-02
3.277115204979572649e+00 1.045667525100915131e-02
3.408199813178755644e+00 1.051372409914250704e-02
3.539284421377938639e+00 1.057129101587621356e-02
3.670369029577121633e+00 1.062938251334017564e-02
3.801453637776304628e+00 1.068800520777203958e-02
3.932538245975487179e+00 1.074716582153471475e-02
4.063622854174670174e+00 1.080687118517988272e-02
4.194707462373853168e+00 1.086712823955856590e-02
4.325792070573036163e+00 1.092794403798011578e-02
4.456876678772219158e+00 1.098932574842084210e-02
4.587961286971402153e+00 1.105128065578354739e-02
4.719045895170585148e+00 1.111381616420941028e-02
4.850130503369768142e+00 1.117693979944353599e-02
4.981215111568950249e+00 1.124065921125564672e-02
5.112299719768133244e+00 1.130498217591736736e-02
5.243384327967316239e+00 1.136991659873760017e-02
5.374468936166499233e+00 1.143547051665764688e-02
5.505553544365682228e+00 1.150165210090756292e-02
5.636638152564865223e+00 1.156846965972552557e-02
5.767722760764048218e+00 1.163593164114185181e-02
5.898807368963231212e+00 1.170404663582945599e-02
6.029891977162414207e+00 1.177282338002258108e-02
6.160976585361597202e+00 1.184227075850568731e-02
6.292061193560780197e+00 1.191239780767437174e-02
6.423145801759962303e+00 1.198321371867039353e-02
6.554230409959145298e+00 1.205472784059282224e-02
6.685315018158328293e+00 1.212694968378744999e-02
6.816399626357511288e+00 1.219988892321661675e-02
6.947484234556694283e+00 1.227355540191178186e-02
7.078568842755877277e+00 1.234795913451106758e-02
7.209653450955060272e+00 1.242311031088429857e-02
7.340738059154243267e+00 1.249901929984793651e-02
7.471822667353426262e+00 1.257569665297249110e-02
7.602907275552609256e+00 1.265315310848503724e-02
7.733991883751791363e+00 1.273139959526961920e-02
7.865076491950974358e+00 1.281044723696830173e-02
7.996161100150157353e+00 1.289030735618579455e-02
8.127245708349340347e+00 1.297099147880066521e-02
8.258330316548523342e+00 1.305251133838621416e-02
8.389414924747706337e+00 1.313487888074425965e-02
8.520499532946889332e+00 1.321810626855510033e-02
8.651584141146072326e+00 1.330220588614708377e-02
8.782668749345255321e+00 1.338719034438931414e-02
8.913753357544438316e+00 1.347307248571118568e-02
9.044837965743621311e+00 1.355986538925242103e-02
9.175922573942804306e+00 1.364758237614763919e-02
9.307007182141987300e+00 1.373623701494930752e-02
9.438091790341170295e+00 1.382584312719352046e-02
9.569176398540353290e+00 1.391641479311254287e-02
9.700261006739536285e+00 1.400796635749891952e-02
9.831345614938717503e+00 1.410051243572552244e-02
9.962430223137900498e+00 1.419406791992642268e-02
1.009351483133708349e+01 1.428864798534348890e-02
1.022459943953626649e+01 1.438426809684371054e-02
1.035568404773544948e+01 1.448094401561274107e-02
1.048676865593463248e+01 1.457869180602984309e-02
1.061785326413381547e+01 1.467752784273017655e-02
1.074893787233299847e+01 1.477746881785999174e-02
1.088002248053218146e+01 1.487853174853101708e-02
1.101110708873136446e+01 1.498073398448015493e-02
1.114219169693054745e+01 1.508409321594107039e-02
1.127327630512973045e+01 1.518862748173434828e-02
1.140436091332891344e+01 1.529435517758315904e-02
1.153544552152809644e+01 1.540129506466171583e-02
1.166653012972727943e+01 1.550946627838396645e-02
1.179761473792646242e+01 1.561888833744020863e-02
1.192869934612564542e+01 1.572958115308970353e-02
1.205978395432482841e+01 1.584156503871766986e-02
1.219086856252401141e+01 1.595486071966510655e-02
1.232195317072319440e+01 1.606948934334055321e-02
1.245303777892237740e+01 1.618547248962298041e-02
1.258412238712156039e+01 1.630283218156539093e-02
1.271520699532074161e+01 1.642159089640921055e-02
1.284629160351992461e+01 1.654177157691964772e-02
1.297737621171910760e+01 1.666339764305295804e-02
1.310846081991829060e+01 1.678649300396652111e-02
1.323954542811747359e+01 1.691108207038345343e-02
1.337063003631665659e+01 1.703718976732371271e-02
1.350171464451583958e+01 1.716484154721410402e-02
1.363279925271502258e+01 1.729406340339009057e-02
1.376388386091420557e+01 1.742488188400294000e-02
1.389496846911338857e+01 1.755732410634609428e-02
1.402605307731257156e+01 1.769141777161516854e-02
1.415713768551175455e+01 1.782719118011671933e-02
1.428822229371093755e+01 1.796467324694141568e-02
1.441930690191012054e+01 1.810389351811778416e-02
1.455039151010930354e+01 1.824488218726350031e-02
1.468147611830848653e+01 1.838767011275165009e-02
1.481256072650766953e+01 1.853228883541040498e-02
1.494364533470685252e+01 1.867877059677488030e-02
1.507472994290603552e+01 1.882714835791108460e-02
1.520581455110521851e+01 1.897745581883236027e-02
1.533689915930440151e+01 1.912972743852975333e-02
1.546798376750358273e+01 1.928399845563851661e-02
1.559906837570276572e+01 1.944030490976389469e-02
1.573015298390194872e+01 1.959868366349019550e-02
1.586123759210113171e+01 1.975917242509830918e-02
1.599232220030031471e+01 1.992180977201771924e-02
1.612340680849949948e+01 2.008663517504019960e-02
1.625449141669868069e+01 2.025368902332349078e-02
1.638557602489786547e+01 2.042301265021450457e-02
1.651666063309704668e+01 2.059464835992264042e-02
1.664774524129623146e+01 2.076863945507553127e-02
1.677882984949541267e+01 2.094503026519020650e-02
1.690991445769459389e+01 2.112386617609482431e-02
1.704099906589377866e+01 2.130519366033705592e-02
1.717208367409295988e+01 2.148906030861701122e-02
1.730316828229214465e+01 2.167551486228425084e-02
1.743425289049132587e+01 2.186460724693987945e-02
1.756533749869051064e+01 2.205638860718695665e-02
1.769642210688969186e+01 2.225091134257373843e-02
1.782750671508887663e+01 2.244822914477692319e-02
1.795859132328805785e+01 2.264839703607338106e-02
1.808967593148724262e+01 2.285147140915174541e-02
1.822076053968642384e+01 2.305751006831691791e-02
1.835184514788560861e+01 2.326657227214327592e-02
1.848292975608478983e+01 2.347871877763465717e-02
1.861401436428397460e+01 2.369401188595202795e-02
1.874509897248315582e+01 2.391251548977224237e-02
1.887618358068234059e+01 2.413429512234436733e-02
1.900726818888152181e+01 2.435941800831296564e-02
1.913835279708070658e+01 2.458795311638106024e-02
1.926943740527988780e+01 2.481997121388855587e-02
1.940052201347907257e+01 2.505554492338588762e-02
1.953160662167825379e+01 2.529474878128564960e-02
1.966269122987743501e+01 2.553765929867967549e-02
1.979377583807661978e+01 2.578435502441234206e-02
1.992486044627580100e+01 2.603491661050571365e-02
2.005594505447498577e+01 2.628942688003634010e-02
2.018702966267416699e+01 2.654797089756836398e-02
2.031811427087335176e+01 2.681063604225265851e-02
2.044919887907253297e+01 2.707751208370673054e-02
2.058028348727171775e+01 2.734869126079603543e-02
2.071136809547089896e+01 2.762426836344271386e-02
2.084245270367008374e+01 2.790434081759424201e-02
2.097353731186926495e+01 2.818900877349083539e-02
2.110462192006844973e+01 2.847837519737710793e-02
2.123570652826763094e+01 2.877254596681083632e-02
2.136679113646681571e+01 2.907162996972919786e-02
2.149787574466599693e+01 2.937573920744055572e-02
2.162896035286518170e+01 2.968498890171880969e-02
2.176004496106436292e+01 2.999949760618532066e-02
2.189112956926354769e+01 3.031938732217375268e-02
2.202221417746272891e+01 3.064478361928198169e-02
2.215329878566191368e+01 3.097581576082660687e-02
2.228438339386109490e+01 3.131261683442555788e-02
2.241546800206027612e+01 3.165532388794671526e-02
2.254655261025946089e+01 3.200407807107197994e-02
2.267763721845864211e+01 3.235902478273954691e-02
2.280872182665782688e+01 3.272031382474060307e-02
2.293980643485700810e+01 3.308809956176077954e-02
2.307089104305619287e+01 3.346254108817232897e-02
2.320197565125537409e+01 3.384380240189852757e-02
2.333306025945455886e+01 3.423205258568917664e-02
2.346414486765374008e+01 3.462746599616337018e-02
2.359522947585292485e+01 3.503022246099555398e-02
2.372631408405210607e+01 3.544050748463951211e-02
2.385739869225129084e+01 3.585851246300758577e-02
2.398848330045047206e+01 3.628443490754332257e-02
2.411956790864965683e+01 3.671847867915056796e-02
2.425065251684883805e+01 3.716085423246592856e-02
2.438173712504802282e+01 3.761177887098896000e-02
2.451282173324720404e+01 3.807147701361130593e-02
2.464390634144638881e+01 3.854018047311651846e-02
2.477499094964557003e+01 3.901812874725289065e-02
2.490607555784475480e+01 3.950556932301492463e-02
2.503716016604393602e+01 4.000275799480396133e-02
2.516824477424312079e+01 4.050995919717569754e-02
2.529932938244230201e+01 4.102744635292086134e-02
2.543041399064148322e+01 4.155550223726758863e-02
2.556149859884066800e+01 4.209441935903696086e-02
2.569258320703984921e+01 4.264450035962988328e-02
2.582366781523903398e+01 4.320605843077261754e-02
2.595475242343821520e+01 4.377941775199954005e-02
2.608583703163739997e+01 4.436491394890708373e-02
2.621692163983658119e+01 4.496289457326980987e-02
2.634800624803576596e+01 4.557371960617201401e-02
2.647909085623494718e+01 4.619776198537130230e-02
2.661017546443413195e+01 4.683540815818035968e-02
2.674126007263331317e+01 4.748705866122389374e-02
2.687234468083249794e+01 4.815312872850460724e-02
2.700342928903167916e+01 4.883404892929210650e-02
2.713451389723086393e+01 4.953026583743292549e-02
2.726559850543004515e+01 5.024224273376907274e-02
2.739668311362922992e+01 5.097046034344676624e-02
2.752776772182841114e+01 5.171541760999499165e-02
2.765885233002759591e+01 5.247763250815781766e-02
2.778993693822677713e+01 5.325764289757299597e-02
