mode,frequency_cm1,irrep,ir_active,ir_km_mol,raman_active,raman_relative_total
1,0.0,Au,True,0.0,False,0.0
2,0.0,Bu,True,0.0,False,0.0
3,0.0,Bu,True,0.0,False,0.0
4,31.5762,Ag,False,0.0,True,185.23
5,39.3108,Bg,False,0.0,True,29.0
6,40.0063,Bu,True,0.4,False,0.0
7,47.841,Ag,False,0.0,True,1000.0
8,49.8572,Au,True,281.06,False,0.0
9,52.7927,Bg,False,0.0,True,107.17
10,99.7935,Ag,False,0.0,True,94.06
11,101.7129,Bu,True,5.4,False,0.0
12,105.1639,Ag,False,0.0,True,48.09
13,111.1927,Bu,True,1.41,False,0.0
14,117.5354,Au,True,2044.5,False,0.0
15,122.4131,Ag,False,0.0,True,56.72
16,186.768,Bg,False,0.0,True,8.92
17,191.3406,Ag,False,0.0,True,265.6
18,202.4724,Bg,False,0.0,True,131.67
19,209.2056,Au,True,98.29,False,0.0
20,234.632,Bu,True,10.31,False,0.0
21,243.2663,Bg,False,0.0,True,113.06
22,243.3896,Au,True,726.59,False,0.0
23,267.1631,Ag,False,0.0,True,371.33
24,270.1488,Bu,True,29.08,False,0.0
25,311.7134,Bu,True,106.68,False,0.0
26,316.9078,Ag,False,0.0,True,70.78
27,333.3901,Ag,False,0.0,True,557.43
28,341.9416,Bu,True,15.21,False,0.0
29,342.9708,Ag,False,0.0,True,393.65
30,365.3602,Bu,True,22.4,False,0.0
