frequency_cm-1,normalized_intensity
1.024327784891165116e+01,1.204819277108433798e-02
1.229193341869398282e+01,1.204819277108433798e-02
1.434058898847631269e+01,1.204819277108433798e-02
1.638924455825864257e+01,1.204819277108433798e-02
1.843790012804097245e+01,1.204819277108433798e-02
2.048655569782330232e+01,1.204819277108433798e-02
2.253521126760563220e+01,1.204819277108433798e-02
2.458386683738796563e+01,1.204819277108433798e-02
2.663252240717029551e+01,1.204819277108433798e-02
2.868117797695262539e+01,1.204819277108433798e-02
3.072983354673495526e+01,2.409638554216867595e-02
3.277848911651728514e+01,2.409638554216867595e-02
3.482714468629961857e+01,3.614457831325301046e-02
3.687580025608194489e+01,4.819277108433735191e-02
3.892445582586427832e+01,8.433734939759035543e-02
4.097311139564660465e+01,1.325301204819277212e-01
4.302176696542893808e+01,1.927710843373494076e-01
4.507042253521126440e+01,2.048192771084337283e-01
4.711907810499359783e+01,2.168674698795180766e-01
4.916773367477593126e+01,1.927710843373494076e-01
5.121638924455825759e+01,1.445783132530120418e-01
5.326504481434059102e+01,9.638554216867470381e-02
5.531370038412291734e+01,6.024096385542168641e-02
5.736235595390525077e+01,3.614457831325301046e-02
5.941101152368757710e+01,2.409638554216867595e-02
6.145966709346991053e+01,2.409638554216867595e-02
6.350832266325224396e+01,1.204819277108433798e-02
6.555697823303457028e+01,1.204819277108433798e-02
6.760563380281689660e+01,1.204819277108433798e-02
6.965428937259923714e+01,1.204819277108433798e-02
7.170294494238156346e+01,1.204819277108433798e-02
7.375160051216388979e+01,1.204819277108433798e-02
7.580025608194621611e+01,1.204819277108433798e-02
7.784891165172855665e+01,1.204819277108433798e-02
7.989756722151088297e+01,1.204819277108433798e-02
8.194622279129320930e+01,1.204819277108433798e-02
8.399487836107554983e+01,1.204819277108433798e-02
8.604353393085787616e+01,1.204819277108433798e-02
8.809218950064020248e+01,1.204819277108433798e-02
9.014084507042252881e+01,1.204819277108433798e-02
9.218950064020486934e+01,1.204819277108433798e-02
9.423815620998719567e+01,1.204819277108433798e-02
9.628681177976952199e+01,1.204819277108433798e-02
9.833546734955186253e+01,1.204819277108433798e-02
1.003841229193341889e+02,1.204819277108433798e-02
1.024327784891165152e+02,1.204819277108433798e-02
1.044814340588988415e+02,1.204819277108433798e-02
1.065300896286811820e+02,1.204819277108433798e-02
1.085787451984635084e+02,1.204819277108433798e-02
1.106274007682458347e+02,1.204819277108433798e-02
1.126760563380281752e+02,1.204819277108433798e-02
1.147247119078105015e+02,1.204819277108433798e-02
1.167733674775928279e+02,1.204819277108433798e-02
1.188220230473751542e+02,1.204819277108433798e-02
1.208706786171574947e+02,1.204819277108433798e-02
1.229193341869398211e+02,1.204819277108433798e-02
1.249679897567221474e+02,1.204819277108433798e-02
1.270166453265044879e+02,1.204819277108433798e-02
1.290653008962868000e+02,1.204819277108433798e-02
1.311139564660691406e+02,1.204819277108433798e-02
1.331626120358514811e+02,1.204819277108433798e-02
1.352112676056337932e+02,1.204819277108433798e-02
1.372599231754161337e+02,1.204819277108433798e-02
1.393085787451984743e+02,1.204819277108433798e-02
1.413572343149807864e+02,1.204819277108433798e-02
1.434058898847631269e+02,1.204819277108433798e-02
1.454545454545454675e+02,1.204819277108433798e-02
1.475032010243277796e+02,1.204819277108433798e-02
1.495518565941101201e+02,1.204819277108433798e-02
1.516005121638924322e+02,1.204819277108433798e-02
1.536491677336747728e+02,1.204819277108433798e-02
