# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
0.41272609 2.3047221977e-05 -1.6157667839e-09 -8.9733862802e-10 -1.6157667839e-09 2.3047396308e-05 -1.1526314998e-09 -8.9733862802e-10 -1.1526314998e-09 2.3046620017e-05
0.82545217 4.6094522294e-05 -3.2315388956e-09 -1.7946799395e-09 -3.2315388956e-09 4.6094870957e-05 -2.3052672757e-09 -1.7946799395e-09 -2.3052672757e-09 4.6093318371e-05
1.23817826 6.9141979291e-05 -4.8473216628e-09 -2.6920266180e-09 -4.8473216628e-09 6.9142502287e-05 -3.4579116037e-09 -2.6920266180e-09 -3.4579116037e-09 6.9140173401e-05
1.65090435 9.2189671310e-05 -6.4631204135e-09 -3.5893813471e-09 -6.4631204135e-09 9.2190368641e-05 -4.6105687602e-09 -3.5893813471e-09 -4.6105687602e-09 9.2187263446e-05
2.06363044 1.1523767669e-04 -8.0789404756e-09 -4.4867468103e-09 -8.0789404756e-09 1.1523854836e-04 -5.7632430214e-09 -4.4867468103e-09 -5.7632430214e-09 1.1523466685e-04
2.47635652 1.3828607379e-04 -9.6947871774e-09 -5.3841256913e-09 -9.6947871774e-09 1.3828711980e-04 -6.9159386638e-09 -5.3841256913e-09 -6.9159386638e-09 1.3828246195e-04
2.88908261 1.6133494095e-04 -1.1310665847e-08 -6.2815206739e-09 -1.1310665847e-08 1.6133616130e-04 -8.0686599640e-09 -6.2815206739e-09 -8.0686599640e-09 1.6133072710e-04
3.30180870 1.8438435652e-04 -1.2926581814e-08 -7.1789344421e-09 -1.2926581814e-08 1.8438575122e-04 -9.2214111990e-09 -7.1789344421e-09 -9.2214111990e-09 1.8437954065e-04
3.71453479 2.0743439887e-04 -1.4542540406e-08 -8.0763696798e-09 -1.4542540406e-08 2.0743596792e-04 -1.0374196646e-08 -8.0763696798e-09 -1.0374196646e-08 2.0742898096e-04
4.12726087 2.3048514635e-04 -1.6158546954e-08 -8.9738290713e-09 -1.6158546954e-08 2.3048688976e-04 -1.1527020582e-08 -8.9738290713e-09 -1.1527020582e-08 2.3047912638e-04
4.53998696 2.5353667734e-04 -1.7774606786e-08 -9.8713153009e-09 -1.7774606786e-08 2.5353859512e-04 -1.2679887286e-08 -9.8713153009e-09 -1.2679887286e-08 2.5353005529e-04
4.95271305 2.7658907021e-04 -1.9390725233e-08 -1.0768831053e-08 -1.9390725233e-08 2.7659116236e-04 -1.3832801035e-08 -1.0768831053e-08 -1.3832801035e-08 2.7658184606e-04
5.36543913 2.9964240335e-04 -2.1006907626e-08 -1.1666379013e-08 -2.1006907626e-08 2.9964466988e-04 -1.4985766109e-08 -1.1666379013e-08 -1.4985766109e-08 2.9963457707e-04
5.77816522 3.2269675515e-04 -2.2623159296e-08 -1.2563961865e-08 -2.2623159296e-08 3.2269919606e-04 -1.6138786785e-08 -1.2563961865e-08 -1.6138786785e-08 3.2268832671e-04
6.19089131 3.4575220401e-04 -2.4239485574e-08 -1.3461582296e-08 -2.4239485574e-08 3.4575481931e-04 -1.7291867345e-08 -1.3461582296e-08 -1.7291867345e-08 3.4574317337e-04
6.60361740 3.6880882833e-04 -2.5855891794e-08 -1.4359242989e-08 -2.5855891794e-08 3.6881161804e-04 -1.8445012068e-08 -1.4359242989e-08 -1.8445012068e-08 3.6879919547e-04
7.01634348 3.9186670655e-04 -2.7472383287e-08 -1.5256946632e-08 -2.7472383287e-08 3.9186967067e-04 -1.9598225235e-08 -1.5256946632e-08 -1.9598225235e-08 3.9185647143e-04
7.42906957 4.1492591708e-04 -2.9088965388e-08 -1.6154695910e-08 -2.9088965388e-08 4.1492905562e-04 -2.0751511128e-08 -1.6154695910e-08 -2.0751511128e-08 4.1491507966e-04
7.84179566 4.3798653837e-04 -3.0705643431e-08 -1.7052493510e-08 -3.0705643431e-08 4.3798985135e-04 -2.1904874028e-08 -1.7052493510e-08 -2.1904874028e-08 4.3797509862e-04
8.25452175 4.6104864888e-04 -3.2322422751e-08 -1.7950342118e-08 -3.2322422751e-08 4.6105213630e-04 -2.3058318219e-08 -1.7950342118e-08 -2.3058318219e-08 4.6103660675e-04
8.66724783 4.8411232706e-04 -3.3939308685e-08 -1.8848244423e-08 -3.3939308685e-08 4.8411598894e-04 -2.4211847983e-08 -1.8848244423e-08 -2.4211847983e-08 4.8409968251e-04
