# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 1.0506450267e+01 -2.4145565032e-04 -1.3345466313e-04 -2.4645565032e-04 1.0506475442e+01 -1.3257872965e-04 -1.6145466313e-04 -1.7357872965e-04 1.0506366989e+01
0.41272609 1.0506451218e+01 -2.4145571699e-04 -1.3345470016e-04 -2.4645571699e-04 1.0506476393e+01 -1.3257877721e-04 -1.6145470016e-04 -1.7357877721e-04 1.0506367940e+01
0.82545217 1.0506454071e+01 -2.4145591702e-04 -1.3345481125e-04 -2.4645591702e-04 1.0506479246e+01 -1.3257891990e-04 -1.6145481125e-04 -1.7357891990e-04 1.0506370793e+01
1.23817826 1.0506458826e+01 -2.4145625040e-04 -1.3345499640e-04 -2.4645625040e-04 1.0506484001e+01 -1.3257915772e-04 -1.6145499640e-04 -1.7357915772e-04 1.0506375548e+01
1.65090435 1.0506465484e+01 -2.4145671714e-04 -1.3345525561e-04 -2.4645671714e-04 1.0506490659e+01 -1.3257949066e-04 -1.6145525561e-04 -1.7357949066e-04 1.0506382205e+01
2.06363044 1.0506474043e+01 -2.4145731723e-04 -1.3345558889e-04 -2.4645731723e-04 1.0506499218e+01 -1.3257991874e-04 -1.6145558889e-04 -1.7357991874e-04 1.0506390765e+01
2.47635652 1.0506484505e+01 -2.4145805068e-04 -1.3345599623e-04 -2.4645805068e-04 1.0506509680e+01 -1.3258044195e-04 -1.6145599623e-04 -1.7358044195e-04 1.0506401226e+01
2.88908261 1.0506496869e+01 -2.4145891749e-04 -1.3345647763e-04 -2.4645891749e-04 1.0506522045e+01 -1.3258106029e-04 -1.6145647763e-04 -1.7358106029e-04 1.0506413590e+01
3.30180870 1.0506511135e+01 -2.4145991766e-04 -1.3345703309e-04 -2.4645991766e-04 1.0506536311e+01 -1.3258177377e-04 -1.6145703309e-04 -1.7358177377e-04 1.0506427856e+01
3.71453479 1.0506527304e+01 -2.4146105120e-04 -1.3345766263e-04 -2.4646105120e-04 1.0506552480e+01 -1.3258258238e-04 -1.6145766263e-04 -1.7358258238e-04 1.0506444024e+01
4.12726087 1.0506545375e+01 -2.4146231811e-04 -1.3345836623e-04 -2.4646231811e-04 1.0506570551e+01 -1.3258348614e-04 -1.6145836623e-04 -1.7358348614e-04 1.0506462095e+01
4.53998696 1.0506565349e+01 -2.4146371839e-04 -1.3345914390e-04 -2.4646371839e-04 1.0506590525e+01 -1.3258448504e-04 -1.6145914390e-04 -1.7358448504e-04 1.0506482068e+01
4.95271305 1.0506587225e+01 -2.4146525206e-04 -1.3345999565e-04 -2.4646525206e-04 1.0506612401e+01 -1.3258557909e-04 -1.6145999565e-04 -1.7358557909e-04 1.0506503944e+01
5.36543913 1.0506611003e+01 -2.4146691910e-04 -1.3346092148e-04 -2.4646691910e-04 1.0506636180e+01 -1.3258676829e-04 -1.6146092148e-04 -1.7358676829e-04 1.0506527721e+01
5.77816522 1.0506636685e+01 -2.4146871954e-04 -1.3346192138e-04 -2.4646871954e-04 1.0506661861e+01 -1.3258805265e-04 -1.6146192138e-04 -1.7358805265e-04 1.0506553402e+01
6.19089131 1.0506664269e+01 -2.4147065337e-04 -1.3346299536e-04 -2.4647065337e-04 1.0506689445e+01 -1.3258943216e-04 -1.6146299536e-04 -1.7358943216e-04 1.0506580985e+01
6.60361740 1.0506693756e+01 -2.4147272060e-04 -1.3346414343e-04 -2.4647272060e-04 1.0506718932e+01 -1.3259090685e-04 -1.6146414343e-04 -1.7359090685e-04 1.0506610472e+01
7.01634348 1.0506725145e+01 -2.4147492124e-04 -1.3346536559e-04 -2.4647492124e-04 1.0506750323e+01 -1.3259247671e-04 -1.6146536559e-04 -1.7359247671e-04 1.0506641861e+01
7.42906957 1.0506758438e+01 -2.4147725530e-04 -1.3346666184e-04 -2.4647725530e-04 1.0506783616e+01 -1.3259414175e-04 -1.6146666184e-04 -1.7359414175e-04 1.0506675153e+01
7.84179566 1.0506793634e+01 -2.4147972278e-04 -1.3346803219e-04 -2.4647972278e-04 1.0506818812e+01 -1.3259590197e-04 -1.6146803219e-04 -1.7359590197e-04 1.0506710348e+01
8.25452175 1.0506830734e+01 -2.4148232369e-04 -1.3346947663e-04 -2.4648232369e-04 1.0506855912e+01 -1.3259775738e-04 -1.6146947663e-04 -1.7359775738e-04 1.0506747446e+01
8.66724783 1.0506869736e+01 -2.4148505805e-04 -1.3347099519e-04 -2.4648505805e-04 1.0506894915e+01 -1.3259970798e-04 -1.6147099519e-04 -1.7359970798e-04 1.0506786448e+01
9.07997392 1.0506910643e+01 -2.4148792585e-04 -1.3347258785e-04 -2.4648792585e-04 1.0506935821e+01 -1.3260175380e-04 -1.6147258785e-04 -1.7360175380e-04 1.0506827353e+01
9.49270001 1.0506953453e+01 -2.4149092711e-04 -1.3347425462e-04 -2.4649092711e-04 1.0506978632e+01 -1.3260389482e-04 -1.6147425462e-04 -1.7360389482e-04 1.0506870162e+01
9.90542609 1.0506998167e+01 -2.4149406184e-04 -1.3347599551e-04 -2.4649406184e-04 1.0507023346e+01 -1.3260613107e-04 -1.6147599551e-04 -1.7360613107e-04 1.0506914875e+01
10.31815218 1.0507044784e+01 -2.4149733004e-04 -1.3347781053e-04 -2.4649733004e-04 1.0507069964e+01 -1.3260846254e-04 -1.6147781053e-04 -1.7360846254e-04 1.0506961491e+01
10.73087827 1.0507093306e+01 -2.4150073174e-04 -1.3347969967e-04 -2.4650073174e-04 1.0507118486e+01 -1.3261088925e-04 -1.6147969967e-04 -1.7361088925e-04 1.0507010012e+01
11.14360436 1.0507143733e+01 -2.4150426694e-04 -1.3348166296e-04 -2.4650426694e-04 1.0507168913e+01 -1.3261341121e-04 -1.6148166296e-04 -1.7361341121e-04 1.0507060437e+01
11.55633044 1.0507196063e+01 -2.4150793565e-04 -1.3348370038e-04 -2.4650793565e-04 1.0507221244e+01 -1.3261602842e-04 -1.6148370038e-04 -1.7361602842e-04 1.0507112766e+01
11.96905653 1.0507250299e+01 -2.4151173789e-04 -1.3348581195e-04 -2.4651173789e-04 1.0507275480e+01 -1.3261874090e-04 -1.6148581195e-04 -1.7361874090e-04 1.0507167000e+01
12.38178262 1.0507306439e+01 -2.4151567366e-04 -1.3348799767e-04 -2.4651567366e-04 1.0507331620e+01 -1.3262154866e-04 -1.6148799767e-04 -1.7362154866e-04 1.0507223139e+01
12.79450871 1.0507364484e+01 -2.4151974298e-04 -1.3349025755e-04 -2.4651974298e-04 1.0507389666e+01 -1.3262445170e-04 -1.6149025755e-04 -1.7362445170e-04 1.0507281183e+01
13.20723479 1.0507424435e+01 -2.4152394587e-04 -1.3349259160e-04 -2.4652394587e-04 1.0507449617e+01 -1.3262745003e-04 -1.6149259160e-04 -1.7362745003e-04 1.0507341132e+01
13.61996088 1.0507486291e+01 -2.4152828234e-04 -1.3349499982e-04 -2.4652828234e-04 1.0507511474e+01 -1.3263054368e-04 -1.6149499982e-04 -1.7363054368e-04 1.0507402986e+01
14.03268697 1.0507550052e+01 -2.4153275239e-04 -1.3349748222e-04 -2.4653275239e-04 1.0507575236e+01 -1.3263373264e-04 -1.6149748222e-04 -1.7363373264e-04 1.0507466746e+01
14.44541305 1.0507615720e+01 -2.4153735605e-04 -1.3350003881e-04 -2.4653735605e-04 1.0507640903e+01 -1.3263701693e-04 -1.6150003881e-04 -1.7363701693e-04 1.0507532411e+01
14.85813914 1.0507683293e+01 -2.4154209334e-04 -1.3350266960e-04 -2.4654209334e-04 1.0507708478e+01 -1.3264039657e-04 -1.6150266960e-04 -1.7364039657e-04 1.0507599983e+01
15.27086523 1.0507752773e+01 -2.4154696426e-04 -1.3350537459e-04 -2.4654696426e-04 1.0507777958e+01 -1.3264387156e-04 -1.6150537459e-04 -1.7364387156e-04 1.0507669461e+01
15.68359132 1.0507824159e+01 -2.4155196884e-04 -1.3350815380e-04 -2.4655196884e-04 1.0507849345e+01 -1.3264744193e-04 -1.6150815380e-04 -1.7364744193e-04 1.0507740846e+01
16.09631740 1.0507897453e+01 -2.4155710708e-04 -1.3351100722e-04 -2.4655710708e-04 1.0507922638e+01 -1.3265110767e-04 -1.6151100722e-04 -1.7365110767e-04 1.0507814137e+01
16.50904349 1.0507972653e+01 -2.4156237901e-04 -1.3351393487e-04 -2.4656237901e-04 1.0507997839e+01 -1.3265486881e-04 -1.6151393487e-04 -1.7365486881e-04 1.0507889335e+01
16.92176958 1.0508049760e+01 -2.4156778465e-04 -1.3351693676e-04 -2.4656778465e-04 1.0508074947e+01 -1.3265872536e-04 -1.6151693676e-04 -1.7365872536e-04 1.0507966441e+01
17.33449567 1.0508128775e+01 -2.4157332401e-04 -1.3352001289e-04 -2.4657332401e-04 1.0508153963e+01 -1.3266267733e-04 -1.6152001289e-04 -1.7366267733e-04 1.0508045454e+01
17.74722175 1.0508209698e+01 -2.4157899711e-04 -1.3352316329e-04 -2.4657899711e-04 1.0508234887e+01 -1.3266672474e-04 -1.6152316329e-04 -1.7366672474e-04 1.0508126375e+01
18.15994784 1.0508292529e+01 -2.4158480397e-04 -1.3352638794e-04 -2.4658480397e-04 1.0508317718e+01 -1.3267086761e-04 -1.6152638794e-04 -1.7367086761e-04 1.0508209203e+01
18.57267393 1.0508377269e+01 -2.4159074460e-04 -1.3352968687e-04 -2.4659074460e-04 1.0508402458e+01 -1.3267510594e-04 -1.6152968687e-04 -1.7367510594e-04 1.0508293941e+01
18.98540001 1.0508463917e+01 -2.4159681904e-04 -1.3353306009e-04 -2.4659681904e-04 1.0508489107e+01 -1.3267943976e-04 -1.6153306009e-04 -1.7367943976e-04 1.0508380586e+01
19.39812610 1.0508552474e+01 -2.4160302729e-04 -1.3353650760e-04 -2.4660302729e-04 1.0508577665e+01 -1.3268386908e-04 -1.6153650760e-04 -1.7368386908e-04 1.0508469141e+01
19.81085219 1.0508642940e+01 -2.4160936938e-04 -1.3354002941e-04 -2.4660936938e-04 1.0508668132e+01 -1.3268839391e-04 -1.6154002941e-04 -1.7368839391e-04 1.0508559605e+01
20.22357828 1.0508735316e+01 -2.4161584533e-04 -1.3354362555e-04 -2.4661584533e-04 1.0508760508e+01 -1.3269301428e-04 -1.6154362555e-04 -1.7369301428e-04 1.0508651978e+01
20.63630436 1.0508829602e+01 -2.4162245516e-04 -1.3354729600e-04 -2.4662245516e-04 1.0508854795e+01 -1.3269773021e-04 -1.6154729600e-04 -1.7369773021e-04 1.0508746262e+01
21.04903045 1.0508925798e+01 -2.4162919890e-04 -1.3355104080e-04 -2.4662919890e-04 1.0508950991e+01 -1.3270254170e-04 -1.6155104080e-04 -1.7370254170e-04 1.0508842455e+01
21.46175654 1.0509023904e+01 -2.4163607656e-04 -1.3355485994e-04 -2.4663607656e-04 1.0509049099e+01 -1.3270744877e-04 -1.6155485994e-04 -1.7370744877e-04 1.0508940559e+01
21.87448263 1.0509123922e+01 -2.4164308816e-04 -1.3355875344e-04 -2.4664308816e-04 1.0509149117e+01 -1.3271245146e-04 -1.6155875344e-04 -1.7371245146e-04 1.0509040574e+01
