# frequency_cm-1 intensity_x intensity_y intensity_z intensity_total
0.000000000000000000e+00 2.279155310352662607e-06 2.279172397961210295e-06 2.279100143122475997e-06 6.837427851436348475e-06
4.127260872647383061e-01 2.281583269799922324e-06 2.281600375692801462e-06 2.281528041476224432e-06 6.844711686968948219e-06
8.254521745294766122e-01 2.284015110979084997e-06 2.284032235185658405e-06 2.283959821460483861e-06 6.852007167625227263e-06
1.238178261794214974e+00 2.286450842169075214e-06 2.286467984718766700e-06 2.286395491353954410e-06 6.859314318241795901e-06
1.650904349058953224e+00 2.288890471670897176e-06 2.288907632593194920e-06 2.288835059457415390e-06 6.866633163721507486e-06
2.063630436323691697e+00 2.291334007807711766e-06 2.291351187132167056e-06 2.291278534093802801e-06 6.873963729033682046e-06
2.476356523588429948e+00 2.293781458924901783e-06 2.293798656681129852e-06 2.293725923608272432e-06 6.881306039214304490e-06
2.889082610853168198e+00 2.296232833390149009e-06 2.296250049607827353e-06 2.296177236368280334e-06 6.888660119366255848e-06
3.301808698117906449e+00 2.298688139593500287e-06 2.298705374302371197e-06 2.298632480763645922e-06 6.896025994659517406e-06
3.714534785382644699e+00 2.301147385947442058e-06 2.301164639177311352e-06 2.301091665206627360e-06 6.903403690331380770e-06
4.127260872647383394e+00 2.303610580886973203e-06 2.303627852667711075e-06 2.303554798131994830e-06 6.910793231686679108e-06
4.539986959912121200e+00 2.306077732869675348e-06 2.306095023231215519e-06 2.306021887997100836e-06 6.918194644097991279e-06
4.952713047176859895e+00 2.308548850375786557e-06 2.308566159348127969e-06 2.308492943281954745e-06 6.925607953005868847e-06
5.365439134441597702e+00 2.311023941908272906e-06 2.311041269521479299e-06 2.310967972489290543e-06 6.933033183919043595e-06
5.778165221706336396e+00 2.313503015992905985e-06 2.313520362277105051e-06 2.313446984144649853e-06 6.940470362414661313e-06
6.190891308971074203e+00 2.315986081178329393e-06 2.316003446163713621e-06 2.315929986796443337e-06 6.947919514138485927e-06
6.603617396235812897e+00 2.318473146036136660e-06 2.318490529752964609e-06 2.318416989016033288e-06 6.955380664805134981e-06
7.016343483500551592e+00 2.320964219160946640e-06 2.320981621639542088e-06 2.320907999397805201e-06 6.962853840198294776e-06
7.429069570765289399e+00 2.323459309170473384e-06 2.323476730441224909e-06 2.323403026559238923e-06 6.970339066170937216e-06
7.841795658030028093e+00 2.325958424705605766e-06 2.325975864798968015e-06 2.325902079140990394e-06 6.977836368645563752e-06
8.254521745294766788e+00 2.328461574430476516e-06 2.328479033376969779e-06 2.328405165806955173e-06 6.985345773614401891e-06
8.667247832559503706e+00 2.330968767032542259e-06 2.330986244862753320e-06 2.330912295244355683e-06 6.992867307139651686e-06
9.079973919824242401e+00 2.333480011222656369e-06 2.333497507967237656e-06 2.333423476163808974e-06 7.000400995353702576e-06
9.492700007088981096e+00 2.335995315735144771e-06 2.336012831424815627e-06 2.335938717299403802e-06 7.007946864459364624e-06
9.905426094353719790e+00 2.338514689327883869e-06 2.338532223993429285e-06 2.338458027408778980e-06 7.015504940730092135e-06
1.031815218161845848e+01 2.341038140782372973e-06 2.341055694454645699e-06 2.340981415273194953e-06 7.023075250510213202e-06
1.073087826888319540e+01 2.343565678903816031e-06 2.343583251613735311e-06 2.343508889697618075e-06 7.030657820215169416e-06
1.114360435614793410e+01 2.346097312521192781e-06 2.346114904299745198e-06 2.346040459510786682e-06 7.038252676331724236e-06
1.155633044341267279e+01 2.348633050487338799e-06 2.348650661365577428e-06 2.348576133565297910e-06 7.045859845418213713e-06
1.196905653067741149e+01 2.351172901679025118e-06 2.351190531688071643e-06 2.351115920737680116e-06 7.053479354104776877e-06
1.238178261794214841e+01 2.353716874997030225e-06 2.353734524168072824e-06 2.353659829928471230e-06 7.061111229093573432e-06
1.279450870520688710e+01 2.356264979366224343e-06 2.356282647730519800e-06 2.356207870062298800e-06 7.068755497159042943e-06
1.320723479247162579e+01 2.358817223735641424e-06 2.358834911324514290e-06 2.358760050087954104e-06 7.076412185148109819e-06
1.361996087973636449e+01 2.361373617078564284e-06 2.361391323923407293e-06 2.361316378978475587e-06 7.084081319980446741e-06
1.403268696700110318e+01 2.363934168392597016e-06 2.363951894524871513e-06 2.363876865731223399e-06 7.091762928648691504e-06
1.444541305426584010e+01 2.366498886699748427e-06 2.366516632150984367e-06 2.366441519367961552e-06 7.099457038218694346e-06
