# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
0.41270740 2.3050638602e-05 -2.3700940423e-09 -1.1847579512e-09 -2.3700940423e-09 2.3051453467e-05 -8.0399926396e-10 -1.1847579512e-09 -8.0399926396e-10 2.3050747614e-05
0.82541480 4.6101355555e-05 -4.7401972580e-09 -2.3695200510e-09 -4.7401972580e-09 4.6102985290e-05 -1.6080010263e-09 -2.3695200510e-09 -1.6080010263e-09 4.6101573581e-05
1.23812220 6.9152229213e-05 -7.1103188205e-09 -3.5542904480e-09 -7.1103188205e-09 6.9154673825e-05 -2.4120077853e-09 -3.5542904480e-09 -2.4120077853e-09 6.9152556255e-05
1.65082961 9.2203337929e-05 -9.4804679033e-09 -4.7390732911e-09 -9.4804679033e-09 9.2206597429e-05 -3.2160220395e-09 -4.7390732911e-09 -3.2160220395e-09 9.2203773991e-05
2.06353701 1.1525476006e-04 -1.1850653680e-08 -5.9238727291e-09 -1.1850653680e-08 1.1525883446e-04 -4.0200462873e-09 -5.9238727291e-09 -4.0200462873e-09 1.1525530515e-04
2.47624441 1.3830657396e-04 -1.4220885326e-08 -7.1086929109e-09 -1.4220885326e-08 1.3831146329e-04 -4.8240830272e-09 -7.1086929109e-09 -4.8240830272e-09 1.3830722808e-04
2.88895181 1.6135885800e-04 -1.6591172014e-08 -8.2935379857e-09 -1.6591172014e-08 1.6136456227e-04 -5.6281347580e-09 -8.2935379857e-09 -5.6281347580e-09 1.6135962116e-04
3.30165921 1.8441169053e-04 -1.8961522921e-08 -9.4784121029e-09 -1.8961522921e-08 1.8441820978e-04 -6.4322039782e-09 -9.4784121029e-09 -6.4322039782e-09 1.8441256275e-04
3.71436661 2.0746514994e-04 -2.1331947222e-08 -1.0663319412e-08 -2.1331947222e-08 2.0747248419e-04 -7.2362931870e-09 -1.0663319412e-08 -7.2362931870e-09 2.0746613122e-04
