# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 1.0506775169e+01 -2.9640958527e-04 -1.5439676385e-04 -3.0140958527e-04 1.0506847002e+01 -1.0718515821e-04 -1.8239676385e-04 -1.4818515821e-04 1.0506743682e+01
0.41270740 1.0506776120e+01 -2.9640968307e-04 -1.5439681273e-04 -3.0140968307e-04 1.0506847953e+01 -1.0718519138e-04 -1.8239681273e-04 -1.4818519138e-04 1.0506744633e+01
0.82541480 1.0506778973e+01 -2.9640997646e-04 -1.5439695940e-04 -3.0140997646e-04 1.0506850807e+01 -1.0718529091e-04 -1.8239695940e-04 -1.4818529091e-04 1.0506747486e+01
1.23812220 1.0506783729e+01 -2.9641046545e-04 -1.5439720383e-04 -3.0141046545e-04 1.0506855563e+01 -1.0718545680e-04 -1.8239720383e-04 -1.4818545680e-04 1.0506752242e+01
1.65082961 1.0506790387e+01 -2.9641115003e-04 -1.5439754605e-04 -3.0141115003e-04 1.0506862221e+01 -1.0718568903e-04 -1.8239754605e-04 -1.4818568903e-04 1.0506758900e+01
2.06353701 1.0506798948e+01 -2.9641203021e-04 -1.5439798604e-04 -3.0141203021e-04 1.0506870782e+01 -1.0718598763e-04 -1.8239798604e-04 -1.4818598763e-04 1.0506767461e+01
2.47624441 1.0506809411e+01 -2.9641310600e-04 -1.5439852381e-04 -3.0141310600e-04 1.0506881245e+01 -1.0718635257e-04 -1.8239852381e-04 -1.4818635257e-04 1.0506777924e+01
2.88895181 1.0506821776e+01 -2.9641437740e-04 -1.5439915937e-04 -3.0141437740e-04 1.0506893611e+01 -1.0718678388e-04 -1.8239915937e-04 -1.4818678388e-04 1.0506790289e+01
3.30165921 1.0506836044e+01 -2.9641584440e-04 -1.5439989270e-04 -3.0141584440e-04 1.0506907879e+01 -1.0718728154e-04 -1.8239989270e-04 -1.4818728154e-04 1.0506804557e+01
3.71436661 1.0506852214e+01 -2.9641750703e-04 -1.5440072382e-04 -3.0141750703e-04 1.0506924050e+01 -1.0718784557e-04 -1.8240072382e-04 -1.4818784557e-04 1.0506820728e+01
4.12707402 1.0506870287e+01 -2.9641936528e-04 -1.5440165273e-04 -3.0141936528e-04 1.0506942124e+01 -1.0718847595e-04 -1.8240165273e-04 -1.4818847595e-04 1.0506838801e+01
4.53978142 1.0506890263e+01 -2.9642141916e-04 -1.5440267943e-04 -3.0142141916e-04 1.0506962100e+01 -1.0718917270e-04 -1.8240267943e-04 -1.4818917270e-04 1.0506858776e+01
4.95248882 1.0506912141e+01 -2.9642366869e-04 -1.5440380393e-04 -3.0142366869e-04 1.0506983979e+01 -1.0718993581e-04 -1.8240380393e-04 -1.4818993581e-04 1.0506880655e+01
5.36519622 1.0506935922e+01 -2.9642611386e-04 -1.5440502623e-04 -3.0142611386e-04 1.0507007761e+01 -1.0719076529e-04 -1.8240502623e-04 -1.4819076529e-04 1.0506904436e+01
5.77790362 1.0506961606e+01 -2.9642875468e-04 -1.5440634633e-04 -3.0142875468e-04 1.0507033446e+01 -1.0719166115e-04 -1.8240634633e-04 -1.4819166115e-04 1.0506930120e+01
6.19061102 1.0506989193e+01 -2.9643159118e-04 -1.5440776424e-04 -3.0143159118e-04 1.0507061034e+01 -1.0719262337e-04 -1.8240776424e-04 -1.4819262337e-04 1.0506957707e+01
6.60331843 1.0507018683e+01 -2.9643462336e-04 -1.5440927996e-04 -3.0143462336e-04 1.0507090525e+01 -1.0719365197e-04 -1.8240927996e-04 -1.4819365197e-04 1.0506987197e+01
7.01602583 1.0507050076e+01 -2.9643785122e-04 -1.5441089351e-04 -3.0143785122e-04 1.0507121919e+01 -1.0719474696e-04 -1.8241089351e-04 -1.4819474696e-04 1.0507018590e+01
7.42873323 1.0507083372e+01 -2.9644127479e-04 -1.5441260487e-04 -3.0144127479e-04 1.0507155216e+01 -1.0719590832e-04 -1.8241260487e-04 -1.4819590832e-04 1.0507051887e+01
7.84144063 1.0507118572e+01 -2.9644489408e-04 -1.5441441407e-04 -3.0144489408e-04 1.0507190417e+01 -1.0719713607e-04 -1.8241441407e-04 -1.4819713607e-04 1.0507087086e+01
