# frequency_cm-1 intensity_x intensity_y intensity_z intensity_total
0.000000000000000000e+00 2.279375829285148590e-06 2.279424584782549141e-06 2.279355813538511204e-06 6.838156227606209358e-06
4.127074016062479700e-01 2.281804031178193519e-06 2.281852855576188546e-06 2.281784010523071355e-06 6.845440897277454268e-06
8.254148032124959400e-01 2.284236115202795266e-06 2.284285008638671867e-06 2.284216089657595620e-06 6.852737213499063176e-06
1.238122204818743910e+00 2.286672089638753404e-06 2.286721052250151047e-06 2.286652059221980134e-06 6.860045201110885431e-06
1.650829606424991880e+00 2.289111962787955164e-06 2.289160994712863562e-06 2.289091927518206996e-06 6.867364885019026144e-06
2.063537008031239850e+00 2.291555742974443193e-06 2.291604844351206120e-06 2.291535702870415415e-06 6.874696290196064727e-06
2.476244409637487820e+00 2.294003438544486283e-06 2.294052609511800302e-06 2.293983393624971168e-06 6.882039441681257329e-06
2.888951811243735790e+00 2.296455057866652216e-06 2.296504298563570067e-06 2.296435008150537751e-06 6.889394364580759610e-06
3.301659212849983760e+00 2.298910609331880183e-06 2.298959919897809936e-06 2.298890554838152613e-06 6.896761084067843579e-06
3.714366614456231730e+00 2.301370101353548127e-06 2.301419481928256148e-06 2.301350042101291102e-06 6.904139625383095801e-06
4.127074016062479700e+00 2.303833542367549818e-06 2.303882993091159921e-06 2.303813478375944825e-06 6.911530013834655411e-06
4.539781417668727670e+00 2.306300940832365586e-06 2.306350461845361573e-06 2.306280872120693211e-06 6.918932274798419947e-06
4.952488819274975640e+00 2.308772305229133044e-06 2.308821896672359129e-06 2.308752231816772130e-06 6.926346433718264726e-06
5.365196220881223610e+00 2.311247644061720780e-06 2.311297306076383286e-06 2.311227565968150968e-06 6.933772516106255457e-06
5.777903622487471580e+00 2.313726965856803745e-06 2.313776698584471947e-06 2.313706883101603355e-06 6.941210547542879471e-06
6.190611024093719550e+00 2.316210279163935675e-06 2.316260082746542649e-06 2.316190191766783399e-06 6.948660553677260876e-06
6.603318425699967520e+00 2.318697592555618545e-06 2.318747467135462436e-06 2.318677500536294296e-06 6.956122560227375701e-06
7.016025827306215490e+00 2.321188914627383883e-06 2.321238860347129606e-06 2.321168818005767949e-06 6.963596592980281439e-06
7.428733228912463460e+00 2.323684253997862657e-06 2.323734271000542311e-06 2.323664152793936968e-06 6.971082677792341513e-06
7.841440630518711430e+00 2.326183619308857264e-06 2.326233707737871834e-06 2.326163513542706666e-06 6.978580840589435340e-06
8.254148032124959400e+00 2.328687019225424546e-06 2.328737179224544322e-06 2.328666908917234681e-06 6.986091107367203973e-06
8.666855433731207370e+00 2.331194462435942703e-06 2.331244694149308552e-06 2.331174347606002550e-06 6.993613504191253382e-06
9.079562835337455340e+00 2.333705957652188796e-06 2.333756261224315127e-06 2.333685838320892792e-06 7.001148057197396714e-06
9.492270236943703310e+00 2.336221513609418368e-06 2.336271889185191861e-06 2.336201389797261746e-06 7.008694792591871975e-06
9.904977638549951280e+00 2.338741139066437022e-06 2.338791586791119167e-06 2.338721010794019622e-06 7.016253736651575810e-06
1.031768504015619925e+01 2.341264842805679188e-06 2.341315362824907138e-06 2.341244710093707154e-06 7.023824915724293056e-06
1.073039244176244722e+01 2.343792633633280975e-06 2.343843226093068386e-06 2.343772496502564213e-06 7.031408356228913573e-06
1.114309984336869519e+01 2.346324520379161905e-06 2.346375185425900634e-06 2.346304378850615776e-06 7.039004084655678739e-06
1.155580724497494316e+01 2.348860511897100725e-06 2.348911249677561254e-06 2.348840365991746046e-06 7.046612127566407602e-06
1.196851464658119113e+01 2.351400617064807828e-06 2.351451427726142225e-06 2.351380466803773835e-06 7.054232511594723889e-06
1.238122204818743910e+01 2.353944844784010800e-06 2.353995728473751030e-06 2.353924690188531340e-06 7.061865263446293170e-06
