# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
0.40772609 1.8214411545e-05 -1.2769539515e-09 -7.0917419500e-10 -1.2769539515e-09 1.8214549321e-05 -9.1093427623e-10 -7.0917419500e-10 -9.1093427623e-10 1.8213935811e-05
0.81545217 3.6428883513e-05 -2.5539120123e-09 -1.4183504598e-09 -2.5539120123e-09 3.6429159065e-05 -1.8218718506e-09 -1.4183504598e-09 -1.8218718506e-09 3.6427932043e-05
1.22317826 5.4643476329e-05 -3.8308782917e-09 -2.1275308641e-09 -3.8308782917e-09 5.4643889657e-05 -2.7328160213e-09 -2.1275308641e-09 -2.7328160213e-09 5.4642049119e-05
1.63090435 7.2858250416e-05 -5.1078568991e-09 -2.8367174777e-09 -5.1078568991e-09 7.2858801523e-05 -3.6437700866e-09 -2.8367174777e-09 -3.6437700866e-09 7.2856347462e-05
2.03863044 9.1073266202e-05 -6.3848519440e-09 -3.5459123706e-09 -6.3848519440e-09 9.1073955089e-05 -4.5547373447e-09 -3.5459123706e-09 -4.5547373447e-09 9.1070887496e-05
2.44635652 1.0928858411e-04 -7.6618675360e-09 -4.2551176126e-09 -7.6618675360e-09 1.0928941078e-04 -5.4657210941e-09 -4.2551176126e-09 -5.4657210941e-09 1.0928572965e-04
2.85408261 1.2750426458e-04 -8.9389077849e-09 -4.9643352736e-09 -8.9389077849e-09 1.2750522904e-04 -6.3767246334e-09 -4.9643352736e-09 -6.3767246334e-09 1.2750093435e-04
3.26180870 1.4572036805e-04 -1.0215976801e-08 -5.6735674239e-09 -1.0215976801e-08 1.4572147029e-04 -7.2877512614e-09 -5.6735674239e-09 -7.2877512614e-09 1.4571656203e-04
3.66953479 1.6393695494e-04 -1.1493078694e-08 -6.3828161334e-09 -1.1493078694e-08 1.6393819497e-04 -8.1988042770e-09 -6.3828161334e-09 -8.1988042770e-09 1.6393267312e-04
4.07726087 1.8215408570e-04 -1.2770217574e-08 -7.0920834727e-09 -1.2770217574e-08 1.8215546353e-04 -9.1098869795e-09 -7.0920834727e-09 -9.1098869795e-09 1.8214932807e-04
4.48498696 2.0037182077e-04 -1.4047397553e-08 -7.8013715120e-09 -1.4047397553e-08 2.0037333640e-04 -1.0021002668e-08 -7.8013715120e-09 -1.0021002668e-08 2.0036658732e-04
4.89271305 2.1859022061e-04 -1.5324622741e-08 -8.5106823219e-09 -1.5324622741e-08 2.1859187405e-04 -1.0932154643e-08 -8.5106823219e-09 -1.0932154643e-08 2.1858451132e-04
5.30043913 2.3680934568e-04 -1.6601897250e-08 -9.2200179733e-09 -1.6601897250e-08 2.3681113693e-04 -1.1843346204e-08 -9.2200179733e-09 -1.1843346204e-08 2.3680316052e-04
5.70816522 2.5502925643e-04 -1.7879225192e-08 -9.9293805370e-09 -1.7879225192e-08 2.5503118550e-04 -1.2754580652e-08 -9.9293805370e-09 -1.2754580652e-08 2.5502259538e-04
6.11589131 2.7325001334e-04 -1.9156610679e-08 -1.0638772084e-08 -1.9156610679e-08 2.7325208023e-04 -1.3665861287e-08 -1.0638772084e-08 -1.3665861287e-08 2.7324287637e-04
6.52361740 2.9147167687e-04 -2.0434057824e-08 -1.1348194686e-08 -2.0434057824e-08 2.9147388160e-04 -1.4577191411e-08 -1.1348194686e-08 -1.4577191411e-08 2.9146406397e-04
6.93134348 3.0969430752e-04 -2.1711570740e-08 -1.2057650414e-08 -2.1711570740e-08 3.0969665008e-04 -1.5488574326e-08 -1.2057650414e-08 -1.5488574326e-08 3.0968621866e-04
7.33906957 3.2791796578e-04 -2.2989153541e-08 -1.2767141340e-08 -2.2989153541e-08 3.2792044619e-04 -1.6400013333e-08 -1.2767141340e-08 -1.6400013333e-08 3.2790940092e-04
