# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 1.0506450267e+01 -2.4145565032e-04 -1.3345466313e-04 -2.4645565032e-04 1.0506475442e+01 -1.3257872965e-04 -1.6145466313e-04 -1.7357872965e-04 1.0506366989e+01
0.40772609 1.0506451195e+01 -2.4145571539e-04 -1.3345469927e-04 -2.4645571539e-04 1.0506476370e+01 -1.3257877607e-04 -1.6145469927e-04 -1.7357877607e-04 1.0506367917e+01
0.81545217 1.0506453979e+01 -2.4145591061e-04 -1.3345480769e-04 -2.4645591061e-04 1.0506479154e+01 -1.3257891533e-04 -1.6145480769e-04 -1.7357891533e-04 1.0506370702e+01
1.22317826 1.0506458620e+01 -2.4145623599e-04 -1.3345498839e-04 -2.4645623599e-04 1.0506483796e+01 -1.3257914744e-04 -1.6145498839e-04 -1.7357914744e-04 1.0506375343e+01
1.63090435 1.0506465118e+01 -2.4145669151e-04 -1.3345524138e-04 -2.4645669151e-04 1.0506490293e+01 -1.3257947239e-04 -1.6145524138e-04 -1.7357947239e-04 1.0506381840e+01
2.03863044 1.0506473472e+01 -2.4145727718e-04 -1.3345556664e-04 -2.4645727718e-04 1.0506498647e+01 -1.3257989018e-04 -1.6145556664e-04 -1.7357989018e-04 1.0506390194e+01
2.44635652 1.0506483682e+01 -2.4145799301e-04 -1.3345596419e-04 -2.4645799301e-04 1.0506508858e+01 -1.3258040082e-04 -1.6145596419e-04 -1.7358040082e-04 1.0506400404e+01
2.85408261 1.0506495750e+01 -2.4145883899e-04 -1.3345643402e-04 -2.4645883899e-04 1.0506520925e+01 -1.3258100431e-04 -1.6145643402e-04 -1.7358100431e-04 1.0506412471e+01
3.26180870 1.0506509673e+01 -2.4145981514e-04 -1.3345697614e-04 -2.4645981514e-04 1.0506534849e+01 -1.3258170065e-04 -1.6145697614e-04 -1.7358170065e-04 1.0506426394e+01
3.66953479 1.0506525453e+01 -2.4146092144e-04 -1.3345759054e-04 -2.4646092144e-04 1.0506550629e+01 -1.3258248984e-04 -1.6145759054e-04 -1.7358248984e-04 1.0506442174e+01
4.07726087 1.0506543090e+01 -2.4146215791e-04 -1.3345827724e-04 -2.4646215791e-04 1.0506568266e+01 -1.3258337189e-04 -1.6145827724e-04 -1.7358337189e-04 1.0506459810e+01
4.48498696 1.0506562584e+01 -2.4146352455e-04 -1.3345903622e-04 -2.4646352455e-04 1.0506587760e+01 -1.3258434680e-04 -1.6145903622e-04 -1.7358434680e-04 1.0506479303e+01
4.89271305 1.0506583934e+01 -2.4146502136e-04 -1.3345986750e-04 -2.4646502136e-04 1.0506609110e+01 -1.3258541457e-04 -1.6145986750e-04 -1.7358541457e-04 1.0506500653e+01
5.30043913 1.0506607142e+01 -2.4146664835e-04 -1.3346077108e-04 -2.4646664835e-04 1.0506632318e+01 -1.3258657520e-04 -1.6146077108e-04 -1.7358657520e-04 1.0506523860e+01
5.70816522 1.0506632206e+01 -2.4146840553e-04 -1.3346174695e-04 -2.4646840553e-04 1.0506657382e+01 -1.3258782871e-04 -1.6146174695e-04 -1.7358782871e-04 1.0506548923e+01
