# frequency_cm-1 intensity_x intensity_y intensity_z intensity_total
0.000000000000000000e+00 1.823351537339292436e-06 1.823365207632547561e-06 1.823307402842395586e-06 5.470024147814235583e-06
4.077260872647383017e-01 1.825270412843235855e-06 1.825284097587046913e-06 1.825226230062556323e-06 5.475780740492839515e-06
8.154521745294766033e-01 1.827192319020740912e-06 1.827206018238032427e-06 1.827148087877116694e-06 5.481546425135889610e-06
1.223178261794214849e+00 1.829117262257311593e-06 1.829130975971056370e-06 1.829072982671407042e-06 5.487321220899775428e-06
1.630904349058953207e+00 1.831045248955275230e-06 1.831058977188494987e-06 1.831000920847581480e-06 5.493105146991351909e-06
2.038630436323691342e+00 1.832976285533840943e-06 1.832990028309606530e-06 1.832931908824675700e-06 5.498898222668123173e-06
2.446356523588429699e+00 1.834910378429149195e-06 1.834924135770579317e-06 1.834865953038655251e-06 5.504700467238383128e-06
2.854082610853168056e+00 1.836847534094328542e-06 1.836861306024591879e-06 1.836803059942474412e-06 5.510511900061395045e-06
3.261808698117906413e+00 1.838787758999545607e-06 1.838801545541859755e-06 1.838743236006124047e-06 5.516332540547528774e-06
3.669534785382644770e+00 1.840731059632063525e-06 1.840744860809694999e-06 1.840686487716691744e-06 5.522162408158450480e-06
4.077260872647382683e+00 1.842677442496292134e-06 1.842691258332557208e-06 1.842632821578411581e-06 5.528001522407261558e-06
4.484986959912121485e+00 1.844626914113846625e-06 1.844640744632111127e-06 1.844582244112720449e-06 5.533849902858678201e-06
4.892713047176859398e+00 1.846579481023596676e-06 1.846593326247276196e-06 1.846534761858312690e-06 5.539707569129185562e-06
5.300439134441598199e+00 1.848535149781727435e-06 1.848549009734287116e-06 1.848490381371194940e-06 5.545574540887209703e-06
5.708165221706336112e+00 1.850493926961789285e-06 1.850507801666744243e-06 1.850449109224739282e-06 5.551450837853272598e-06
6.115891308971074913e+00 1.852455819154756923e-06 1.852469708635672674e-06 1.852410952009741899e-06 5.557336479800171708e-06
6.523617396235812826e+00 1.854420832969082089e-06 1.854434737249573911e-06 1.854375916334475385e-06 5.563231486553131597e-06
6.931343483500550740e+00 1.856388975030750316e-06 1.856402894134484522e-06 1.856344008824745703e-06 5.569135877989980118e-06
7.339069570765289541e+00 1.858360251983338531e-06 1.858374185934031196e-06 1.858315236123949147e-06 5.575049674041318662e-06
7.746795658030027454e+00 1.860334670488066084e-06 1.860348619309484318e-06 1.860289604893125287e-06 5.580972894690676325e-06
