# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 2.661087631162040650e-05
4.077260872647383017e-01 2.663888130238624042e-05
8.154521745294766033e-01 2.666693052424408248e-05
1.223178261794214849e+00 2.669502407038697766e-05
1.630904349058953207e+00 2.672316203425351223e-05
2.038630436323691342e+00 2.675134450952865739e-05
2.446356523588429699e+00 2.677957159014445710e-05
2.854082610853168056e+00 2.680784337028093605e-05
3.261808698117906413e+00 2.683615994436673667e-05
3.669534785382644770e+00 2.686452140708004744e-05
4.077260872647382683e+00 2.689292785334928735e-05
4.484986959912121485e+00 2.692137937835396979e-05
4.892713047176859398e+00 2.694987607752545480e-05
5.300439134441598199e+00 2.697841804654779605e-05
5.708165221706336112e+00 2.700700538135847946e-05
6.115891308971074913e+00 2.703563817814929397e-05
6.523617396235812826e+00 2.706431653336710403e-05
6.931343483500550740e+00 2.709304054371466610e-05
7.339069570765289541e+00 2.712181030615146219e-05
7.746795658030027454e+00 2.715062591789447571e-05
8.154521745294765367e+00 2.717948747641908255e-05
8.562247832559505056e+00 2.720839507945979646e-05
8.969973919824242969e+00 2.723734882501115676e-05
9.377700007088980882e+00 2.726634881132851778e-05
9.785426094353718796e+00 2.729539513692892975e-05
1.019315218161845671e+01 2.732448790059191130e-05
1.060087826888319640e+01 2.735362720136035410e-05
1.100860435614793431e+01 2.738281313854130892e-05
1.141633044341267222e+01 2.741204581170687666e-05
1.182405653067741014e+01 2.744132532069504867e-05
1.223178261794214983e+01 2.747065176561052323e-05
1.263950870520688774e+01 2.750002524682560685e-05
1.304723479247162565e+01 2.752944586498104091e-05
1.345496087973636357e+01 2.755891372098690298e-05
1.386268696700110148e+01 2.758842891602341651e-05
1.427041305426584117e+01 2.761799155154186566e-05
1.467813914153057908e+01 2.764760172926543897e-05
1.508586522879531699e+01 2.767725955119013732e-05
1.549359131606005491e+01 2.770696511958560068e-05
1.590131740332479460e+01 2.773671853699604661e-05
1.630904349058953073e+01 2.776651990624110712e-05
1.671676957785426865e+01 2.779636933041676380e-05
1.712449566511901011e+01 2.782626691289618809e-05
1.753222175238374803e+01 2.785621275733066960e-05
1.793994783964848594e+01 2.788620696765051400e-05
1.834767392691322385e+01 2.791624964806592389e-05
1.875540001417796176e+01 2.794634090306794753e-05
1.916312610144269968e+01 2.797648083742931567e-05
1.957085218870743759e+01 2.800666955620542410e-05
1.997857827597217550e+01 2.803690716473520445e-05
2.038630436323691342e+01 2.806719376864208636e-05
2.079403045050165488e+01 2.809752947383484456e-05
2.120175653776639280e+01 2.812791438650863224e-05
2.160948262503113071e+01 2.815834861314578399e-05
2.201720871229586862e+01 2.818883226051688314e-05
2.242493479956060654e+01 2.821936543568156808e-05
2.283266088682534445e+01 2.824994824598958936e-05
2.324038697409008236e+01 2.828058079908164998e-05
2.364811306135482027e+01 2.831126320289044552e-05
2.405583914861955819e+01 2.834199556564153151e-05
2.446356523588429965e+01 2.837277799585432968e-05
2.487129132314903757e+01 2.840361060234309701e-05
2.527901741041377548e+01 2.843449349421782018e-05
2.568674349767851339e+01 2.846542678088526926e-05
2.609446958494325131e+01 2.849641057204986170e-05
2.650219567220798922e+01 2.852744497771476348e-05
2.690992175947272713e+01 2.855853010818274967e-05
2.731764784673746504e+01 2.858966607405723784e-05
2.772537393400220296e+01 2.862085298624327738e-05
2.813310002126694442e+01 2.865209095594852188e-05
2.854082610853168234e+01 2.868338009468421511e-05
2.894855219579642025e+01 2.871472051426620403e-05
2.935627828306115816e+01 2.874611232681592140e-05
2.976400437032589608e+01 2.877755564476138861e-05
3.017173045759063399e+01 2.880905058083824572e-05
3.057945654485537190e+01 2.884059724809073059e-05
3.098718263212010982e+01 2.887219575987272585e-05
3.139490871938484773e+01 2.890384622984873127e-05
3.180263480664958919e+01 2.893554877199494796e-05
