# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
0.37878292 3.3570375428e-05 -1.8048788360e-10 -2.3280484329e-10 -1.8048788360e-10 3.3570482889e-05 8.1533878636e-10 -2.3280484329e-10 8.1533878636e-10 5.3895344803e-05
0.75756583 6.7140887261e-05 -3.6097686714e-10 -4.6561093550e-10 -3.6097686714e-10 6.7141102185e-05 1.6306818109e-09 -4.6561093550e-10 1.6306818109e-09 1.0779095053e-04
1.13634875 1.0071167191e-04 -5.4146805053e-10 -6.9841952558e-10 -5.4146805053e-10 1.0071199429e-04 2.4460333117e-09 -6.9841952558e-10 2.4460333117e-09 1.6168707812e-04
1.51513167 1.3428286577e-04 -7.2196253373e-10 -9.3123186251e-10 -7.2196253373e-10 1.3428329562e-04 3.2613975271e-09 -9.3123186251e-10 3.2613975271e-09 2.1558398849e-04
1.89391458 1.6785460527e-04 -9.0246141679e-10 -1.1640491953e-09 -9.0246141679e-10 1.6785514259e-04 4.0767786957e-09 -1.1640491953e-09 4.0767786957e-09 2.6948194260e-04
2.27269750 2.0142702683e-04 -1.0829657997e-09 -1.3968727730e-09 -1.0829657997e-09 2.0142767162e-04 4.8921810560e-09 -1.3968727730e-09 4.8921810560e-09 3.2338120141e-04
2.65148041 2.3500026686e-04 -1.2634767828e-09 -1.6297038449e-09 -1.2634767828e-09 2.3500101913e-04 5.7076088471e-09 -1.6297038449e-09 5.7076088471e-09 3.7728202588e-04
3.03026333 2.6857446180e-04 -1.4439954661e-09 -1.8625436602e-09 -1.4439954661e-09 2.6857532155e-04 6.5230663082e-09 -1.8625436602e-09 6.5230663082e-09 4.3118467701e-04
3.40904625 3.0214974811e-04 -1.6245229500e-09 -2.0953934682e-09 -1.6245229500e-09 3.0215071534e-04 7.3385576789e-09 -2.0953934682e-09 7.3385576789e-09 4.8508941581e-04
3.78782916 3.3572626223e-04 -1.8050603350e-09 -2.3282545185e-09 -1.8050603350e-09 3.3572733695e-04 8.1540871994e-09 -2.3282545185e-09 8.1540871994e-09 5.3899650333e-04
4.16661208 3.6930414062e-04 -1.9856087217e-09 -2.5611280608e-09 -1.9856087217e-09 3.6930532284e-04 8.9696591102e-09 -2.5611280608e-09 8.9696591102e-09 5.9290620062e-04
4.54539500 4.0288351978e-04 -2.1661692108e-09 -2.7940153449e-09 -2.1661692108e-09 4.0288480950e-04 9.7852776525e-09 -2.7940153449e-09 9.7852776525e-09 6.4681876880e-04
