# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 8.2297321750e+00 -1.5094287589e-05 -2.0036196824e-05 -5.0942875892e-06 8.2297371862e+00 7.0820667424e-05 -1.8036196824e-05 6.8820667424e-05 9.7497462175e+00
0.37878292 8.2297334462e+00 -1.5094294423e-05 -2.0036205639e-05 -5.0942944227e-06 8.2297384575e+00 7.0820698299e-05 -1.8036205639e-05 6.8820698299e-05 9.7497482584e+00
0.75756583 8.2297372601e+00 -1.5094314926e-05 -2.0036232086e-05 -5.0943149259e-06 8.2297422714e+00 7.0820790922e-05 -1.8036232086e-05 6.8820790922e-05 9.7497543810e+00
1.13634875 8.2297436166e+00 -1.5094349097e-05 -2.0036276163e-05 -5.0943490966e-06 8.2297486279e+00 7.0820945294e-05 -1.8036276163e-05 6.8820945294e-05 9.7497645855e+00
1.51513167 8.2297525157e+00 -1.5094396936e-05 -2.0036337873e-05 -5.0943969362e-06 8.2297575270e+00 7.0821161416e-05 -1.8036337873e-05 6.8821161416e-05 9.7497788719e+00
1.89391458 8.2297639574e+00 -1.5094458445e-05 -2.0036417213e-05 -5.0944584448e-06 8.2297689688e+00 7.0821439290e-05 -1.8036417213e-05 6.8821439290e-05 9.7497972402e+00
2.27269750 8.2297779419e+00 -1.5094533623e-05 -2.0036514187e-05 -5.0945336232e-06 8.2297829533e+00 7.0821778916e-05 -1.8036514187e-05 6.8821778916e-05 9.7498196905e+00
2.65148041 8.2297944691e+00 -1.5094622471e-05 -2.0036628792e-05 -5.0946224707e-06 8.2297994805e+00 7.0822180297e-05 -1.8036628792e-05 6.8822180297e-05 9.7498462230e+00
3.03026333 8.2298135391e+00 -1.5094724989e-05 -2.0036761031e-05 -5.0947249886e-06 8.2298185506e+00 7.0822643433e-05 -1.8036761031e-05 6.8822643433e-05 9.7498768377e+00
3.40904625 8.2298351521e+00 -1.5094841178e-05 -2.0036910905e-05 -5.0948411775e-06 8.2298401636e+00 7.0823168329e-05 -1.8036910905e-05 6.8823168329e-05 9.7499115348e+00
3.78782916 8.2298593080e+00 -1.5094971038e-05 -2.0037078412e-05 -5.0949710383e-06 8.2298643197e+00 7.0823754987e-05 -1.8037078412e-05 6.8823754987e-05 9.7499503145e+00
4.16661208 8.2298860070e+00 -1.5095114571e-05 -2.0037263556e-05 -5.0951145715e-06 8.2298910188e+00 7.0824403409e-05 -1.8037263556e-05 6.8824403409e-05 9.7499931769e+00
4.54539500 8.2299152493e+00 -1.5095271778e-05 -2.0037466336e-05 -5.0952717778e-06 8.2299202611e+00 7.0825113599e-05 -1.8037466336e-05 6.8825113599e-05 9.7500401224e+00
4.92417791 8.2299470348e+00 -1.5095442659e-05 -2.0037686755e-05 -5.0954426587e-06 8.2299520468e+00 7.0825885561e-05 -1.8037686755e-05 6.8825885561e-05 9.7500911510e+00
5.30296083 8.2299813638e+00 -1.5095627215e-05 -2.0037924812e-05 -5.0956272149e-06 8.2299863759e+00 7.0826719298e-05 -1.8037924812e-05 6.8826719298e-05 9.7501462631e+00
5.68174375 8.2300182364e+00 -1.5095825447e-05 -2.0038180509e-05 -5.0958254470e-06 8.2300232486e+00 7.0827614816e-05 -1.8038180509e-05 6.8827614816e-05 9.7502054589e+00
6.06052666 8.2300576528e+00 -1.5096037357e-05 -2.0038453848e-05 -5.0960373573e-06 8.2300626650e+00 7.0828572118e-05 -1.8038453848e-05 6.8828572118e-05 9.7502687387e+00
6.43930958 8.2300996130e+00 -1.5096262946e-05 -2.0038744830e-05 -5.0962629462e-06 8.2301046254e+00 7.0829591210e-05 -1.8038744830e-05 6.8829591210e-05 9.7503361028e+00
6.81809250 8.2301441173e+00 -1.5096502216e-05 -2.0039053457e-05 -5.0965022163e-06 8.2301491298e+00 7.0830672097e-05 -1.8039053457e-05 6.8830672097e-05 9.7504075515e+00
