# frequency_cm-1 intensity_x intensity_y intensity_z intensity_total
0.000000000000000000e+00 5.161053935748753298e-06 5.161062197551905071e-06 6.953880430296696140e-06 1.727599656359735705e-05
3.787829164223295852e-01 5.167065587648628017e-06 5.167073863888738940e-06 6.962722686672012835e-06 1.729686213820937979e-05
7.575658328446591705e-01 5.173087749118363533e-06 5.173096039829091305e-06 6.971581818530789165e-06 1.731776560747824316e-05
1.136348749266988811e+00 5.179120444668864794e-06 5.179128749883967068e-06 6.980457868841920648e-06 1.733870706339475420e-05
1.515131665689318341e+00 5.185163698882535650e-06 5.185172018635864943e-06 6.989350880711151985e-06 1.735968659822955258e-05
1.893914582111647871e+00 5.191217536413525331e-06 5.191225870739036655e-06 6.998260897381594601e-06 1.738070430453415405e-05
2.272697498533977623e+00 5.197281981987981720e-06 5.197290330919728339e-06 7.007187962234251799e-06 1.740176027514196016e-05
2.651480414956306930e+00 5.203357060404308841e-06 5.203365423976441429e-06 7.016132118788550703e-06 1.742285460316930182e-05
3.030263331378636682e+00 5.209442796533408270e-06 5.209451174780181688e-06 7.025093410702869109e-06 1.744398738201645907e-05
3.409046247800966434e+00 5.215539215318947642e-06 5.215547608274712463e-06 7.034071881775071657e-06 1.746515870536873176e-05
3.787829164223295741e+00 5.221646341777604598e-06 5.221654749476814735e-06 7.043067575943041769e-06 1.748636866719745941e-05
4.166612080645625049e+00 5.227764200999333597e-06 5.227772623476542065e-06 7.052080537285222057e-06 1.750761736176109857e-05
4.545394997067955245e+00 5.233892818147611561e-06 5.233901255437474711e-06 7.061110810021146254e-06 1.752890488360623253e-05
4.924177913490284553e+00 5.240032218459708071e-06 5.240040670596983055e-06 7.070158438511994028e-06 1.755023132756868600e-05
5.302960829912613860e+00 5.246182427246941179e-06 5.246190894266486791e-06 7.079223467261127997e-06 1.757159678877455512e-05
5.681743746334944056e+00 5.252343469894934902e-06 5.252351951831712426e-06 7.088305940914642606e-06 1.759300136264128824e-05
6.060526662757273364e+00 5.258515371863886035e-06 5.258523868752959247e-06 7.097405904261911311e-06 1.761444514487875659e-05
6.439309579179602672e+00 5.264698158688823348e-06 5.264706670565359362e-06 7.106523402236145623e-06 1.763592823149032833e-05
6.818092495601932868e+00 5.270891855979872704e-06 5.270900382879142820e-06 7.115658479914941439e-06 1.765745071877395612e-05
7.196875412024262175e+00 5.277096489422527266e-06 5.277105031379905273e-06 7.124811182520838089e-06 1.767901270332327147e-05
7.575658328446591483e+00 5.283312084777904989e-06 5.283320641828868861e-06 7.133981555421884998e-06 1.770061428202865885e-05
7.954441244868921679e+00 5.289538667883019676e-06 5.289547240063153269e-06 7.143169644132194802e-06 1.772225555207837029e-05
8.333224161291250098e+00 5.295776264651053721e-06 5.295784851996045920e-06 7.152375494312514241e-06 1.774393661095961304e-05
8.712007077713581182e+00 5.302024901071623230e-06 5.302033503617267107e-06 7.161599151770784056e-06 1.776565755645967439e-05
9.090789994135910490e+00 5.308284603211047376e-06 5.308293220993241034e-06 7.170840662462720897e-06 1.778741848666700931e-05
9.469572910558239798e+00 5.314555397212624536e-06 5.314564030267374498e-06 7.180100072492375516e-06 1.780921949997237540e-05
9.848355826980569105e+00 5.320837309296902489e-06 5.320845957660319464e-06 7.189377428112718070e-06 1.783106069506994087e-05
1.022713874340289841e+01 5.327130365761953707e-06 5.327139029470255130e-06 7.198672775726214100e-06 1.785294217095842294e-05
1.060592165982522772e+01 5.333434592983648941e-06 5.333443272073160667e-06 7.207986161885398824e-06 1.787486402694220928e-05
1.098470457624755880e+01 5.339750017415935055e-06 5.339758711923090512e-06 7.217317633293464127e-06 1.789682636263248969e-05
1.136348749266988811e+01 5.346076665591113692e-06 5.346085375552453881e-06 7.226667236804848944e-06 1.791882927794841482e-05
1.174227040909221742e+01 5.352414564120117413e-06 5.352423289572290909e-06 7.236035019425817782e-06 1.794087287311822780e-05
1.212105332551454673e+01 5.358763739692786673e-06 5.358772480672553012e-06 7.245421028315057036e-06 1.796295724868039587e-05
1.249983624193687604e+01 5.365124219078160356e-06 5.365132975622384952e-06 7.254825310784261977e-06 1.798508250548480644e-05
1.287861915835920534e+01 5.371496029124748516e-06 5.371504801270409440e-06 7.264247914298750008e-06 1.800724874469390881e-05
1.325740207478153465e+01 5.377879196760820372e-06 5.377887984545002421e-06 7.273688886478040032e-06 1.802945606778386282e-05
1.363618499120386574e+01 5.384273748994688910e-06 5.384282552454589535e-06 7.283148275096460623e-06 1.805170457654573822e-05
1.401496790762619504e+01 5.390679712914992943e-06 5.390688532087919711e-06 7.292626128083759890e-06 1.807399437308667339e-05
1.439375082404852435e+01 5.397097115690986798e-06 5.397105950614358236e-06 7.302122493525706869e-06 1.809632555983105106e-05
1.477253374047085366e+01 5.403525984572829155e-06 5.403534835284175599e-06 7.311637419664698847e-06 1.811869823952170106e-05
1.515131665689318297e+01 5.409966346891871036e-06 5.409975213428833783e-06 7.321170954900383083e-06 1.814111251522108621e-05
1.553009957331551227e+01 5.416418230060946339e-06 5.416427112461276801e-06 7.330723147790269214e-06 1.816356849031249151e-05
1.590888248973784336e+01 5.422881661574660676e-06 5.422890559876228848e-06 7.340294047050334882e-06 1.818606626850122356e-05
1.628766540616017267e+01 5.429356669009689528e-06 5.429365583250474673e-06 7.349883701555666094e-06 1.820860595381583029e-05
1.666644832258250020e+01 5.435843280025073012e-06 5.435852210243166202e-06 7.359492160341070468e-06 1.823118765060931053e-05
1.704523123900483128e+01 5.442341522362498791e-06 5.442350468596108836e-06 7.369119472601703199e-06 1.825381146356030998e-05
1.742401415542716236e+01 5.448851423846620559e-06 5.448860386134067230e-06 7.378765687693700630e-06 1.827647749767438842e-05
1.780279707184948990e+01 5.455373012385330786e-06 5.455381990765050742e-06 7.388430855134814687e-06 1.829918585828519537e-05
1.818157998827182098e+01 5.461906315970081738e-06 5.461915310480627686e-06 7.398115024605037987e-06 1.832193665105574741e-05
1.856036290469414851e+01 5.468451362676173477e-06 5.468460373356209081e-06 7.407818245947256052e-06 1.834472998197964115e-05
1.893914582111647960e+01 5.475008180663054550e-06 5.475017207551363755e-06 7.417540569167878349e-06 1.836756595738229665e-05
1.931792873753880713e+01 5.481576798174634548e-06 5.481585841310115649e-06 7.427282044437488814e-06 1.839044468392223816e-05
1.969671165396113821e+01 5.488157243539579722e-06 5.488166302961249597e-06 7.437042722091481970e-06 1.841336626859231044e-05
2.007549457038346929e+01 5.494749545171618757e-06 5.494758620918608634e-06 7.446822652630731238e-06 1.843633081872095948e-05
2.045427748680579683e+01 5.501353731569855331e-06 5.501362823681416717e-06 7.456621886722225060e-06 1.845933844197349626e-05
2.083306040322812791e+01 5.507969831319070505e-06 5.507978939834570950e-06 7.466440475199736050e-06 1.848238924635337750e-05
2.121184331965045544e+01 5.514597873090035276e-06 5.514606998048962609e-06 7.476278469064469828e-06 1.850548334020346602e-05
2.159062623607278653e+01 5.521237885639818900e-06 5.521247027081778688e-06 7.486135919485734171e-06 1.852862083220733176e-05
2.196940915249511761e+01 5.527889897812103141e-06 5.527899055776819535e-06 7.496012877801595467e-06 1.855180183139051899e-05
2.234819206891744514e+01 5.534553938537492283e-06 5.534563113064810559e-06 7.505909395519565654e-06 1.857502644712186765e-05
2.272697498533977623e+01 5.541230036833830768e-06 5.541239227963714788e-06 7.515825524317249359e-06 1.859829478911479407e-05
2.310575790176210376e+01 5.547918221806516598e-06 5.547927429579054738e-06 7.525761316043034225e-06 1.862160696742860556e-05
2.348454081818443484e+01 5.554618522648819823e-06 5.554627747104218195e-06 7.535716822716770234e-06 1.864496309246980825e-05
2.386332373460676237e+01 5.561330968642203560e-06 5.561340209820788556e-06 7.545692096530436323e-06 1.866836327499342844e-05
2.424210665102909346e+01 5.568055589156639094e-06 5.568064847098860773e-06 7.555687189848840876e-06 1.869180762610434074e-05
2.462088956745142454e+01 5.574792413650926904e-06 5.574801688397359838e-06 7.565702155210296813e-06 1.871529625725858271e-05
2.499967248387375207e+01 5.581541471673027848e-06 5.581550763264365193e-06 7.575737045327317851e-06 1.873882928026471005e-05
2.537845540029608316e+01 5.588302792860377418e-06 5.588312101337438539e-06 7.585791913087308833e-06 1.876240680728512479e-05
2.575723831671841069e+01 5.595076406940211842e-06 5.595085732343938924e-06 7.595866811553268767e-06 1.878602895083742038e-05
2.613602123314074177e+01 5.601862343729900975e-06 5.601871686101360716e-06 7.605961793964479466e-06 1.880969582379574031e-05
2.651480414956306930e+01 5.608660633137274399e-06 5.608669992517657164e-06 7.616076913737220441e-06 1.883340753939215031e-05
2.689358706598540039e+01 5.615471305160949230e-06 5.615480681591570746e-06 7.626212224465466855e-06 1.885716421121798683e-05
2.727236998240773147e+01 5.622294389890654529e-06 5.622303783412959271e-06 7.636367779921610351e-06 1.888096595322522585e-05
2.765115289883005900e+01 5.629129917507576895e-06 5.629139328163130463e-06 7.646543634057156161e-06 1.890481287972786521e-05
2.802993581525239009e+01 5.635977918284689108e-06 5.635987346115185852e-06 7.656739841003450703e-06 1.892870510540332397e-05
2.840871873167471762e+01 5.642838422587081325e-06 5.642847867634340955e-06 7.666956455072404102e-06 1.895264274529382808e-05
2.878750164809704870e+01 5.649711460872298193e-06 5.649720923178270017e-06 7.677193530757205089e-06 1.897662591480777245e-05
2.916628456451937978e+01 5.656597063690682751e-06 5.656606543297442283e-06 7.687451122733044361e-06 1.900065472972117109e-05
2.954506748094170732e+01 5.663495261685708461e-06 5.663504758635462506e-06 7.697729285857861671e-06 1.902472930617903264e-05
2.992385039736403840e+01 5.670406085594329036e-06 5.670415599929408065e-06 7.708028075173064105e-06 1.904884976069680036e-05
