# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
0.37884900 3.3568334853e-05 3.5050867187e-11 3.1796918672e-10 3.5050867187e-11 3.3567547713e-05 8.9961394371e-10 3.1796918672e-10 8.9961394371e-10 5.3865096660e-05
0.75769801 6.7136806135e-05 7.0101947459e-11 6.3594081754e-10 7.0101947459e-11 6.7135231849e-05 1.7992328129e-09 6.3594081754e-10 1.7992328129e-09 1.0773045409e-04
1.13654701 1.0070555028e-04 1.0515345391e-10 9.5391733660e-10 1.0515345391e-10 1.0070318884e-04 2.6988615332e-09 9.5391733660e-10 2.6988615332e-09 1.6159633308e-04
1.51539601 1.3427470371e-04 1.4020559963e-10 1.2719011881e-09 1.4020559963e-10 1.3427155510e-04 3.5985050303e-09 1.2719011881e-09 3.5985050303e-09 2.1546299440e-04
1.89424502 1.6784440287e-04 1.7525859773e-10 1.5898948164e-09 1.7525859773e-10 1.6784046707e-04 4.4981682301e-09 1.5898948164e-09 4.4981682301e-09 2.6933069885e-04
2.27309402 2.0141478420e-04 2.1031266133e-10 1.9079006660e-09 2.1031266133e-10 2.0141006119e-04 5.3978560588e-09 1.9079006660e-09 5.3978560588e-09 3.2319970723e-04
2.65194302 2.3498598415e-04 2.4536800354e-10 2.2259211815e-09 2.4536800354e-10 2.3498047390e-04 6.2975734428e-09 2.2259211815e-09 6.2975734428e-09 3.7707028037e-04
3.03079203 2.6855813919e-04 2.8042483751e-10 2.5439588080e-09 2.8042483751e-10 2.6855184166e-04 7.1973253090e-09 2.5439588080e-09 7.1973253090e-09 4.3094267911e-04
3.40964103 3.0213138576e-04 3.1548337643e-10 2.8620159905e-09 3.1548337643e-10 3.0212430092e-04 8.0971165848e-09 2.8620159905e-09 8.0971165848e-09 4.8481716430e-04
3.78849003 3.3570586036e-04 3.5054383347e-10 3.1800951746e-09 3.5054383347e-10 3.3569798816e-04 8.9969521980e-09 3.1800951746e-09 8.9969521980e-09 5.3869399684e-04
4.16733904 3.6928169948e-04 3.8560642185e-10 3.4981988062e-09 3.8560642185e-10 3.6927303988e-04 9.8968370771e-09 3.4981988062e-09 9.8968370771e-09 5.9257343764e-04
4.54618804 4.0285903962e-04 4.2067135480e-10 3.8163293315e-09 4.2067135480e-10 4.0284959256e-04 1.0796776151e-08 3.8163293315e-09 1.0796776151e-08 6.4645574765e-04
4.92503704 4.3643801729e-04 4.5573884561e-10 4.1344891972e-09 4.5573884561e-10 4.3642778272e-04 1.1696774350e-08 4.1344891972e-09 1.1696774350e-08 7.0034118786e-04
