# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 8.2292820779e+00 -3.0401532263e-06 7.0700592900e-06 6.9598467737e-06 8.2292380537e+00 7.2281400725e-05 1.0070059290e-05 6.9281400725e-05 9.7478945319e+00
0.37884900 8.2292833493e+00 -3.0401518988e-06 7.0700713309e-06 6.9598481012e-06 8.2292393251e+00 7.2281434796e-05 1.0070071331e-05 6.9281434796e-05 9.7478965720e+00
0.75769801 8.2292871636e+00 -3.0401479165e-06 7.0701074535e-06 6.9598520835e-06 8.2292431393e+00 7.2281537009e-05 1.0070107454e-05 6.9281537009e-05 9.7479026923e+00
1.13654701 8.2292935208e+00 -3.0401412793e-06 7.0701676582e-06 6.9598587207e-06 8.2292494963e+00 7.2281707365e-05 1.0070167658e-05 6.9281707365e-05 9.7479128929e+00
1.51539601 8.2293024209e+00 -3.0401319872e-06 7.0702519454e-06 6.9598680128e-06 8.2292583962e+00 7.2281945864e-05 1.0070251945e-05 6.9281945864e-05 9.7479271737e+00
1.89424502 8.2293138639e+00 -3.0401200401e-06 7.0703603158e-06 6.9598799599e-06 8.2292698390e+00 7.2282252508e-05 1.0070360316e-05 6.9282252508e-05 9.7479455349e+00
2.27309402 8.2293278500e+00 -3.0401054380e-06 7.0704927702e-06 6.9598945620e-06 8.2292838247e+00 7.2282627298e-05 1.0070492770e-05 6.9282627298e-05 9.7479679765e+00
2.65194302 8.2293443791e+00 -3.0400881806e-06 7.0706493096e-06 6.9599118194e-06 8.2293003534e+00 7.2283070237e-05 1.0070649310e-05 6.9283070237e-05 9.7479944987e+00
3.03079203 8.2293634513e+00 -3.0400682680e-06 7.0708299353e-06 6.9599317320e-06 8.2293194252e+00 7.2283581327e-05 1.0070829935e-05 6.9283581327e-05 9.7480251016e+00
3.40964103 8.2293850667e+00 -3.0400457001e-06 7.0710346485e-06 6.9599542999e-06 8.2293410401e+00 7.2284160571e-05 1.0071034649e-05 6.9284160571e-05 9.7480597853e+00
3.78849003 8.2294092254e+00 -3.0400204767e-06 7.0712634510e-06 6.9599795233e-06 8.2293651982e+00 7.2284807972e-05 1.0071263451e-05 6.9284807972e-05 9.7480985500e+00
4.16733904 8.2294359274e+00 -3.0399925975e-06 7.0715163444e-06 6.9600074025e-06 8.2293918996e+00 7.2285523534e-05 1.0071516344e-05 6.9285523534e-05 9.7481413959e+00
4.54618804 8.2294651730e+00 -3.0399620626e-06 7.0717933306e-06 6.9600379374e-06 8.2294211445e+00 7.2286307259e-05 1.0071793331e-05 6.9286307259e-05 9.7481883232e+00
4.92503704 8.2294969622e+00 -3.0399288716e-06 7.0720944119e-06 6.9600711284e-06 8.2294529329e+00 7.2287159154e-05 1.0072094412e-05 6.9287159154e-05 9.7482393321e+00
5.30388605 8.2295312951e+00 -3.0398930245e-06 7.0724195905e-06 6.9601069755e-06 8.2294872650e+00 7.2288079222e-05 1.0072419591e-05 6.9288079222e-05 9.7482944228e+00
5.68273505 8.2295681719e+00 -3.0398545208e-06 7.0727688690e-06 6.9601454792e-06 8.2295241409e+00 7.2289067468e-05 1.0072768869e-05 6.9289067468e-05 9.7483535958e+00
