# frequency_cm-1 intensity_x intensity_y intensity_z intensity_total
0.000000000000000000e+00 5.160436699648205517e-06 5.160376193191789545e-06 6.951335550165895047e-06 1.727214844300589011e-05
3.788490033763978748e-01 5.166448334383698714e-06 5.166387722178878459e-06 6.960174478426227653e-06 1.729301053498880398e-05
7.576980067527957496e-01 5.172470479886833528e-06 5.172409761687022453e-06 6.969030275642507022e-06 1.731391051721636385e-05
1.136547010129193680e+00 5.178503160674178170e-06 5.178442336232073995e-06 6.977902984766566888e-06 1.733484848167282075e-05
1.515396013505591499e+00 5.184546401333817538e-06 5.184485470401391229e-06 6.986792648887020712e-06 1.735582452062223117e-05
1.894245016881989319e+00 5.190600226525612409e-06 5.190539188854114105e-06 6.995699311229804629e-06 1.737683872660953114e-05
2.273094020258387360e+00 5.196664660981443382e-06 5.196603516321398163e-06 7.004623015158684823e-06 1.739789119246152552e-05
2.651943023634784957e+00 5.202739729505471764e-06 5.202678477606671181e-06 7.013563804175797089e-06 1.741898201128793834e-05
3.030792027011182999e+00 5.208825456974390297e-06 5.208764097585894062e-06 7.022521721922173679e-06 1.744011127648245634e-05
3.409641030387581040e+00 5.214921868337669638e-06 5.214860401207805627e-06 7.031496812178265933e-06 1.746127908172374205e-05
3.788490033763978637e+00 5.221028988617828566e-06 5.220967413494186044e-06 7.040489118864500770e-06 1.748248552097651453e-05
4.167339037140376234e+00 5.227146842910676234e-06 5.227085159540105852e-06 7.049498686041793147e-06 1.750373068849257269e-05
4.546188040516774720e+00 5.233275456385588298e-06 5.233213664514195318e-06 7.058525557912109337e-06 1.752501467881189295e-05
4.925037043893172317e+00 5.239414854285738163e-06 5.239352953658888387e-06 7.067569778818986156e-06 1.754633758676361186e-05
5.303886047269569914e+00 5.245565061928384967e-06 5.245503052290692033e-06 7.076631393248095093e-06 1.756769950746717125e-05
5.682735050645968400e+00 5.251726104705120921e-06 5.251663985800450536e-06 7.085710445827781018e-06 1.758910053633335163e-05
6.061584054022365997e+00 5.257898008082132191e-06 5.257835779653595356e-06 7.094806981329600896e-06 1.761054076906532590e-05
6.440433057398763594e+00 5.264080797600467411e-06 5.264018459390422114e-06 7.103921044668903159e-06 1.763202030165979099e-05
6.819282060775162080e+00 5.270274498876300259e-06 5.270212050626343005e-06 7.113052680905351170e-06 1.765353923040799443e-05
7.198131064151559677e+00 5.276479137601186111e-06 5.276416579052157006e-06 7.122201935243500057e-06 1.767509765189684233e-05
7.576980067527957274e+00 5.282694739542348337e-06 5.282632070434320922e-06 7.131368853033353206e-06 1.769669566301002077e-05
7.955829070904355760e+00 5.288921330542926482e-06 5.288858550615205191e-06 7.140553479770917077e-06 1.771833336092904621e-05
8.334678074280752469e+00 5.295158936522252399e-06 5.295096045513381032e-06 7.149755861098767861e-06 1.774001084313440044e-05
8.713527077657150954e+00 5.301407583476123840e-06 5.301344581123866078e-06 7.158976042806627465e-06 1.776172820740661823e-05
9.092376081033549440e+00 5.307667297477064496e-06 5.307604183518414068e-06 7.168214070831920864e-06 1.778348555182739858e-05
9.471225084409946149e+00 5.313938104674608598e-06 5.313874878845784198e-06 7.177469991260355463e-06 1.780528297478074995e-05
9.850074087786344634e+00 5.320220031295564348e-06 5.320156693331999470e-06 7.186743850326488618e-06 1.782712057495405074e-05
1.022892309116274312e+01 5.326513103644296824e-06 5.326449653280645692e-06 7.196035694414320553e-06 1.784899845133926222e-05
1.060777209453913983e+01 5.332817348102991410e-06 5.332753785073120506e-06 7.205345570057857638e-06 1.787091670323396871e-05
1.098662109791553831e+01 5.339132791131943479e-06 5.339069115168933240e-06 7.214673523941697692e-06 1.789287543024257695e-05
1.136547010129193680e+01 5.345459459269826904e-06 5.345395670105962403e-06 7.224019602901624595e-06 1.791487473227741390e-05
1.174431910466833351e+01 5.351797379133969345e-06 5.351733476500748761e-06 7.233383853925183427e-06 1.793691470955990238e-05
1.212316810804473199e+01 5.358146577420652096e-06 5.358082561048774009e-06 7.242766324152295415e-06 1.795899546262172321e-05
1.250201711142113048e+01 5.364507080905365043e-06 5.364442950524725892e-06 7.252167060875805112e-06 1.798111709230589605e-05
1.288086611479752719e+01 5.370878916443110748e-06 5.370814671782808221e-06 7.261586111542130921e-06 1.800327969976804989e-05
1.325971511817392567e+01 5.377262110968672961e-06 5.377197751756995829e-06 7.271023523751822444e-06 1.802548338647749039e-05
1.363856412155032416e+01 5.383656691496906302e-06 5.383592217461336114e-06 7.280479345260180505e-06 1.804772825421842292e-05
