# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
0.37384900 2.6500242990e-05 2.7670615577e-11 2.5101812810e-10 2.7670615577e-11 2.6499621588e-05 7.1019274751e-10 2.5101812810e-10 7.1019274751e-10 4.2523352784e-05
0.74769801 5.3000590862e-05 5.5341394972e-11 5.0203813521e-10 5.5341394972e-11 5.2999348055e-05 1.4203892817e-09 5.0203813521e-10 1.4203892817e-09 8.5046906046e-05
1.12154701 7.9501148502e-05 8.3012502005e-11 7.5306190036e-10 8.3012502005e-11 7.9499284282e-05 2.1305933892e-09 7.5306190036e-10 2.1305933892e-09 1.2757086027e-04
1.49539601 1.0600202079e-04 1.1068410050e-10 1.0040913026e-09 1.1068410050e-10 1.0599953515e-04 2.8408088569e-09 1.0040913026e-09 2.8408088569e-09 1.7009541593e-04
1.86924502 1.3250331263e-04 1.3835635429e-10 1.2551282212e-09 1.3835635429e-10 1.3250020554e-04 3.5510394716e-09 1.2551282212e-09 3.5510394716e-09 2.1262077353e-04
2.24309402 1.5900512890e-04 1.6602942721e-10 1.5061745355e-09 1.6602942721e-10 1.5900140036e-04 4.2612890206e-09 1.5061745355e-09 4.2612890206e-09 2.5514713357e-04
2.61694302 1.8550757450e-04 1.9370348311e-10 1.7572321247e-09 1.9370348311e-10 1.8550322448e-04 4.9715612913e-09 1.7572321247e-09 4.9715612913e-09 2.9767469655e-04
2.99079203 2.1201075434e-04 2.2137868586e-10 2.0083028687e-09 2.2137868586e-10 2.1200578281e-04 5.6818600712e-09 2.0083028687e-09 5.6818600712e-09 3.4020366302e-04
3.36464103 2.3851477332e-04 2.4905519932e-10 2.2593886472e-09 2.4905519932e-10 2.3850918027e-04 6.3921891485e-09 2.2593886472e-09 6.3921891485e-09 3.8273423351e-04
3.73849003 2.6501973638e-04 2.7673318740e-10 2.5104913402e-09 2.7673318740e-10 2.6501352176e-04 7.1025523116e-09 2.5104913402e-09 7.1025523116e-09 4.2526660858e-04
4.11233904 2.9152574844e-04 3.0441281402e-10 2.7616128282e-09 3.0441281402e-10 2.9151891221e-04 7.8129533492e-09 2.7616128282e-09 7.8129533492e-09 4.6780098882e-04
4.48618804 3.1803291444e-04 3.3209424309e-10 3.0127549916e-09 3.3209424309e-10 3.1802545656e-04 8.5233960508e-09 3.0127549916e-09 8.5233960508e-09 5.1033757484e-04
4.86003704 3.4454133933e-04 3.5977763859e-10 3.2639197116e-09 3.5977763859e-10 3.4453325976e-04 9.2338842062e-09 3.2639197116e-09 9.2338842062e-09 5.5287656728e-04
5.23388605 3.7105112807e-04 3.8746316448e-10 3.5151088692e-09 3.8746316448e-10 3.7104242676e-04 9.9444216059e-09 3.5151088692e-09 9.9444216059e-09 5.9541816678e-04
5.60773505 3.9756238564e-04 4.1515098480e-10 3.7663243463e-09 4.1515098480e-10 3.9755306255e-04 1.0655012041e-08 3.7663243463e-09 1.0655012041e-08 6.3796257406e-04
5.98158405 4.2407521704e-04 4.4284126357e-10 4.0175680250e-09 4.4284126357e-10 4.2406527210e-04 1.1365659303e-08 4.0175680250e-09 1.1365659303e-08 6.8050998983e-04
6.35543306 4.5058972726e-04 4.7053416487e-10 4.2688417876e-09 4.7053416487e-10 4.5057916042e-04 1.2076367185e-08 4.2688417876e-09 1.2076367185e-08 7.2306061485e-04
6.72928206 4.7710602135e-04 4.9822985281e-10 4.5201475173e-09 4.9822985281e-10 4.7709483254e-04 1.2787139481e-08 4.5201475173e-09 1.2787139481e-08 7.6561464993e-04
7.10313106 5.0362420433e-04 5.2592849153e-10 4.7714870976e-09 5.2592849153e-10 5.0361239348e-04 1.3497979983e-08 4.7714870976e-09 1.3497979983e-08 8.0817229590e-04
7.47698007 5.3014438126e-04 5.5363024519e-10 5.0228624124e-09 5.5363024519e-10 5.3013194832e-04 1.4208892488e-08 5.0228624124e-09 1.4208892488e-08 8.5073375365e-04
7.85082907 5.5666665723e-04 5.8133527805e-10 5.2742753463e-09 5.8133527805e-10 5.5665360211e-04 1.4919880790e-08 5.2742753463e-09 1.4919880790e-08 8.9329922410e-04
8.22467807 5.8319113734e-04 6.0904375434e-10 5.5257277846e-09 6.0904375434e-10 5.8317745997e-04 1.5630948688e-08 5.5257277846e-09 1.5630948688e-08 9.3586890823e-04
8.59852708 6.0971792671e-04 6.3675583838e-10 5.7772216129e-09 6.3675583838e-10 6.0970362700e-04 1.6342099979e-08 5.7772216129e-09 1.6342099979e-08 9.7844300706e-04
8.97237608 6.3624713049e-04 6.6447169454e-10 6.0287587178e-09 6.6447169454e-10 6.3623220836e-04 1.7053338462e-08 6.0287587178e-09 1.7053338462e-08 1.0210217217e-03
9.34622508 6.6277885384e-04 6.9219148720e-10 6.2803409863e-09 6.9219148720e-10 6.6276330920e-04 1.7764667938e-08 6.2803409863e-09 1.7764667938e-08 1.0636052532e-03
9.72007409 6.8931320196e-04 7.1991538083e-10 6.5319703063e-09 7.1991538083e-10 6.8929703472e-04 1.8476092207e-08 6.5319703063e-09 1.8476092207e-08 1.1061938028e-03
10.09392309 7.1585028007e-04 7.4764353993e-10 6.7836485663e-09 7.4764353993e-10 7.1583349013e-04 1.9187615072e-08 6.7836485663e-09 1.9187615072e-08 1.1487875718e-03
10.46777209 7.4239019342e-04 7.7537612906e-10 7.0353776556e-09 7.7537612906e-10 7.4237278068e-04 1.9899240337e-08 7.0353776556e-09 1.9899240337e-08 1.1913867614e-03
10.84162110 7.6893304728e-04 8.0311331285e-10 7.2871594644e-09 8.0311331285e-10 7.6891501164e-04 2.0610971808e-08 7.2871594644e-09 2.0610971808e-08 1.2339915730e-03
11.21547010 7.9547894696e-04 8.3085525597e-10 7.5389958835e-09 8.3085525597e-10 7.9546028831e-04 2.1322813291e-08 7.5389958835e-09 2.1322813291e-08 1.2766022081e-03
11.58931910 8.2202799779e-04 8.5860212318e-10 7.7908888048e-09 8.5860212318e-10 8.2200871602e-04 2.2034768593e-08 7.7908888048e-09 2.2034768593e-08 1.3192188682e-03
11.96316811 8.4858030515e-04 8.8635407926e-10 8.0428401209e-09 8.8635407926e-10 8.4856040014e-04 2.2746841525e-08 8.0428401209e-09 2.2746841525e-08 1.3618417548e-03
12.33701711 8.7513597441e-04 9.1411128912e-10 8.2948517254e-09 9.1411128912e-10 8.7511544605e-04 2.3459035897e-08 8.2948517254e-09 2.3459035897e-08 1.4044710697e-03
12.71086611 9.0169511103e-04 9.4187391765e-10 8.5469255128e-09 9.4187391765e-10 9.0167395920e-04 2.4171355522e-08 8.5469255128e-09 2.4171355522e-08 1.4471070144e-03
13.08471512 9.2825782046e-04 9.6964212989e-10 8.7990633787e-09 9.6964212989e-10 9.2823604503e-04 2.4883804213e-08 8.7990633787e-09 2.4883804213e-08 1.4897497909e-03
13.45856412 9.5482420821e-04 9.9741609090e-10 9.0512672195e-09 9.9741609090e-10 9.5480180904e-04 2.5596385788e-08 9.0512672195e-09 2.5596385788e-08 1.5323996010e-03
13.83241312 9.8139437981e-04 1.0251959659e-09 9.3035389329e-09 1.0251959659e-09 9.8137135678e-04 2.6309104063e-08 9.3035389329e-09 2.6309104063e-08 1.5750566467e-03
14.20626213 1.0079684408e-03 1.0529819200e-09 9.5558804172e-09 1.0529819200e-09 1.0079447938e-03 2.7021962858e-08 9.5558804172e-09 2.7021962858e-08 1.6177211301e-03
14.58011113 1.0345464969e-03 1.0807741187e-09 9.8082935724e-09 1.0807741187e-09 1.0345222257e-03 2.7734965993e-08 9.8082935724e-09 2.7734965993e-08 1.6603932532e-03
14.95396014 1.0611286537e-03 1.1085727272e-09 1.0060780299e-08 1.1085727272e-09 1.0611037582e-03 2.8448117293e-08 1.0060780299e-08 2.8448117293e-08 1.7030732184e-03
15.32780914 1.0877150168e-03 1.1363779111e-09 1.0313342499e-08 1.1363779111e-09 1.0876894969e-03 2.9161420581e-08 1.0313342499e-08 2.9161420581e-08 1.7457612279e-03
15.70165814 1.1143056921e-03 1.1641898359e-09 1.0565982076e-08 1.1641898359e-09 1.1142795476e-03 2.9874879685e-08 1.0565982076e-08 2.9874879685e-08 1.7884574842e-03
16.07550715 1.1409007853e-03 1.1920086672e-09 1.0818700934e-08 1.1920086672e-09 1.1408740161e-03 3.0588498434e-08 1.0818700934e-08 3.0588498434e-08 1.8311621898e-03
16.44935615 1.1675004022e-03 1.2198345709e-09 1.1071500979e-08 1.2198345709e-09 1.1674730081e-03 3.1302280659e-08 1.1071500979e-08 3.1302280659e-08 1.8738755473e-03
16.82320515 1.1941046487e-03 1.2476677127e-09 1.1324384117e-08 1.2476677127e-09 1.1940766296e-03 3.2016230192e-08 1.1324384117e-08 3.2016230192e-08 1.9165977594e-03
17.19705416 1.2207136308e-03 1.2755082586e-09 1.1577352257e-08 1.2755082586e-09 1.2206849864e-03 3.2730350870e-08 1.1577352257e-08 3.2730350870e-08 1.9593290290e-03
