# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 8.2292820779e+00 -3.0401532263e-06 7.0700592900e-06 6.9598467737e-06 8.2292380537e+00 7.2281400725e-05 1.0070059290e-05 6.9281400725e-05 9.7478945319e+00
0.37384900 8.2292833161e+00 -3.0401519335e-06 7.0700710170e-06 6.9598480665e-06 8.2292392918e+00 7.2281433906e-05 1.0070071017e-05 6.9281433906e-05 9.7478965187e+00
0.74769801 8.2292870307e+00 -3.0401480551e-06 7.0701061981e-06 6.9598519449e-06 8.2292430063e+00 7.2281533451e-05 1.0070106198e-05 6.9281533451e-05 9.7479024792e+00
1.12154701 8.2292932217e+00 -3.0401415911e-06 7.0701648336e-06 6.9598584089e-06 8.2292491972e+00 7.2281699358e-05 1.0070164834e-05 6.9281699358e-05 9.7479124132e+00
1.49539601 8.2293018891e+00 -3.0401325415e-06 7.0702469238e-06 6.9598674585e-06 8.2292578645e+00 7.2281931630e-05 1.0070246924e-05 6.9281931630e-05 9.7479263210e+00
1.86924502 8.2293130331e+00 -3.0401209062e-06 7.0703524694e-06 6.9598790938e-06 8.2292690081e+00 7.2282230267e-05 1.0070352469e-05 6.9282230267e-05 9.7479442026e+00
2.24309402 8.2293266535e+00 -3.0401066851e-06 7.0704814713e-06 6.9598933149e-06 8.2292826283e+00 7.2282595272e-05 1.0070481471e-05 6.9282595272e-05 9.7479660579e+00
2.61694302 8.2293427506e+00 -3.0400898782e-06 7.0706339303e-06 6.9599101218e-06 8.2292987249e+00 7.2283026645e-05 1.0070633930e-05 6.9283026645e-05 9.7479918873e+00
2.99079203 8.2293613242e+00 -3.0400704853e-06 7.0708098476e-06 6.9599295147e-06 8.2293172982e+00 7.2283524390e-05 1.0070809848e-05 6.9283524390e-05 9.7480216907e+00
3.36464103 8.2293823746e+00 -3.0400485064e-06 7.0710092245e-06 6.9599514936e-06 8.2293383480e+00 7.2284088509e-05 1.0071009225e-05 6.9284088509e-05 9.7480554683e+00
3.73849003 8.2294059018e+00 -3.0400239413e-06 7.0712320626e-06 6.9599760587e-06 8.2293618747e+00 7.2284719005e-05 1.0071232063e-05 6.9284719005e-05 9.7480932202e+00
4.11233904 8.2294319058e+00 -3.0399967898e-06 7.0714783634e-06 6.9600032102e-06 8.2293878781e+00 7.2285415881e-05 1.0071478363e-05 6.9285415881e-05 9.7481349468e+00
4.48618804 8.2294603869e+00 -3.0399670519e-06 7.0717481288e-06 6.9600329481e-06 8.2294163585e+00 7.2286179141e-05 1.0071748129e-05 6.9286179141e-05 9.7481806480e+00
4.86003704 8.2294913450e+00 -3.0399347273e-06 7.0720413609e-06 6.9600652727e-06 8.2294473159e+00 7.2287008790e-05 1.0072041361e-05 6.9287008790e-05 9.7482303243e+00
5.23388605 8.2295247804e+00 -3.0398998158e-06 7.0723580618e-06 6.9601001842e-06 8.2294807505e+00 7.2287904831e-05 1.0072358062e-05 6.9287904831e-05 9.7482839757e+00
5.60773505 8.2295606931e+00 -3.0398623172e-06 7.0726982339e-06 6.9601376828e-06 8.2295166624e+00 7.2288867269e-05 1.0072698234e-05 6.9288867269e-05 9.7483416026e+00
5.98158405 8.2295990834e+00 -3.0398222314e-06 7.0730618798e-06 6.9601777686e-06 8.2295550517e+00 7.2289896110e-05 1.0073061880e-05 6.9289896110e-05 9.7484032052e+00
6.35543306 8.2296399513e+00 -3.0397795580e-06 7.0734490021e-06 6.9602204420e-06 8.2295959187e+00 7.2290991359e-05 1.0073449002e-05 6.9290991359e-05 9.7484687838e+00
6.72928206 8.2296832970e+00 -3.0397342968e-06 7.0738596039e-06 6.9602657032e-06 8.2296392634e+00 7.2292153021e-05 1.0073859604e-05 6.9292153021e-05 9.7485383387e+00
7.10313106 8.2297291207e+00 -3.0396864476e-06 7.0742936880e-06 6.9603135524e-06 8.2296850860e+00 7.2293381104e-05 1.0074293688e-05 6.9293381104e-05 9.7486118703e+00
7.47698007 8.2297774225e+00 -3.0396360100e-06 7.0747512579e-06 6.9603639900e-06 8.2297333867e+00 7.2294675613e-05 1.0074751258e-05 6.9294675613e-05 9.7486893788e+00
7.85082907 8.2298282027e+00 -3.0395829838e-06 7.0752323169e-06 6.9604170162e-06 8.2297841657e+00 7.2296036556e-05 1.0075232317e-05 6.9296036556e-05 9.7487708648e+00
8.22467807 8.2298814615e+00 -3.0395273686e-06 7.0757368686e-06 6.9604726314e-06 8.2298374232e+00 7.2297463939e-05 1.0075736869e-05 6.9297463939e-05 9.7488563284e+00
8.59852708 8.2299371990e+00 -3.0394691642e-06 7.0762649168e-06 6.9605308358e-06 8.2298931595e+00 7.2298957771e-05 1.0076264917e-05 6.9298957771e-05 9.7489457702e+00
8.97237608 8.2299954156e+00 -3.0394083701e-06 7.0768164655e-06 6.9605916299e-06 8.2299513746e+00 7.2300518059e-05 1.0076816465e-05 6.9300518059e-05 9.7490391906e+00
9.34622508 8.2300561113e+00 -3.0393449861e-06 7.0773915187e-06 6.9606550139e-06 8.2300120690e+00 7.2302144811e-05 1.0077391519e-05 6.9302144811e-05 9.7491365900e+00
9.72007409 8.2301192865e+00 -3.0392790117e-06 7.0779900809e-06 6.9607209883e-06 8.2300752427e+00 7.2303838037e-05 1.0077990081e-05 6.9303838037e-05 9.7492379688e+00
10.09392309 8.2301849415e+00 -3.0392104466e-06 7.0786121564e-06 6.9607895534e-06 8.2301408961e+00 7.2305597745e-05 1.0078612156e-05 6.9305597745e-05 9.7493433276e+00
10.46777209 8.2302530764e+00 -3.0391392903e-06 7.0792577500e-06 6.9608607097e-06 8.2302090294e+00 7.2307423945e-05 1.0079257750e-05 6.9307423945e-05 9.7494526669e+00
10.84162110 8.2303236915e+00 -3.0390655424e-06 7.0799268664e-06 6.9609344576e-06 8.2302796429e+00 7.2309316647e-05 1.0079926866e-05 6.9309316647e-05 9.7495659871e+00
11.21547010 8.2303967872e+00 -3.0389892025e-06 7.0806195108e-06 6.9610107975e-06 8.2303527368e+00 7.2311275860e-05 1.0080619511e-05 6.9311275860e-05 9.7496832888e+00
11.58931910 8.2304723636e+00 -3.0389102702e-06 7.0813356882e-06 6.9610897298e-06 8.2304283115e+00 7.2313301594e-05 1.0081335688e-05 6.9313301594e-05 9.7498045725e+00
11.96316811 8.2305504212e+00 -3.0388287449e-06 7.0820754040e-06 6.9611712551e-06 8.2305063672e+00 7.2315393862e-05 1.0082075404e-05 6.9315393862e-05 9.7499298389e+00
12.33701711 8.2306309602e+00 -3.0387446262e-06 7.0828386638e-06 6.9612553738e-06 8.2305869044e+00 7.2317552674e-05 1.0082838664e-05 6.9317552674e-05 9.7500590885e+00
12.71086611 8.2307139809e+00 -3.0386579136e-06 7.0836254734e-06 6.9613420864e-06 8.2306699231e+00 7.2319778041e-05 1.0083625473e-05 6.9319778041e-05 9.7501923219e+00
13.08471512 8.2307994837e+00 -3.0385686066e-06 7.0844358385e-06 6.9614313934e-06 8.2307554239e+00 7.2322069976e-05 1.0084435839e-05 6.9322069976e-05 9.7503295397e+00
13.45856412 8.2308874689e+00 -3.0384767046e-06 7.0852697653e-06 6.9615232954e-06 8.2308434071e+00 7.2324428490e-05 1.0085269765e-05 6.9324428490e-05 9.7504707426e+00
13.83241312 8.2309779369e+00 -3.0383822070e-06 7.0861272600e-06 6.9616177930e-06 8.2309338729e+00 7.2326853597e-05 1.0086127260e-05 6.9326853597e-05 9.7506159313e+00
14.20626213 8.2310708880e+00 -3.0382851135e-06 7.0870083291e-06 6.9617148865e-06 8.2310268218e+00 7.2329345308e-05 1.0087008329e-05 6.9329345308e-05 9.7507651065e+00
14.58011113 8.2311663225e+00 -3.0381854233e-06 7.0879129792e-06 6.9618145767e-06 8.2311222541e+00 7.2331903638e-05 1.0087912979e-05 6.9331903638e-05 9.7509182688e+00
14.95396014 8.2312642409e+00 -3.0380831359e-06 7.0888412170e-06 6.9619168641e-06 8.2312201702e+00 7.2334528601e-05 1.0088841217e-05 6.9334528601e-05 9.7510754190e+00
15.32780914 8.2313646436e+00 -3.0379782506e-06 7.0897930495e-06 6.9620217494e-06 8.2313205705e+00 7.2337220209e-05 1.0089793049e-05 6.9337220209e-05 9.7512365578e+00
15.70165814 8.2314675309e+00 -3.0378707669e-06 7.0907684838e-06 6.9621292331e-06 8.2314234554e+00 7.2339978478e-05 1.0090768484e-05 6.9339978478e-05 9.7514016860e+00
16.07550715 8.2315729032e+00 -3.0377606840e-06 7.0917675273e-06 6.9622393160e-06 8.2315288253e+00 7.2342803422e-05 1.0091767527e-05 6.9342803422e-05 9.7515708043e+00
16.44935615 8.2316807611e+00 -3.0376480015e-06 7.0927901874e-06 6.9623519985e-06 8.2316366806e+00 7.2345695057e-05 1.0092790187e-05 6.9345695057e-05 9.7517439136e+00
16.82320515 8.2317911048e+00 -3.0375327185e-06 7.0938364719e-06 6.9624672815e-06 8.2317470217e+00 7.2348653397e-05 1.0093836472e-05 6.9348653397e-05 9.7519210146e+00
17.19705416 8.2319039349e+00 -3.0374148344e-06 7.0949063885e-06 6.9625851656e-06 8.2318598492e+00 7.2351678459e-05 1.0094906389e-05 6.9351678459e-05 9.7521021083e+00
17.57090316 8.2320192517e+00 -3.0372943485e-06 7.0959999454e-06 6.9627056515e-06 8.2319751633e+00 7.2354770259e-05 1.0095999945e-05 6.9354770259e-05 9.7522871955e+00
