# frequency_cm-1 intensity_x intensity_y intensity_z intensity_total
0.000000000000000000e+00 4.128437042697171271e-06 4.128388635476069471e-06 5.561209137136185758e-06 1.381803481530942565e-05
3.738490033763978704e-01 4.133183024864264053e-06 4.133134534156330507e-06 5.568187221222788747e-06 1.383450478024338500e-05
7.476980067527957408e-01 4.137937195487069511e-06 4.137888621100195452e-06 5.575178447278454309e-06 1.385100426386571927e-05
1.121547010129193556e+00 4.142699573413403103e-06 4.142650915154924958e-06 5.582182848324135086e-06 1.386753333689246315e-05
1.495396013505591482e+00 4.147470177545335290e-06 4.147421435222040609e-06 5.589200457484556272e-06 1.388409207025193302e-05
1.869245016881989407e+00 4.152249026839388893e-06 4.152200200257501101e-06 5.596231307988615405e-06 1.390068053508550625e-05
2.243094020258387111e+00 4.157036140306716123e-06 4.156987229271905533e-06 5.603275433169766077e-06 1.391729880274838858e-05
2.616943023634785259e+00 4.161831537013301020e-06 4.161782541330672974e-06 5.610332866466421967e-06 1.393394694481039681e-05
2.990792027011182963e+00 4.166635236080132251e-06 4.166586155554233051e-06 5.617403641422340548e-06 1.395062503305670416e-05
3.364641030387580667e+00 4.171447256683414021e-06 4.171398091118223301e-06 5.624487791687044909e-06 1.396733313948868223e-05
3.738490033763978815e+00 4.176267618054737170e-06 4.176218367253667054e-06 5.631585351016191368e-06 1.398407133632459390e-05
4.112339037140376519e+00 4.181096339481283312e-06 4.181047003247182645e-06 5.638696353272003997e-06 1.400083969600047080e-05
4.486188040516774223e+00 4.185933440306021344e-06 4.185884018441161297e-06 5.645820832423660027e-06 1.401763829117084182e-05
4.860037043893171926e+00 4.190778939927880242e-06 4.190729432233967861e-06 5.652958822547692184e-06 1.403446719470953944e-05
5.233886047269570518e+00 4.195632857801977760e-06 4.195583264080137331e-06 5.660110357828413902e-06 1.405132647971052815e-05
5.607735050645968222e+00 4.200495213439780518e-06 4.200445533490565429e-06 5.667275472558311498e-06 1.406821621948865660e-05
5.981584054022365926e+00 4.205366026409325079e-06 4.205316260032708500e-06 5.674454201138468538e-06 1.408513648758050296e-05
6.355433057398763630e+00 4.210245316335398366e-06 4.210195463330772401e-06 5.681646578078963090e-06 1.410208735774513386e-05
6.729282060775161334e+00 4.215133102899750268e-06 4.215083163065922570e-06 5.688852637999298872e-06 1.411906890396497002e-05
7.103131064151559926e+00 4.220029405841276599e-06 4.219979378976474603e-06 5.696072415628809278e-06 1.413608120044656048e-05
7.476980067527957630e+00 4.224934244956232551e-06 4.224884130858095849e-06 5.703305945807086830e-06 1.415312432162141608e-05
7.850829070904355333e+00 4.229847640098420732e-06 4.229797438564001925e-06 5.710553263484393138e-06 1.417019834214681580e-05
8.224678074280753037e+00 4.234769611179398693e-06 4.234719322005156611e-06 5.717814403722080728e-06 1.418730333690663518e-05
8.598527077657150741e+00 4.239700178168688144e-06 4.239649801150489540e-06 5.725089401693036031e-06 1.420443938101221371e-05
8.972376081033548445e+00 4.244639361093955371e-06 4.244588896027071535e-06 5.732378292682076650e-06 1.422160654980310356e-05
9.346225084409946149e+00 4.249587180041239935e-06 4.249536626720347540e-06 5.739681112086401132e-06 1.423880491884798776e-05
9.720074087786343853e+00 4.254543655155136787e-06 4.254493013374311112e-06 5.746997895416009093e-06 1.425603456394545784e-05
1.009392309116274333e+01 4.259508806639019033e-06 4.259458076191741586e-06 5.754328678294136598e-06 1.427329556112489637e-05
1.046777209453914104e+01 4.264482654755236142e-06 4.264431835434372640e-06 5.761673496457683909e-06 1.429058798664729354e-05
1.084162109791553874e+01 4.269465219825317235e-06 4.269414311423138777e-06 5.769032385757659331e-06 1.430791191700611450e-05
1.121547010129193644e+01 4.274456522230183690e-06 4.274405524538348969e-06 5.776405382159612047e-06 1.432526742892814471e-05
1.158931910466833415e+01 4.279456582410359202e-06 4.279405495219916203e-06 5.783792521744070035e-06 1.434265459937434544e-05
1.196316810804473185e+01 4.284465420866170537e-06 4.284414243967561614e-06 5.791193840706983909e-06 1.436007350554071606e-05
1.233701711142112956e+01 4.289483058157966061e-06 4.289431791341011846e-06 5.798609375360171615e-06 1.437752422485914783e-05
1.271086611479752726e+01 4.294509514906324959e-06 4.294458157960239609e-06 5.806039162131757192e-06 1.439500683499832176e-05
1.308471511817392496e+01 4.299544811792265604e-06 4.299493364505637319e-06 5.813483237566629020e-06 1.441252141386453194e-05
1.345856412155032267e+01 4.304588969557465787e-06 4.304537431718262739e-06 5.820941638326880274e-06 1.443006803960261049e-05
1.383241312492672037e+01 4.309642009004460077e-06 4.309590380400033797e-06 5.828414401192258698e-06 1.444764679059675088e-05
1.420626212830311985e+01 4.314703950996879526e-06 4.314652231413951353e-06 5.835901563060635864e-06 1.446525774547146674e-05
1.458011113167951756e+01 4.319774816459638870e-06 4.319723005684305033e-06 5.843403160948434076e-06 1.448290098309237798e-05
1.495396013505591526e+01 4.324854626379178776e-06 4.324802724196906158e-06 5.850919231991121034e-06 1.450057658256720682e-05
1.532780913843231296e+01 4.329943401803663201e-06 4.329891407999286799e-06 5.858449813443628275e-06 1.451828462324657743e-05
1.570165814180871067e+01 4.335041163843207246e-06 4.334989078200932711e-06 5.865994942680852607e-06 1.453602518472499172e-05
1.607550714518511015e+01 4.340147933670094841e-06 4.340095755973485774e-06 5.873554657198087259e-06 1.455379834684166618e-05
1.644935614856150607e+01 4.345263732518996435e-06 4.345211462550982008e-06 5.881128994611507222e-06 1.457160418968148736e-05
1.682320515193790555e+01 4.350388581687192610e-06 4.350336219230059945e-06 5.888717992658633431e-06 1.458944279357588599e-05
1.719705415531430148e+01 4.355522502534791772e-06 4.355470047370185091e-06 5.896321689198793543e-06 1.460731423910377041e-05
1.757090315869070096e+01 4.360665516484955457e-06 4.360612968393879474e-06 5.903940122213612376e-06 1.462521860709244646e-05
1.794475216206709689e+01 4.365817645024125339e-06 4.365765003786929165e-06 5.911573329807458291e-06 1.464315597861851195e-05
1.831860116544349637e+01 4.370978909702237530e-06 4.370926175098627378e-06 5.919221350207958190e-06 1.466112643500882225e-05
1.869245016881989230e+01 4.376149332132958900e-06 4.376096503941983684e-06 5.926884221766430347e-06 1.467913005784137463e-05
1.906629917219629178e+01 4.381328933993905614e-06 4.381276011993965420e-06 5.934561982958410422e-06 1.469716692894628061e-05
1.944014817557268771e+01 4.386517737026874367e-06 4.386464720995710292e-06 5.942254672384096992e-06 1.471523713040668080e-05
1.981399717894908719e+01 4.391715763038068549e-06 4.391662652752765238e-06 5.949962328768864860e-06 1.473334074455969695e-05
2.018784618232548667e+01 4.396923033898329479e-06 4.396869829135306657e-06 5.957684990963735153e-06 1.475147785399737044e-05
2.056169518570188259e+01 4.402139571543363413e-06 4.402086272078380964e-06 5.965422697945862369e-06 1.476964854156760590e-05
2.093554418907828207e+01 4.407365397973977018e-06 4.407312003582126520e-06 5.973175488819049374e-06 1.478785289037515206e-05
2.130939319245467800e+01 4.412600535256302682e-06 4.412547045712009096e-06 5.980943402814211571e-06 1.480609098378252335e-05
2.168324219583107748e+01 4.417845005522040768e-06 4.417791420599058207e-06 5.988726479289898679e-06 1.482436290541099765e-05
2.205709119920747341e+01 4.423098830968680688e-06 4.423045150440088177e-06 5.996524757732770759e-06 1.484266873914153962e-05
2.243094020258387289e+01 4.428362033859753317e-06 4.428308257497953950e-06 6.004338277758122533e-06 1.486100856911583065e-05
2.280478920596026882e+01 4.433634636525042755e-06 4.433580764101767930e-06 6.012167079110362802e-06 1.487938247973717349e-05
2.317863820933666830e+01 4.438916661360848904e-06 4.438862692647147309e-06 6.020011201663537064e-06 1.489779055567153243e-05
2.355248721271306422e+01 4.444208130830212781e-06 4.444154065596444467e-06 6.027870685421833195e-06 1.491623288184849044e-05
2.392633621608946370e+01 4.449509067463144369e-06 4.449454905478992606e-06 6.035745570520075268e-06 1.493470954346221309e-05
2.430018521946586318e+01 4.454819493856891971e-06 4.454765234891347159e-06 6.043635897224261420e-06 1.495322062597249886e-05
2.467403422284225911e+01 4.460139432676147198e-06 4.460085076497512791e-06 6.051541705932057672e-06 1.497176621510571766e-05
2.504788322621865859e+01 4.465468906653319402e-06 4.465414453029203440e-06 6.059463037173326475e-06 1.499034639685584762e-05
2.542173222959505452e+01 4.470807938588753365e-06 4.470753387286068476e-06 6.067399931610637476e-06 1.500896125748545762e-05
2.579558123297145400e+01 4.476156551350990188e-06 4.476101902135955276e-06 6.075352430039801989e-06 1.502761088352674745e-05
2.616943023634784993e+01 4.481514767876999372e-06 4.481460020515135391e-06 6.083320573390377833e-06 1.504629536178251344e-05
2.654327923972424941e+01 4.486882611172440558e-06 4.486827765428556104e-06 6.091304402726220748e-06 1.506501477932721741e-05
2.691712824310064534e+01 4.492260104311887139e-06 4.492205159950096242e-06 6.099303959245990918e-06 1.508376922350797430e-05
2.729097724647704482e+01 4.497647270439104090e-06 4.497592227222807577e-06 6.107319284283696772e-06 1.510255878194560759e-05
2.766482624985344074e+01 4.503044132767267346e-06 4.502988990459155384e-06 6.115350419309224374e-06 1.512138354253564710e-05
2.803867525322984022e+01 4.508450714579228079e-06 4.508395472941282717e-06 6.123397405928876139e-06 1.514024359344938778e-05
2.841252425660623970e+01 4.513867039227774431e-06 4.513811698021260278e-06 6.131460285885909545e-06 1.515913902313494510e-05
2.878637325998263563e+01 4.519293130135862751e-06 4.519237689121320206e-06 6.139539101061075845e-06 1.517806992031825796e-05
2.916022226335903511e+01 4.524729010796881027e-06 4.524673469734138981e-06 6.147633893473168102e-06 1.519703637400418811e-05
2.953407126673543104e+01 4.530174704774902993e-06 4.530119063423065275e-06 6.155744705279560740e-06 1.521603847347752816e-05
2.990792027011183052e+01 4.535630235704945628e-06 4.535574493822388465e-06 6.163871578776767750e-06 1.523507630830410269e-05
3.028176927348822645e+01 4.541095627293218181e-06 4.541039784637590202e-06 6.172014556400983934e-06 1.525414996833179316e-05
3.065561827686462593e+01 4.546570903317390684e-06 4.546514959645610374e-06 6.180173680728650729e-06 1.527325954369165094e-05
3.102946728024102185e+01 4.552056087626839592e-06 4.552000042695090209e-06 6.188348994476998305e-06 1.529240512479893065e-05
3.140331628361742133e+01 4.557551204142919675e-06 4.557495057706649256e-06 6.196540540504614775e-06 1.531158680235418455e-05
3.177716528699381726e+01 4.563056276859214746e-06 4.563000028673133562e-06 6.204748361812012007e-06 1.533080466734436031e-05
