# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 9.887720810521438502e-05
3.738490033763978704e-01 9.900788404311816550e-05
7.476980067527957408e-01 9.913885060447396702e-05
1.121547010129193556e+00 9.927010883252552803e-05
1.495396013505591482e+00 9.940165977636986928e-05
1.869245016881989407e+00 9.953350449100437525e-05
2.243094020258387111e+00 9.966564403737410605e-05
2.616943023634785259e+00 9.979807948241999017e-05
2.990792027011182963e+00 9.993081189912692247e-05
3.364641030387580667e+00 1.000638423665730546e-04
3.738490033763978815e+00 1.001971719699789909e-04
4.112339037140376519e+00 1.003308018007580138e-04
4.486188040516774223e+00 1.004647329565662553e-04
4.860037043893171926e+00 1.005989665413539936e-04
5.233886047269570518e+00 1.007335036654172201e-04
5.607735050645968222e+00 1.008683454454494644e-04
5.981584054022365926e+00 1.010034930045948119e-04
6.355433057398763630e+00 1.011389474725008398e-04
6.729282060775161334e+00 1.012747099853725696e-04
7.103131064151559926e+00 1.014107816860266372e-04
7.476980067527957630e+00 1.015471637239464913e-04
7.850829070904355333e+00 1.016838572553375260e-04
8.224678074280753037e+00 1.018208634431835537e-04
8.598527077657150741e+00 1.019581834573032652e-04
8.972376081033548445e+00 1.020958184744076108e-04
9.346225084409946149e+00 1.022337696781578325e-04
9.720074087786343853e+00 1.023720382592237395e-04
1.009392309116274333e+01 1.025106254153432858e-04
1.046777209453914104e+01 1.026495323513819564e-04
1.084162109791553874e+01 1.027887602793936870e-04
1.121547010129193644e+01 1.029283104186815104e-04
1.158931910466833415e+01 1.030681839958597502e-04
1.196316810804473185e+01 1.032083822449163344e-04
1.233701711142112956e+01 1.033489064072758016e-04
1.271086611479752726e+01 1.034897577318634313e-04
1.308471511817392496e+01 1.036309374751695104e-04
1.345856412155032267e+01 1.037724469013147778e-04
1.383241312492672037e+01 1.039142872821161950e-04
1.420626212830311985e+01 1.040564598971538689e-04
1.458011113167951756e+01 1.041989660338382175e-04
1.495396013505591526e+01 1.043418069874784782e-04
1.532780913843231296e+01 1.044849840613512024e-04
1.570165814180871067e+01 1.046284985667705116e-04
1.607550714518511015e+01 1.047723518231579744e-04
1.644935614856150607e+01 1.049165451581143940e-04
1.682320515193790555e+01 1.050610799074915014e-04
1.719705415531430148e+01 1.052059574154650437e-04
1.757090315869070096e+01 1.053511790346083884e-04
1.794475216206709689e+01 1.054967461259670485e-04
1.831860116544349637e+01 1.056426600591341429e-04
1.869245016881989230e+01 1.057889222123262906e-04
1.906629917219629178e+01 1.059355339724612263e-04
1.944014817557268771e+01 1.060824967352352389e-04
1.981399717894908719e+01 1.062298119052022648e-04
2.018784618232548667e+01 1.063774808958537388e-04
2.056169518570188259e+01 1.065255051296987713e-04
2.093554418907828207e+01 1.066738860383463982e-04
2.130939319245467800e+01 1.068226250625874926e-04
2.168324219583107748e+01 1.069717236524786685e-04
2.205709119920747341e+01 1.071211832674263470e-04
2.243094020258387289e+01 1.072710053762724220e-04
2.280478920596026882e+01 1.074211914573804539e-04
2.317863820933666830e+01 1.075717429987232737e-04
2.355248721271306422e+01 1.077226614979711553e-04
2.392633621608946370e+01 1.078739484625813438e-04
2.430018521946586318e+01 1.080256054098886807e-04
2.467403422284225911e+01 1.081776338671968269e-04
2.504788322621865859e+01 1.083300353718711777e-04
2.542173222959505452e+01 1.084828114714323492e-04
2.579558123297145400e+01 1.086359637236511671e-04
2.616943023634784993e+01 1.087894936966443075e-04
2.654327923972424941e+01 1.089434029689716579e-04
2.691712824310064534e+01 1.090976931297343020e-04
