# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
0.41063247 2.3350541224e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.3350541224e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.3350541224e-05
0.82126493 4.6701161871e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.6701161871e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.6701161871e-05
1.23189740 7.0051941362e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.0051941362e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.0051941362e-05
1.64252987 9.3402959123e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.3402959123e-05 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 9.3402959123e-05
2.05316234 1.1675429458e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.1675429458e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.1675429458e-04
2.46379480 1.4010602716e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4010602716e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4010602716e-04
2.87442727 1.6345823630e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.6345823630e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.6345823630e-04
3.28505974 1.8681100143e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8681100143e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.8681100143e-04
3.69569221 2.1016440199e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.1016440199e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.1016440199e-04
4.10632467 2.3351851744e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.3351851744e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.3351851744e-04
4.51695714 2.5687342721e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.5687342721e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.5687342721e-04
4.92758961 2.8022921079e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.8022921079e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.8022921079e-04
5.33822207 3.0358594761e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0358594761e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0358594761e-04
5.74885454 3.2694371718e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.2694371718e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.2694371718e-04
6.15948701 3.5030259896e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.5030259896e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.5030259896e-04
6.57011948 3.7366267245e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.7366267245e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.7366267245e-04
6.98075194 3.9702401716e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.9702401716e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.9702401716e-04
7.39138441 4.2038671259e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.2038671259e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.2038671259e-04
7.80201688 4.4375083828e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.4375083828e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.4375083828e-04
8.21264935 4.6711647376e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.6711647376e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.6711647376e-04
8.62328181 4.9048369858e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.9048369858e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 4.9048369858e-04
9.03391428 5.1385259231e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.1385259231e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.1385259231e-04
9.44454675 5.3722323452e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.3722323452e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.3722323452e-04
9.85517921 5.6059570481e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6059570481e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.6059570481e-04
10.26581168 5.8397008279e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.8397008279e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 5.8397008279e-04
10.67644415 6.0734644807e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.0734644807e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.0734644807e-04
11.08707662 6.3072488031e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.3072488031e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.3072488031e-04
11.49770908 6.5410545916e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.5410545916e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.5410545916e-04
11.90834155 6.7748826430e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.7748826430e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 6.7748826430e-04
12.31897402 7.0087337543e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.0087337543e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.0087337543e-04
12.72960649 7.2426087226e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2426087226e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.2426087226e-04
13.14023895 7.4765083453e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.4765083453e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.4765083453e-04
13.55087142 7.7104334200e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.7104334200e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.7104334200e-04
13.96150389 7.9443847444e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.9443847444e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 7.9443847444e-04
14.37213635 8.1783631166e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.1783631166e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 8.1783631166e-04
