# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 1.0249668605e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249668605e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249668605e+01
0.41063247 1.0249669564e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249669564e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249669564e+01
0.82126493 1.0249672440e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249672440e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249672440e+01
1.23189740 1.0249677233e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249677233e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249677233e+01
1.64252987 1.0249683944e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249683944e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249683944e+01
2.05316234 1.0249692572e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249692572e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249692572e+01
2.46379480 1.0249703118e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249703118e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249703118e+01
2.87442727 1.0249715581e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249715581e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249715581e+01
3.28505974 1.0249729962e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249729962e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249729962e+01
3.69569221 1.0249746260e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249746260e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249746260e+01
4.10632467 1.0249764476e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249764476e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249764476e+01
4.51695714 1.0249784610e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249784610e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249784610e+01
4.92758961 1.0249806662e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249806662e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249806662e+01
5.33822207 1.0249830631e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249830631e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249830631e+01
5.74885454 1.0249856518e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249856518e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249856518e+01
6.15948701 1.0249884323e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249884323e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249884323e+01
6.57011948 1.0249914047e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249914047e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249914047e+01
6.98075194 1.0249945688e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249945688e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249945688e+01
7.39138441 1.0249979248e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249979248e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0249979248e+01
7.80201688 1.0250014727e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250014727e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250014727e+01
8.21264935 1.0250052123e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250052123e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250052123e+01
8.62328181 1.0250091439e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250091439e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250091439e+01
9.03391428 1.0250132673e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250132673e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250132673e+01
9.44454675 1.0250175827e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250175827e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250175827e+01
9.85517921 1.0250220899e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250220899e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250220899e+01
10.26581168 1.0250267891e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250267891e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250267891e+01
10.67644415 1.0250316802e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250316802e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250316802e+01
11.08707662 1.0250367632e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250367632e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250367632e+01
11.49770908 1.0250420383e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250420383e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250420383e+01
11.90834155 1.0250475053e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250475053e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250475053e+01
12.31897402 1.0250531644e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250531644e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250531644e+01
12.72960649 1.0250590154e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250590154e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250590154e+01
13.14023895 1.0250650586e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250650586e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250650586e+01
13.55087142 1.0250712938e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250712938e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250712938e+01
13.96150389 1.0250777211e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250777211e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250777211e+01
14.37213635 1.0250843405e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250843405e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250843405e+01
14.78276882 1.0250911520e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250911520e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250911520e+01
15.19340129 1.0250981557e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250981557e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0250981557e+01
15.60403376 1.0251053516e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251053516e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251053516e+01
16.01466622 1.0251127397e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251127397e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251127397e+01
16.42529869 1.0251203200e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251203200e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251203200e+01
16.83593116 1.0251280926e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251280926e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251280926e+01
17.24656363 1.0251360575e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251360575e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251360575e+01
17.65719609 1.0251442147e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251442147e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251442147e+01
18.06782856 1.0251525642e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251525642e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251525642e+01
18.47846103 1.0251611061e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251611061e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251611061e+01
18.88909350 1.0251698404e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251698404e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251698404e+01
19.29972596 1.0251787672e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251787672e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251787672e+01
19.71035843 1.0251878864e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251878864e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251878864e+01
20.12099090 1.0251971980e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251971980e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0251971980e+01
20.53162336 1.0252067022e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0252067022e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0252067022e+01
20.94225583 1.0252163990e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0252163990e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0252163990e+01
21.35288830 1.0252262883e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0252262883e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0252262883e+01
21.76352077 1.0252363703e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0252363703e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0252363703e+01
