# frequency_cm-1 intensity_x intensity_y intensity_z intensity_total
0.000000000000000000e+00 2.320007023212003010e-06 2.320007023212005552e-06 2.320007023212005552e-06 6.960021069636013690e-06
4.106324672834164580e-01 2.322479303273833246e-06 2.322479303273835787e-06 2.322479303273835364e-06 6.967437909821503974e-06
8.212649345668329159e-01 2.324955537208001796e-06 2.324955537208004337e-06 2.324955537208004337e-06 6.974866611624010895e-06
1.231897401850249318e+00 2.327435733450029737e-06 2.327435733450032279e-06 2.327435733450032279e-06 6.982307200350093871e-06
1.642529869133665832e+00 2.329919900457944659e-06 2.329919900457947201e-06 2.329919900457947201e-06 6.989759701373839484e-06
2.053162336417082123e+00 2.332408046712353085e-06 2.332408046712355626e-06 2.332408046712355626e-06 6.997224140137064762e-06
2.463794803700498637e+00 2.334900180716513741e-06 2.334900180716516282e-06 2.334900180716516282e-06 7.004700542149545881e-06
2.874427270983915150e+00 2.337396310996412939e-06 2.337396310996415480e-06 2.337396310996415480e-06 7.012188932989243476e-06
3.285059738267331664e+00 2.339896446100833191e-06 2.339896446100835732e-06 2.339896446100835732e-06 7.019689338302504233e-06
3.695692205550748177e+00 2.342400594601428592e-06 2.342400594601431134e-06 2.342400594601431134e-06 7.027201783804291283e-06
4.106324672834164247e+00 2.344908765092798089e-06 2.344908765092800630e-06 2.344908765092800630e-06 7.034726295278399350e-06
4.516957140117581204e+00 2.347420966192559172e-06 2.347420966192561713e-06 2.347420966192561713e-06 7.042262898577682599e-06
4.927589607400997274e+00 2.349937206541420721e-06 2.349937206541423262e-06 2.349937206541423262e-06 7.049811619624267244e-06
5.338222074684414231e+00 2.352457494803259236e-06 2.352457494803261777e-06 2.352457494803261777e-06 7.057372484409782789e-06
5.748854541967830301e+00 2.354981839665193379e-06 2.354981839665195920e-06 2.354981839665195920e-06 7.064945518995584796e-06
6.159487009251247258e+00 2.357510249837657241e-06 2.357510249837659782e-06 2.357510249837659782e-06 7.072530749512976804e-06
6.570119476534663328e+00 2.360042734054473609e-06 2.360042734054476150e-06 2.360042734054476150e-06 7.080128202163425485e-06
6.980751943818079397e+00 2.362579301072936977e-06 2.362579301072939518e-06 2.362579301072939518e-06 7.087737903218815591e-06
7.391384411101496354e+00 2.365119959673880463e-06 2.365119959673883004e-06 2.365119959673883427e-06 7.095359879021647317e-06
7.802016878384912424e+00 2.367664718661757965e-06 2.367664718661760506e-06 2.367664718661760506e-06 7.102994155985279401e-06
8.212649345668328493e+00 2.370213586864714897e-06 2.370213586864717438e-06 2.370213586864717438e-06 7.110640760594150197e-06
8.623281812951745451e+00 2.372766573134671615e-06 2.372766573134674156e-06 2.372766573134674580e-06 7.118299719404019927e-06
9.033914280235162408e+00 2.375323686347394146e-06 2.375323686347396688e-06 2.375323686347396688e-06 7.125971059042187522e-06
9.444546747518579366e+00 2.377884935402574236e-06 2.377884935402577200e-06 2.377884935402576777e-06 7.133654806207728636e-06
9.855179214801994547e+00 2.380450329223908541e-06 2.380450329223911082e-06 2.380450329223911082e-06 7.141350987671730280e-06
1.026581168208541150e+01 2.383019876759169360e-06 2.383019876759171901e-06 2.383019876759171901e-06 7.149059630277512738e-06
1.067644414936882846e+01 2.385593586980291877e-06 2.385593586980294418e-06 2.385593586980294842e-06 7.156780760940881137e-06
1.108707661665224364e+01 2.388171468883445313e-06 2.388171468883447854e-06 2.388171468883447854e-06 7.164514406650340599e-06
1.149770908393566060e+01 2.390753531489116357e-06 2.390753531489118899e-06 2.390753531489118899e-06 7.172260594467354578e-06
1.190834155121907756e+01 2.393339783842183706e-06 2.393339783842186247e-06 2.393339783842186247e-06 7.180019351526556625e-06
1.231897401850249452e+01 2.395930235012000227e-06 2.395930235012002768e-06 2.395930235012002768e-06 7.187790705036005339e-06
1.272960648578590970e+01 2.398524894092473848e-06 2.398524894092476812e-06 2.398524894092476812e-06 7.195574682277427472e-06
1.314023895306932666e+01 2.401123770202141674e-06 2.401123770202144639e-06 2.401123770202144639e-06 7.203371310606430528e-06
1.355087142035274361e+01 2.403726872484256810e-06 2.403726872484259351e-06 2.403726872484259351e-06 7.211180617452775511e-06
1.396150388763615879e+01 2.406334210106862471e-06 2.406334210106865012e-06 2.406334210106865012e-06 7.219002630320592919e-06
1.437213635491957575e+01 2.408945792262879656e-06 2.408945792262882197e-06 2.408945792262882197e-06 7.226837376788643628e-06
1.478276882220299271e+01 2.411561628170180836e-06 2.411561628170183377e-06 2.411561628170183377e-06 7.234684884510547591e-06
1.519340128948640967e+01 2.414181727071676775e-06 2.414181727071679317e-06 2.414181727071679740e-06 7.242545181215035409e-06
1.560403375676982485e+01 2.416806098235396578e-06 2.416806098235399119e-06 2.416806098235399542e-06 7.250418294706194815e-06
1.601466622405324358e+01 2.419434750954568576e-06 2.419434750954571117e-06 2.419434750954571117e-06 7.258304252863711234e-06
1.642529869133665699e+01 2.422067694547702921e-06 2.422067694547705462e-06 2.422067694547705462e-06 7.266203083643114267e-06
1.683593115862007394e+01 2.424704938358673315e-06 2.424704938358676279e-06 2.424704938358676279e-06 7.274114815076025874e-06
1.724656362590349090e+01 2.427346491756805956e-06 2.427346491756808497e-06 2.427346491756808497e-06 7.282039475270422950e-06
1.765719609318690786e+01 2.429992364136953226e-06 2.429992364136956190e-06 2.429992364136956190e-06 7.289977092410865183e-06
1.806782856047032482e+01 2.432642564919582630e-06 2.432642564919585171e-06 2.432642564919585594e-06 7.297927694758753395e-06
1.847846102775374177e+01 2.435297103550862347e-06 2.435297103550865312e-06 2.435297103550865312e-06 7.305891310652593817e-06
1.888909349503715873e+01 2.437955989502741275e-06 2.437955989502743816e-06 2.437955989502743816e-06 7.313867968508228483e-06
1.929972596232057214e+01 2.440619232273035002e-06 2.440619232273037543e-06 2.440619232273037543e-06 7.321857696819110512e-06
1.971035842960398909e+01 2.443286841385510938e-06 2.443286841385513479e-06 2.443286841385513902e-06 7.329860524156538742e-06
2.012099089688740605e+01 2.445958826389974706e-06 2.445958826389977671e-06 2.445958826389977247e-06 7.337876479169928778e-06
2.053162336417082301e+01 2.448635196862352734e-06 2.448635196862355276e-06 2.448635196862355276e-06 7.345905590587063709e-06
2.094225583145423997e+01 2.451315962404780343e-06 2.451315962404782884e-06 2.451315962404782884e-06 7.353947887214346533e-06
2.135288829873765692e+01 2.454001132645687718e-06 2.454001132645690259e-06 2.454001132645690259e-06 7.362003397937067812e-06
2.176352076602107388e+01 2.456690717239884195e-06 2.456690717239887160e-06 2.456690717239887160e-06 7.370072151719658091e-06
2.217415323330448729e+01 2.459384725868648041e-06 2.459384725868650582e-06 2.459384725868650582e-06 7.378154177605948782e-06
2.258478570058790424e+01 2.462083168239810312e-06 2.462083168239812853e-06 2.462083168239812853e-06 7.386249504719436443e-06
2.299541816787132120e+01 2.464786054087847603e-06 2.464786054087850144e-06 2.464786054087850144e-06 7.394358162263547892e-06
2.340605063515473816e+01 2.467493393173962093e-06 2.467493393173964634e-06 2.467493393173964634e-06 7.402480179521891783e-06
2.381668310243815512e+01 2.470205195286176410e-06 2.470205195286178951e-06 2.470205195286178951e-06 7.410615585858534735e-06
2.422731556972157207e+01 2.472921470239420033e-06 2.472921470239422998e-06 2.472921470239422574e-06 7.418764410718265605e-06
2.463794803700498903e+01 2.475642227875616534e-06 2.475642227875619499e-06 2.475642227875619499e-06 7.426926683626855532e-06
2.504858050428840244e+01 2.478367478063773786e-06 2.478367478063776327e-06 2.478367478063776327e-06 7.435102434191326440e-06
2.545921297157181939e+01 2.481097230700073749e-06 2.481097230700076290e-06 2.481097230700076290e-06 7.443291692100226330e-06
2.586984543885523635e+01 2.483831495707962682e-06 2.483831495707965223e-06 2.483831495707965223e-06 7.451494487123892704e-06
2.628047790613865331e+01 2.486570283038240499e-06 2.486570283038243463e-06 2.486570283038243463e-06 7.459710849114727002e-06
2.669111037342207027e+01 2.489313602669150560e-06 2.489313602669153101e-06 2.489313602669153525e-06 7.467940808007457186e-06
2.710174284070548723e+01 2.492061464606473690e-06 2.492061464606476231e-06 2.492061464606476231e-06 7.476184393819426576e-06
2.751237530798890418e+01 2.494813878883614152e-06 2.494813878883616693e-06 2.494813878883616693e-06 7.484441636650847115e-06
2.792300777527231759e+01 2.497570855561697903e-06 2.497570855561700868e-06 2.497570855561700444e-06 7.492712566685099214e-06
2.833364024255573455e+01 2.500332404729656874e-06 2.500332404729659415e-06 2.500332404729659415e-06 7.500997214188975703e-06
2.874427270983915150e+01 2.503098536504329767e-06 2.503098536504332308e-06 2.503098536504332308e-06 7.509295609512994382e-06
2.915490517712256846e+01 2.505869261030546759e-06 2.505869261030549723e-06 2.505869261030549723e-06 7.517607783091646205e-06
2.956553764440598542e+01 2.508644588481227332e-06 2.508644588481230297e-06 2.508644588481229874e-06 7.525933765443686656e-06
2.997617011168940238e+01 2.511424529057473875e-06 2.511424529057476416e-06 2.511424529057476416e-06 7.534273587172427131e-06
3.038680257897281933e+01 2.514209092988661039e-06 2.514209092988663580e-06 2.514209092988663580e-06 7.542627278965988199e-06
3.079743504625623274e+01 2.516998290532533998e-06 2.516998290532536539e-06 2.516998290532536539e-06 7.550994871597607077e-06
3.120806751353964970e+01 2.519792131975300775e-06 2.519792131975303740e-06 2.519792131975303316e-06 7.559376395925906984e-06
3.161869998082306665e+01 2.522590627631731343e-06 2.522590627631733884e-06 2.522590627631733884e-06 7.567771882895198688e-06
3.202933244810648716e+01 2.525393787845245294e-06 2.525393787845248259e-06 2.525393787845248259e-06 7.576181363535741388e-06
3.243996491538990057e+01 2.528201622988011789e-06 2.528201622988014330e-06 2.528201622988014330e-06 7.584604868964040872e-06
3.285059738267331397e+01 2.531014143461048660e-06 2.531014143461051625e-06 2.531014143461051625e-06 7.593042430383152756e-06
3.326122984995673448e+01 2.533831359694312197e-06 2.533831359694314738e-06 2.533831359694314738e-06 7.601494079082941674e-06
3.367186231724014789e+01 2.536653282146797097e-06 2.536653282146799638e-06 2.536653282146799638e-06 7.609959846440396373e-06
3.408249478452356840e+01 2.539479921306633025e-06 2.539479921306635990e-06 2.539479921306635566e-06 7.618439763919905004e-06
3.449312725180698180e+01 2.542311287691186259e-06 2.542311287691188800e-06 2.542311287691188800e-06 7.626933863073564283e-06
3.490375971909040231e+01 2.545147391847148629e-06 2.545147391847151594e-06 2.545147391847151170e-06 7.635442175541450545e-06
3.531439218637381572e+01 2.547988244350642123e-06 2.547988244350644665e-06 2.547988244350645088e-06 7.643964733051931452e-06
3.572502465365722912e+01 2.550833855807318841e-06 2.550833855807321382e-06 2.550833855807321382e-06 7.652501567421961606e-06
3.613565712094064963e+01 2.553684236852453741e-06 2.553684236852456706e-06 2.553684236852456706e-06 7.661052710557367999e-06
3.654628958822406304e+01 2.556539398151049249e-06 2.556539398151052214e-06 2.556539398151052214e-06 7.669618194453153254e-06
3.695692205550748355e+01 2.559399350397931823e-06 2.559399350397934788e-06 2.559399350397934365e-06 7.678198051193802246e-06
3.736755452279089695e+01 2.562264104317856558e-06 2.562264104317859523e-06 2.562264104317859099e-06 7.686792312953575181e-06
3.777818699007431746e+01 2.565133670665600786e-06 2.565133670665603750e-06 2.565133670665603750e-06 7.695401011996809133e-06
3.818881945735773087e+01 2.568008060226072069e-06 2.568008060226074610e-06 2.568008060226075034e-06 7.704024180678221290e-06
3.859945192464114427e+01 2.570887283814405190e-06 2.570887283814407731e-06 2.570887283814407731e-06 7.712661851443220653e-06
3.901008439192456478e+01 2.573771352276063792e-06 2.573771352276066333e-06 2.573771352276066757e-06 7.721314056828197729e-06
3.942071685920797819e+01 2.576660276486945835e-06 2.576660276486948800e-06 2.576660276486948800e-06 7.729980829460843012e-06
3.983134932649139870e+01 2.579554067353482701e-06 2.579554067353485665e-06 2.579554067353485665e-06 7.738662202060453608e-06
4.024198179377481210e+01 2.582452735812744645e-06 2.582452735812747609e-06 2.582452735812747609e-06 7.747358207438239863e-06
4.065261426105823261e+01 2.585356292832542867e-06 2.585356292832545408e-06 2.585356292832545832e-06 7.756068878497633683e-06
4.106324672834164602e+01 2.588264749411529884e-06 2.588264749411532425e-06 2.588264749411532425e-06 7.764794248234595158e-06
4.147387919562505942e+01 2.591178116579313031e-06 2.591178116579315996e-06 2.591178116579315996e-06 7.773534349737944599e-06
4.188451166290847993e+01 2.594096405396549331e-06 2.594096405396551872e-06 2.594096405396551872e-06 7.782289216189653921e-06
