# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 2.693859297688620634e-05
4.056324672834164535e-01 2.696695028825067981e-05
8.112649345668329071e-01 2.699535239891055050e-05
1.216897401850249416e+00 2.702379940328081343e-05
1.622529869133665814e+00 2.705229139602528465e-05
2.028162336417082212e+00 2.708082847205743469e-05
2.433794803700498832e+00 2.710941072654118815e-05
2.839427270983915008e+00 2.713803825489166237e-05
3.245059738267331628e+00 2.716671115277601440e-05
3.650692205550748248e+00 2.719542951611422709e-05
4.056324672834164424e+00 2.722419344107990187e-05
4.461957140117580600e+00 2.725300302410105162e-05
4.867589607400997664e+00 2.728185836186096123e-05
5.273222074684413840e+00 2.731075955129893298e-05
5.678854541967830016e+00 2.733970668961113021e-05
6.084487009251247080e+00 2.736869987425143112e-05
6.490119476534663256e+00 2.739773920293217413e-05
6.895751943818079432e+00 2.742682477362503208e-05
7.301384411101496497e+00 2.745595668456184902e-05
7.707016878384912673e+00 2.748513503423541618e-05
8.112649345668328849e+00 2.751435992140033248e-05
8.518281812951745025e+00 2.754363144507389224e-05
8.923914280235161200e+00 2.757294970453682046e-05
9.329546747518579153e+00 2.760231479933418074e-05
9.735179214801995329e+00 2.763172682927622918e-05
1.014081168208541150e+01 2.766118589443924104e-05
1.054644414936882768e+01 2.769069209516633744e-05
1.095207661665224386e+01 2.772024553206836969e-05
1.135770908393566003e+01 2.774984630602480017e-05
1.176334155121907799e+01 2.777949451818451551e-05
1.216897401850249416e+01 2.780919026996669734e-05
1.257460648578591034e+01 2.783893366306173706e-05
1.298023895306932651e+01 2.786872479943203545e-05
1.338587142035274269e+01 2.789856378131293105e-05
1.379150388763615886e+01 2.792845071121356407e-05
1.419713635491957504e+01 2.795838569191775059e-05
1.460276882220299299e+01 2.798836882648483973e-05
1.500840128948640917e+01 2.801840021825067925e-05
1.541403375676982535e+01 2.804847997082840502e-05
1.581966622405324152e+01 2.807860818810941679e-05
1.622529869133665770e+01 2.810878497426424214e-05
1.663093115862007565e+01 2.813901043374341743e-05
1.703656362590349005e+01 2.816928467127841952e-05
1.744219609318690800e+01 2.819960779188258394e-05
1.784782856047032240e+01 2.822997990085197227e-05
1.825346102775374035e+01 2.826040110376631066e-05
1.865909349503715831e+01 2.829087150648995543e-05
1.906472596232057271e+01 2.832139121517269944e-05
1.947035842960399066e+01 2.835196033625078855e-05
1.987599089688740506e+01 2.838257897644785673e-05
2.028162336417082301e+01 2.841324724277578326e-05
2.068725583145423741e+01 2.844396524253567192e-05
2.109288829873765536e+01 2.847473308331883012e-05
2.149852076602107331e+01 2.850555087300761934e-05
2.190415323330448771e+01 2.853641871977645467e-05
2.230978570058790567e+01 2.856733673209279744e-05
2.271541816787132007e+01 2.859830501871799896e-05
2.312105063515473802e+01 2.862932368870835080e-05
2.352668310243815597e+01 2.866039285141600972e-05
2.393231556972157037e+01 2.869151261648994301e-05
2.433794803700498832e+01 2.872268309387693814e-05
2.474358050428840272e+01 2.875390439382256158e-05
2.514921297157182067e+01 2.878517662687209055e-05
2.555484543885523507e+01 2.881649990387153285e-05
2.596047790613865303e+01 2.884787433596863653e-05
2.636611037342207098e+01 2.887930003461378772e-05
2.677174284070548538e+01 2.891077711156110164e-05
2.717737530798890333e+01 2.894230567886931703e-05
