# frequency_cm-1 IR_intensity
0.000000000000000000e+00 6.791376337834091224e-05
2.021911321999999789e+00 6.806658670637859797e-05
4.043822643999999578e+00 6.821996669831830991e-05
6.065733965999999810e+00 6.837390615518850021e-05
8.087645287999999155e+00 6.852840789591347563e-05
1.010955660999999850e+01 6.868347475745147069e-05
1.213146793199999962e+01 6.883910959493408962e-05
1.415337925399999897e+01 6.899531528180703581e-05
1.617529057599999831e+01 6.915209470997207451e-05
1.819720189799999943e+01 6.930945078993031017e-05
2.021911321999999700e+01 6.946738645092669702e-05
2.224102454199999812e+01 6.962590464109597271e-05
2.426293586399999924e+01 6.978500832760982516e-05
2.628484718599999681e+01 6.994470049682548251e-05
2.830675850799999793e+01 7.010498415443557692e-05
3.032866982999999550e+01 7.026586232561945859e-05
3.235058115199999662e+01 7.042733805519582428e-05
3.437249247399999774e+01 7.058941440777683667e-05
3.639440379599999886e+01 7.075209446792355826e-05
3.841631511799999288e+01 7.091538134030290325e-05
4.043822643999999400e+01 7.107927814984586323e-05
4.246013776199999512e+01 7.124378804190757610e-05
4.448204908399999624e+01 7.140891418242835723e-05
4.650396040599999736e+01 7.157465975809664145e-05
4.852587172799999848e+01 7.174102797651319904e-05
5.054778304999999250e+01 7.190802206635693735e-05
5.256969437199999362e+01 7.207564527755238291e-05
5.459160569399999474e+01 7.224390088143839688e-05
5.661351701599999586e+01 7.241279217093880133e-05
5.863542833799999698e+01 7.258232246073433372e-05
6.065733965999999100e+01 7.275249508743648517e-05
6.267925098199999212e+01 7.292331340976259909e-05
6.470116230399999324e+01 7.309478080871293498e-05
6.672307362599998726e+01 7.326690068774925006e-05
6.874498494799999548e+01 7.343967647297499365e-05
7.076689626999998950e+01 7.361311161331741254e-05
7.278880759199999773e+01 7.378720958071111990e-05
7.481071891399999174e+01 7.396197387028346679e-05
7.683263023599998576e+01 7.413740800054179742e-05
7.885454155799999398e+01 7.431351551356242557e-05
8.087645287999998800e+01 7.449029997518112893e-05
8.289836420199999623e+01 7.466776497518581184e-05
8.492027552399999024e+01 7.484591412751091626e-05
8.694218684599998426e+01 7.502475107043345907e-05
8.896409816799999248e+01 7.520427946677115652e-05
9.098600948999998650e+01 7.538450300408241881e-05
9.300792081199999473e+01 7.556542539486809306e-05
9.502983213399998874e+01 7.574705037677530682e-05
9.705174345599999697e+01 7.592938171280319548e-05
9.907365477799999098e+01 7.611242319151060828e-05
1.010955660999999850e+02 7.629617862722573877e-05
1.031174774219999932e+02 7.648065186025786958e-05
1.051393887439999872e+02 7.666584675711105501e-05
1.071613000659999955e+02 7.685176721070009417e-05
1.091832113879999895e+02 7.703841714056811681e-05
1.112051227099999835e+02 7.722580049310683893e-05
1.132270340319999917e+02 7.741392124177847193e-05
1.152489453539999857e+02 7.760278338734016596e-05
1.172708566759999940e+02 7.779239095807025583e-05
1.192927679979999880e+02 7.798274800999700058e-05
1.213146793199999820e+02 7.817385862712942363e-05
1.233365906419999902e+02 7.836572692169037563e-05
1.253585019639999842e+02 7.855835703435200962e-05
1.273804132859999925e+02 7.875175313447332968e-05
1.294023246079999865e+02 7.894591942034028757e-05
1.314242359299999805e+02 7.914086011940803407e-05
1.334461472519999745e+02 7.933657948854577258e-05
1.354680585739999970e+02 7.953308181428378097e-05
1.374899698959999910e+02 7.973037141306299491e-05
1.395118812179999850e+02 7.992845263148708494e-05
1.415337925399999790e+02 8.012732984657683734e-05
1.435557038619999730e+02 8.032700746602729983e-05
1.455776151839999955e+02 8.052748992846727176e-05
1.475995265059999895e+02 8.072878170372138292e-05
1.496214378279999835e+02 8.093088729307493700e-05
1.516433491499999775e+02 8.113381122954119455e-05
1.536652604719999715e+02 8.133755807813137996e-05
1.556871717939999940e+02 8.154213243612743963e-05
1.577090831159999880e+02 8.174753893335737513e-05
1.597309944379999820e+02 8.195378223247350364e-05
1.617529057599999760e+02 8.216086702923346965e-05
1.637748170819999700e+02 8.236879805278384513e-05
1.657967284039999925e+02 8.257758006594687387e-05
1.678186397259999865e+02 8.278721786550989929e-05
1.698405510479999805e+02 8.299771628251797703e-05
1.718624623699999745e+02 8.320908018256887282e-05
1.738843736919999685e+02 8.342131446611174663e-05
1.759062850139999910e+02 8.363442406874828979e-05
1.779281963359999850e+02 8.384841396153726388e-05
1.799501076579999790e+02 8.406328915130191265e-05
1.819720189799999730e+02 8.427905468094058598e-05
1.839939303019999670e+02 8.449571562974045379e-05
1.860158416239999895e+02 8.471327711369464866e-05
1.880377529459999835e+02 8.493174428582222753e-05
1.900596642679999775e+02 8.515112233649177887e-05
1.920815755899999715e+02 8.537141649374809286e-05
1.941034869119999939e+02 8.559263202364242285e-05
1.961253982339999880e+02 8.581477423056574209e-05
1.981473095559999820e+02 8.603784845758594407e-05
2.001692208779999760e+02 8.626186008678806522e-05
2.021911321999999700e+02 8.648681453961813963e-05
2.042130435219999924e+02 8.671271727723076713e-05
2.062349548439999865e+02 8.693957380084004242e-05
2.082568661659999805e+02 8.716738965207431963e-05
2.102787774879999745e+02 8.739617041333437846e-05
2.123006888099999685e+02 8.762592170815561548e-05
2.143226001319999909e+02 8.785664920157386750e-05
2.163445114539999850e+02 8.808835860049494832e-05
2.183664227759999790e+02 8.832105565406814284e-05
2.203883340979999730e+02 8.855474615406359071e-05
2.224102454199999670e+02 8.878943593525366802e-05
2.244321567419999894e+02 8.902513087579816365e-05
2.264540680639999835e+02 8.926183689763375183e-05
2.284759793859999775e+02 8.949955996686736776e-05
2.304978907079999715e+02 8.973830609417374389e-05
2.325198020299999655e+02 8.997808133519732369e-05
2.345417133519999879e+02 9.021889179095806495e-05
2.365636246739999820e+02 9.046074360826190518e-05
2.385855359959999760e+02 9.070364298011523855e-05
2.406074473179999700e+02 9.094759614614406843e-05
2.426293586399999640e+02 9.119260939301741548e-05
2.446512699619999864e+02 9.143868905487531997e-05
2.466731812839999805e+02 9.168584151376130294e-05
2.486950926059999745e+02 9.193407320005958429e-05
2.507170039279999685e+02 9.218339059293688160e-05
2.527389152499999625e+02 9.243380022078893877e-05
2.547608265719999849e+02 9.268530866169178459e-05
2.567827378939999790e+02 9.293792254385792426e-05
2.588046492159999730e+02 9.319164854609747776e-05
2.608265605379999670e+02 9.344649339828404793e-05
2.628484718599999610e+02 9.370246388182590120e-05
2.648703831819999550e+02 9.395956683014197296e-05
2.668922945039999490e+02 9.421780912914323985e-05
2.689142058259999999e+02 9.447719771771916054e-05
2.709361171479999939e+02 9.473773958822945631e-05
2.729580284699999879e+02 9.499944178700112291e-05
2.749799397919999819e+02 9.526231141483101244e-05
2.770018511139999760e+02 9.552635562749391758e-05
2.790237624359999700e+02 9.579158163625581940e-05
2.810456737579999640e+02 9.605799670839332857e-05
2.830675850799999580e+02 9.632560816771829017e-05
2.850894964019999520e+02 9.659442339510840574e-05
2.871114077239999460e+02 9.686444982904373723e-05
2.891333190459999969e+02 9.713569496614888937e-05
2.911552303679999909e+02 9.740816636174130425e-05
2.931771416899999849e+02 9.768187163038553260e-05
2.951990530119999789e+02 9.795681844645390181e-05
2.972209643339999730e+02 9.823301454469287610e-05
2.992428756559999670e+02 9.851046772079612504e-05
3.012647869779999610e+02 9.878918583198382640e-05
3.032866982999999550e+02 9.906917679758833859e-05
3.053086096219999490e+02 9.935044859964658158e-05
3.073305209439999430e+02 9.963300928349870631e-05
3.093524322659999939e+02 9.991686695839383837e-05
3.113743435879999879e+02 1.002020297981022457e-04
3.133962549099999819e+02 1.004885060415347162e-04
3.154181662319999759e+02 1.007763039933685760e-04
3.174400775539999700e+02 1.010654320246808771e-04
3.194619888759999640e+02 1.013558985735888085e-04
3.214839001979999580e+02 1.016477121458971277e-04
3.235058115199999520e+02 1.019408813157532081e-04
3.255277228419999460e+02 1.022354147263091482e-04
3.275496341639999400e+02 1.025313210903915372e-04
3.295715454859999909e+02 1.028286091911790950e-04
3.315934568079999849e+02 1.031272878828874679e-04
3.336153681299999789e+02 1.034273660914622776e-04
3.356372794519999729e+02 1.037288528152799496e-04
3.376591907739999670e+02 1.040317571258565240e-04
3.396811020959999610e+02 1.043360881685644889e-04
3.417030134179999550e+02 1.046418551633581528e-04
3.437249247399999490e+02 1.049490674055068634e-04
3.457468360619999430e+02 1.052577342663370893e-04
3.477687473839999370e+02 1.055678651939830136e-04
3.497906587059999879e+02 1.058794697141453805e-04
3.518125700279999819e+02 1.061925574308596252e-04
3.538344813499999759e+02 1.065071380272725968e-04
3.558563926719999699e+02 1.068232212664284959e-04
3.578783039939999640e+02 1.071408169920636493e-04
3.599002153159999580e+02 1.074599351294109608e-04
3.619221266379999520e+02 1.077805856860131987e-04
3.639440379599999460e+02 1.081027787525462976e-04
3.659659492819999400e+02 1.084265245036520941e-04
3.679878606039999340e+02 1.087518331987806297e-04
3.700097719259999849e+02 1.090787151830426585e-04
3.720316832479999789e+02 1.094071808880719277e-04
3.740535945699999729e+02 1.097372408328978373e-04
3.760755058919999669e+02 1.100689056248281306e-04
3.780974172139999609e+02 1.104021859603423577e-04
3.801193285359999550e+02 1.107370926259955445e-04
3.821412398579999490e+02 1.110736364993327038e-04
3.841631511799999430e+02 1.114118285498145539e-04
3.861850625019999370e+02 1.117516798397536463e-04
3.882069738239999879e+02 1.120932015252620395e-04
3.902288851459999819e+02 1.124364048572103572e-04
3.922507964679999759e+02 1.127813011821978643e-04
3.942727077899999699e+02 1.131279019435347681e-04
3.962946191119999639e+02 1.134762186822358895e-04
3.983165304339999579e+02 1.138262630380262874e-04
4.003384417559999520e+02 1.141780467503592027e-04
4.023603530779999460e+02 1.145315816594462399e-04
4.043822643999999400e+02 1.148868797072997197e-04
4.064041757219999340e+02 1.152439529387880540e-04
4.084260870439999849e+02 1.156028135027036181e-04
4.104479983659999789e+02 1.159634736528437676e-04
4.124699096879999729e+02 1.163259457491048663e-04
4.144918210099999669e+02 1.166902422585898257e-04
4.165137323319999609e+02 1.170563757567289669e-04
4.185356436539999549e+02 1.174243589284146245e-04
4.205575549759999490e+02 1.177942045691499811e-04
4.225794662979999430e+02 1.181659255862114804e-04
4.246013776199999370e+02 1.185395349998258515e-04
4.266232889419999310e+02 1.189150459443616734e-04
4.286452002639999819e+02 1.192924716695353880e-04
4.306671115859999759e+02 1.196718255416324501e-04
4.326890229079999699e+02 1.200531210447436972e-04
4.347109342299999639e+02 1.204363717820164788e-04
4.367328455519999579e+02 1.208215914769220745e-04
4.387547568739999519e+02 1.212087939745385226e-04
4.407766681959999460e+02 1.215979932428492226e-04
4.427985795179999400e+02 1.219892033740583442e-04
4.448204908399999340e+02 1.223824385859221457e-04
4.468424021619999280e+02 1.227777132230973016e-04
4.488643134839999789e+02 1.231750417585061300e-04
4.508862248059999729e+02 1.235744387947187875e-04
4.529081361279999669e+02 1.239759190653532729e-04
4.549300474499999609e+02 1.243794974364925872e-04
4.569519587719999549e+02 1.247851889081205159e-04
4.589738700939999489e+02 1.251930086155748662e-04
4.609957814159999430e+02 1.256029718310196783e-04
4.630176927379999370e+02 1.260150939649360032e-04
4.650396040599999310e+02 1.264293905676315728e-04
4.670615153819999250e+02 1.268458773307700946e-04
4.690834267039999759e+02 1.272645700889194647e-04
4.711053380259999699e+02 1.276854848211205818e-04
4.731272493479999639e+02 1.281086376524757031e-04
4.751491606699999579e+02 1.285340448557577254e-04
4.771710719919999519e+02 1.289617228530395517e-04
4.791929833139999459e+02 1.293916882173452767e-04
4.812148946359999400e+02 1.298239576743219991e-04
4.832368059579999340e+02 1.302585481039338880e-04
4.852587172799999280e+02 1.306954765421779868e-04
4.872806286019999220e+02 1.311347601828219726e-04
4.893025399239999729e+02 1.315764163791653338e-04
4.913244512459999669e+02 1.320204626458228560e-04
4.933463625679999609e+02 1.324669166605319328e-04
4.953682738899999549e+02 1.329157962659830241e-04
4.973901852119999489e+02 1.333671194716746448e-04
4.994120965339999429e+02 1.338209044557924767e-04
5.014340078559999370e+02 1.342771695671132824e-04
5.034559191779999310e+02 1.347359333269341336e-04
5.054778304999999250e+02 1.351972144310269034e-04
5.074997418219999190e+02 1.356610317516185609e-04
5.095216531439999699e+02 1.361274043393984631e-04
5.115435644659999639e+02 1.365963514255513159e-04
5.135654757879999579e+02 1.370678924238181062e-04
5.155873871099998951e+02 1.375420469325840589e-04
5.176092984319999459e+02 1.380188347369947822e-04
5.196312097539999968e+02 1.384982758111005493e-04
5.216531210759999340e+02 1.389803903200295535e-04
