# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
0.35697341 2.7233992753e-02 -1.2572384304e-18 -6.8554767758e-19 -1.2572384304e-18 2.7233992753e-02 9.7044237769e-18 -6.8554767758e-19 9.7044237769e-18 3.6296582280e-04
0.71394681 5.4473046173e-02 -2.5144768608e-18 -1.3712203175e-18 -2.5144768608e-18 5.4473046173e-02 1.9410660540e-17 -1.3712203175e-18 1.9410660540e-17 7.2593707721e-04
1.07092022 8.1722223280e-02 -5.0289537216e-18 -2.0571429401e-18 -5.0289537216e-18 8.1722223280e-02 2.9120524118e-17 -2.0571429401e-18 2.9120524118e-17 1.0889191950e-03
1.42789363 1.0898659179e-01 -5.0289537216e-18 -2.7434406816e-18 -5.0289537216e-18 1.0898659179e-01 3.8835830025e-17 -2.7434406816e-18 3.8835830025e-17 1.4519176085e-03
1.78486703 1.3627122650e-01 -1.0057907443e-17 -3.4302388524e-18 -1.0057907443e-17 1.3627122650e-01 4.8558396306e-17 -3.4302388524e-18 4.8558396306e-17 1.8149377504e-03
2.14184044 1.6358121159e-01 -1.0057907443e-17 -4.1176629951e-18 -1.0057907443e-17 1.6358121159e-01 5.8290044381e-17 -4.1176629951e-18 5.8290044381e-17 2.1779850544e-03
2.49881385 1.9092164308e-01 -1.0057907443e-17 -4.8058389434e-18 -1.0057907443e-17 1.9092164308e-01 6.8032599897e-17 -4.8058389434e-18 6.8032599897e-17 2.5410649552e-03
2.85578725 2.1829763113e-01 -2.0115814887e-17 -5.4948928801e-18 -2.0115814887e-17 2.1829763113e-01 7.7787893582e-17 -5.4948928801e-18 7.7787893582e-17 2.9041828886e-03
3.21276066 2.4571430248e-01 -2.0115814887e-17 -6.1849513967e-18 -2.0115814887e-17 2.4571430248e-01 8.7557762101e-17 -6.1849513967e-18 8.7557762101e-17 3.2673442919e-03
3.56973407 2.7317680286e-01 -2.0115814887e-17 -6.8761415529e-18 -2.0115814887e-17 2.7317680286e-01 9.7344048918e-17 -6.8761415529e-18 9.7344048918e-17 3.6305546041e-03
3.92670747 3.0069029936e-01 -2.0115814887e-17 -7.5685909356e-18 -2.0115814887e-17 3.0069029936e-01 1.0714860517e-16 -7.5685909356e-18 1.0714860517e-16 3.9938192659e-03
4.28368088 3.2825998296e-01 -2.0115814887e-17 -8.2624277199e-18 -2.0115814887e-17 3.2825998296e-01 1.1697329053e-16 -8.2624277199e-18 1.1697329053e-16 4.3571437201e-03
4.64065429 3.5589107092e-01 -4.0231629773e-17 -8.9577807295e-18 -4.0231629773e-17 3.5589107092e-01 1.2681997411e-16 -8.9577807295e-18 1.2681997411e-16 4.7205334116e-03
4.99762769 3.8358880931e-01 -2.0115814887e-17 -9.6547794980e-18 -2.0115814887e-17 3.8358880931e-01 1.3669053534e-16 -9.6547794980e-18 1.3669053534e-16 5.0839937881e-03
5.35460110 4.1135847548e-01 -2.0115814887e-17 -1.0353554331e-17 -2.0115814887e-17 4.1135847548e-01 1.4658686486e-16 -1.0353554331e-17 1.4658686486e-16 5.4475302996e-03
5.71157450 4.3920538064e-01 -2.0115814887e-17 -1.1054236369e-17 -2.0115814887e-17 4.3920538064e-01 1.5651086544e-16 -1.1054236369e-17 1.5651086544e-16 5.8111483990e-03
6.06854791 4.6713487244e-01 -4.0231629773e-17 -1.1756957650e-17 -4.0231629773e-17 4.6713487244e-01 1.6646445291e-16 -1.1756957650e-17 1.6646445291e-16 6.1748535424e-03
6.42552132 4.9515233750e-01 -4.0231629773e-17 -1.2461851174e-17 -4.0231629773e-17 4.9515233750e-01 1.7644955707e-16 -1.2461851174e-17 1.7644955707e-16 6.5386511891e-03
6.78249472 5.2326320411e-01 -4.0231629773e-17 -1.3169050967e-17 -4.0231629773e-17 5.2326320411e-01 1.8646812266e-16 -1.3169050967e-17 1.8646812266e-16 6.9025468018e-03
7.13946813 5.5147294490e-01 -2.0115814887e-17 -1.3878692151e-17 -2.0115814887e-17 5.5147294490e-01 1.9652211029e-16 -1.3878692151e-17 1.9652211029e-16 7.2665458469e-03
7.49644154 5.7978707952e-01 -4.0231629773e-17 -1.4590911005e-17 -4.0231629773e-17 5.7978707952e-01 2.0661349745e-16 -1.4590911005e-17 2.0661349745e-16 7.6306537948e-03
7.85341494 6.0821117742e-01 -4.0231629773e-17 -1.5305845036e-17 -4.0231629773e-17 6.0821117742e-01 2.1674427943e-16 -1.5305845036e-17 2.1674427943e-16 7.9948761197e-03
8.21038835 6.3675086062e-01 -4.0231629773e-17 -1.6023633048e-17 -4.0231629773e-17 6.3675086062e-01 2.2691647042e-16 -1.6023633048e-17 2.2691647042e-16 8.3592183004e-03
8.56736176 6.6541180660e-01 -4.0231629773e-17 -1.6744415214e-17 -4.0231629773e-17 6.6541180660e-01 2.3713210444e-16 -1.6744415214e-17 2.3713210444e-16 8.7236858200e-03
8.92433516 6.9419975115e-01 -8.0463259546e-17 -1.7468333142e-17 -8.0463259546e-17 6.9419975115e-01 2.4739323642e-16 -1.7468333142e-17 2.4739323642e-16 9.0882841664e-03
9.28130857 7.2312049136e-01 -4.0231629773e-17 -1.8195529953e-17 -4.0231629773e-17 7.2312049136e-01 2.5770194327e-16 -1.8195529953e-17 2.5770194327e-16 9.4530188324e-03
9.63828198 7.5217988859e-01 -8.0463259546e-17 -1.8926150352e-17 -8.0463259546e-17 7.5217988859e-01 2.6806032491e-16 -1.8926150352e-17 2.6806032491e-16 9.8178953157e-03
9.99525538 7.8138387156e-01 -4.0231629773e-17 -1.9660340706e-17 -4.0231629773e-17 7.8138387156e-01 2.7847050542e-16 -1.9660340706e-17 2.7847050542e-16 1.0182919120e-02
10.35222879 8.1073843943e-01 -8.0463259546e-17 -2.0398249119e-17 -8.0463259546e-17 8.1073843943e-01 2.8893463411e-16 -2.0398249119e-17 2.8893463411e-16 1.0548095753e-02
10.70920220 8.4024966507e-01 -4.0231629773e-17 -2.1140025510e-17 -4.0231629773e-17 8.4024966507e-01 2.9945488672e-16 -2.1140025510e-17 2.9945488672e-16 1.0913430730e-02
11.06617560 8.6992369822e-01 -8.0463259546e-17 -2.1885821696e-17 -8.0463259546e-17 8.6992369822e-01 3.1003346652e-16 -2.1885821696e-17 3.1003346652e-16 1.1278929572e-02
11.42314901 8.9976676891e-01 -8.0463259546e-17 -2.2635791473e-17 -8.0463259546e-17 8.9976676891e-01 3.2067260558e-16 -2.2635791473e-17 3.2067260558e-16 1.1644597804e-02
11.78012242 9.2978519080e-01 -8.0463259546e-17 -2.3390090699e-17 -8.0463259546e-17 9.2978519080e-01 3.3137456590e-16 -2.3390090699e-17 3.3137456590e-16 1.2010440960e-02
12.13709582 9.5998536467e-01 -8.0463259546e-17 -2.4148877381e-17 -8.0463259546e-17 9.5998536467e-01 3.4214164074e-16 -2.4148877381e-17 3.4214164074e-16 1.2376464580e-02
12.49406923 9.9037378204e-01 -8.0463259546e-17 -2.4912311760e-17 -8.0463259546e-17 9.9037378204e-01 3.5297615587e-16 -2.4912311760e-17 3.5297615587e-16 1.2742674209e-02
12.85104264 1.0209570287e+00 -4.0231629773e-17 -2.5680556408e-17 -4.0231629773e-17 1.0209570287e+00 3.6388047084e-16 -2.5680556408e-17 3.6388047084e-16 1.3109075402e-02
13.20801604 1.0517417887e+00 -4.0231629773e-17 -2.6453776311e-17 -4.0231629773e-17 1.0517417887e+00 3.7485698038e-16 -2.6453776311e-17 3.7485698038e-16 1.3475673718e-02
13.56498945 1.0827348478e+00 -8.0463259546e-17 -2.7232138971e-17 -8.0463259546e-17 1.0827348478e+00 3.8590811573e-16 -2.7232138971e-17 3.8590811573e-16 1.3842474725e-02
13.92196286 1.1139430977e+00 -8.0463259546e-17 -2.8015814498e-17 -8.0463259546e-17 1.1139430977e+00 3.9703634608e-16 -2.8015814498e-17 3.9703634608e-16 1.4209484000e-02
14.27893626 1.1453735401e+00 -8.0463259546e-17 -2.8804975715e-17 -8.0463259546e-17 1.1453735401e+00 4.0824418000e-16 -2.8804975715e-17 4.0824418000e-16 1.4576707125e-02
14.63590967 1.1770332906e+00 -8.0463259546e-17 -2.9599798253e-17 -8.0463259546e-17 1.1770332906e+00 4.1953416691e-16 -2.9599798253e-17 4.1953416691e-16 1.4944149692e-02
14.99288307 1.2089295830e+00 -8.0463259546e-17 -3.0400460662e-17 -8.0463259546e-17 1.2089295830e+00 4.3090889864e-16 -3.0400460662e-17 4.3090889864e-16 1.5311817301e-02
15.34985648 1.2410697741e+00 -8.0463259546e-17 -3.1207144515e-17 -8.0463259546e-17 1.2410697741e+00 4.4237101098e-16 -3.1207144515e-17 4.4237101098e-16 1.5679715561e-02
15.70682989 1.2734613475e+00 -8.0463259546e-17 -3.2020034522e-17 -8.0463259546e-17 1.2734613475e+00 4.5392318526e-16 -3.2020034522e-17 4.5392318526e-16 1.6047850087e-02
16.06380329 1.3061119188e+00 -8.0463259546e-17 -3.2839318640e-17 -8.0463259546e-17 1.3061119188e+00 4.6556815007e-16 -3.2839318640e-17 4.6556815007e-16 1.6416226507e-02
16.42077670 1.3390292399e+00 -8.0463259546e-17 -3.3665188193e-17 -8.0463259546e-17 1.3390292399e+00 4.7730868291e-16 -3.3665188193e-17 4.7730868291e-16 1.6784850455e-02
16.77775011 1.3722212044e+00 -1.6092651909e-16 -3.4497837993e-17 -1.6092651909e-16 1.3722212044e+00 4.8914761194e-16 -3.4497837993e-17 4.8914761194e-16 1.7153727575e-02
17.13472351 1.4056958521e+00 -8.0463259546e-17 -3.5337466462e-17 -8.0463259546e-17 1.4056958521e+00 5.0108781785e-16 -3.5337466462e-17 5.0108781785e-16 1.7522863522e-02
17.49169692 1.4394613746e+00 -8.0463259546e-17 -3.6184275761e-17 -8.0463259546e-17 1.4394613746e+00 5.1313223563e-16 -3.6184275761e-17 5.1313223563e-16 1.7892263960e-02
17.84867033 1.4735261203e+00 -8.0463259546e-17 -3.7038471921e-17 -8.0463259546e-17 1.4735261203e+00 5.2528385656e-16 -3.7038471921e-17 5.2528385656e-16 1.8261934562e-02
18.20564373 1.5078986004e+00 -8.0463259546e-17 -3.7900264982e-17 -8.0463259546e-17 1.5078986004e+00 5.3754573012e-16 -3.7900264982e-17 5.3754573012e-16 1.8631881012e-02
18.56261714 1.5425874940e+00 -8.0463259546e-17 -3.8769869127e-17 -8.0463259546e-17 1.5425874940e+00 5.4992096608e-16 -3.8769869127e-17 5.4992096608e-16 1.9002109005e-02
18.91959055 1.5776016542e+00 -8.0463259546e-17 -3.9647502833e-17 -8.0463259546e-17 1.5776016542e+00 5.6241273656e-16 -3.9647502833e-17 5.6241273656e-16 1.9372624246e-02
19.27656395 1.6129501144e+00 -8.0463259546e-17 -4.0533389013e-17 -8.0463259546e-17 1.6129501144e+00 5.7502427823e-16 -4.0533389013e-17 5.7502427823e-16 1.9743432451e-02
19.63353736 1.6486420940e+00 -8.0463259546e-17 -4.1427755177e-17 -8.0463259546e-17 1.6486420940e+00 5.8775889450e-16 -4.1427755177e-17 5.8775889450e-16 2.0114539347e-02
19.99051077 1.6846870054e+00 -1.6092651909e-16 -4.2330833586e-17 -1.6092651909e-16 1.6846870054e+00 6.0061995787e-16 -4.2330833586e-17 6.0061995787e-16 2.0485950674e-02
20.34748417 1.7210944603e+00 -8.0463259546e-17 -4.3242861417e-17 -8.0463259546e-17 1.7210944603e+00 6.1361091226e-16 -4.3242861417e-17 6.1361091226e-16 2.0857672180e-02
20.70445758 1.7578742764e+00 -8.0463259546e-17 -4.4164080931e-17 -8.0463259546e-17 1.7578742764e+00 6.2673527556e-16 -4.4164080931e-17 6.2673527556e-16 2.1229709629e-02
21.06143099 1.7950364851e+00 -8.0463259546e-17 -4.5094739651e-17 -8.0463259546e-17 1.7950364851e+00 6.3999664205e-16 -4.5094739651e-17 6.3999664205e-16 2.1602068793e-02
21.41840439 1.8325913384e+00 -8.0463259546e-17 -4.6035090541e-17 -8.0463259546e-17 1.8325913384e+00 6.5339868515e-16 -4.6035090541e-17 6.5339868515e-16 2.1974755459e-02
