# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 8.8346798281e+01 -5.1496486110e-15 -2.6443726233e-15 -5.1496486110e-15 8.8346798281e+01 2.6902119826e-14 -2.6443726233e-15 2.6902119826e-14 1.7800800446e+01
0.35697341 8.8348004001e+01 -5.1496486110e-15 -2.6444029789e-15 -5.1496486110e-15 8.8348004001e+01 2.6902549448e-14 -2.6444029789e-15 2.6902549448e-14 1.7800816632e+01
0.71394681 8.8351621383e+01 -5.1496486110e-15 -2.6444940510e-15 -5.1496486110e-15 8.8351621383e+01 2.6903838393e-14 -2.6444940510e-15 2.6903838393e-14 1.7800865190e+01
1.07092022 8.8357651091e+01 -5.1496486110e-15 -2.6446458561e-15 -5.1496486110e-15 8.8357651091e+01 2.6905986900e-14 -2.6446458561e-15 2.6905986900e-14 1.7800946121e+01
1.42789363 8.8366094232e+01 -5.1496486110e-15 -2.6448584215e-15 -5.1496486110e-15 8.8366094232e+01 2.6908995364e-14 -2.6448584215e-15 2.6908995364e-14 1.7801059426e+01
1.78486703 8.8376952357e+01 -5.1496486110e-15 -2.6451317855e-15 -5.1496486110e-15 8.8376952357e+01 2.6912864343e-14 -2.6451317855e-15 2.6912864343e-14 1.7801205107e+01
2.14184044 8.8390227462e+01 -5.1496486110e-15 -2.6454659975e-15 -5.1496486110e-15 8.8390227462e+01 2.6917594550e-14 -2.6454659975e-15 2.6917594550e-14 1.7801383166e+01
2.49881385 8.8405921988e+01 -5.1496486110e-15 -2.6458611175e-15 -5.1496486110e-15 8.8405921988e+01 2.6923186860e-14 -2.6458611175e-15 2.6923186860e-14 1.7801593606e+01
2.85578725 8.8424038822e+01 -5.1496486110e-15 -2.6463172171e-15 -5.1496486110e-15 8.8424038822e+01 2.6929642308e-14 -2.6463172171e-15 2.6929642308e-14 1.7801836430e+01
3.21276066 8.8444581299e+01 -5.1496486110e-15 -2.6468343785e-15 -5.1496486110e-15 8.8444581299e+01 2.6936962087e-14 -2.6468343785e-15 2.6936962087e-14 1.7802111641e+01
3.56973407 8.8467553203e+01 -5.1496486110e-15 -2.6474126951e-15 -5.1496486110e-15 8.8467553203e+01 2.6945147555e-14 -2.6474126951e-15 2.6945147555e-14 1.7802419243e+01
3.92670747 8.8492958770e+01 -5.1496486110e-15 -2.6480522715e-15 -5.1496486110e-15 8.8492958770e+01 2.6954200227e-14 -2.6480522715e-15 2.6954200227e-14 1.7802759242e+01
4.28368088 8.8520802687e+01 -5.1496486110e-15 -2.6487532236e-15 -5.1496486110e-15 8.8520802687e+01 2.6964121785e-14 -2.6487532236e-15 2.6964121785e-14 1.7803131642e+01
4.64065429 8.8551090097e+01 -5.1496486110e-15 -2.6495156783e-15 -5.1496486110e-15 8.8551090097e+01 2.6974914069e-14 -2.6495156783e-15 2.6974914069e-14 1.7803536448e+01
4.99762769 8.8583826603e+01 -5.1496486110e-15 -2.6503397739e-15 -5.1496486110e-15 8.8583826603e+01 2.6986579087e-14 -2.6503397739e-15 2.6986579087e-14 1.7803973668e+01
5.35460110 8.8619018263e+01 -5.1496486110e-15 -2.6512256601e-15 -5.1496486110e-15 8.8619018263e+01 2.6999119010e-14 -2.6512256601e-15 2.6999119010e-14 1.7804443307e+01
5.71157450 8.8656671603e+01 -5.1496486110e-15 -2.6521734979e-15 -5.1496486110e-15 8.8656671603e+01 2.7012536175e-14 -2.6521734979e-15 2.7012536175e-14 1.7804945373e+01
