# frequency_cm-1 intensity_x intensity_y intensity_z intensity_total
0.000000000000000000e+00 1.389021880504027974e-04 1.389021880504028245e-04 2.174958005069786403e-05 2.995539561515034961e-04
3.569734065418118107e-01 1.399467065748769814e-04 1.399467065748769543e-04 2.179823734831658566e-05 3.016916504980704842e-04
7.139468130836236215e-01 1.410035544605344024e-04 1.410035544605344024e-04 2.184705810144765348e-05 3.038541670225164719e-04
1.070920219625435488e+00 1.420729280566224682e-04 1.420729280566224411e-04 2.189604304300602373e-05 3.060418991562509805e-04
1.427893626167247243e+00 1.431550276405350235e-04 1.431550276405349964e-04 2.194519291001889591e-05 3.082552481910888920e-04
1.784867032709058998e+00 1.442500575124601090e-04 1.442500575124600819e-04 2.199450844365348538e-05 3.104946234685736694e-04
2.141840439250870975e+00 1.453582260926969459e-04 1.453582260926969459e-04 2.204399038924490767e-05 3.127604425746388097e-04
2.498813845792682731e+00 1.464797460217292060e-04 1.464797460217291789e-04 2.209363949632438801e-05 3.150531315397827356e-04
2.855787252334494486e+00 1.476148342631433631e-04 1.476148342631433631e-04 2.214345651864757603e-05 3.173731250449342853e-04
3.212760658876306241e+00 1.487637122094856673e-04 1.487637122094856673e-04 2.219344221422320929e-05 3.197208666331945236e-04
3.569734065418117996e+00 1.499266057911533391e-04 1.499266057911533391e-04 2.224359734534189548e-05 3.220968089276485670e-04
3.926707471959929752e+00 1.511037455884199220e-04 1.511037455884199220e-04 2.229392267860520632e-05 3.245014138554450740e-04
4.283680878501741951e+00 1.522953669466982514e-04 1.522953669466982514e-04 2.234441898495493069e-05 3.269351528783514572e-04
4.640654285043553706e+00 1.535017100951485951e-04 1.535017100951485951e-04 2.239508703970262928e-05 3.293985072299998162e-04
4.997627691585365461e+00 1.547230202687427142e-04 1.547230202687426871e-04 2.244592762255933496e-05 3.318919681600447126e-04
5.354601098127177217e+00 1.559595478338996659e-04 1.559595478338996659e-04 2.249694151766561909e-05 3.344160371854649713e-04
5.711574504668988972e+00 1.572115484178135316e-04 1.572115484178135316e-04 2.254812951362173909e-05 3.369712263492487887e-04
6.068547911210800727e+00 1.584792830415968318e-04 1.584792830415968318e-04 2.259949240351818582e-05 3.395580584867118426e-04
6.425521317752612482e+00 1.597630182573690544e-04 1.597630182573690544e-04 2.265103098496631912e-05 3.421770674997044346e-04
6.782494724294424238e+00 1.610630262894245483e-04 1.610630262894245483e-04 2.270274606012940305e-05 3.448287986389785031e-04
7.139468130836235993e+00 1.623795851796186137e-04 1.623795851796186137e-04 2.275463843575374962e-05 3.475138087949909737e-04
7.496441537378047748e+00 1.637129789371165843e-04 1.637129789371165843e-04 2.280670892320021484e-05 3.502326667974333665e-04
7.853414943919859503e+00 1.650634976926560913e-04 1.650634976926560913e-04 2.285895833847588458e-05 3.529859537237880910e-04
8.210388350461672147e+00 1.664314378574782542e-04 1.664314378574782542e-04 2.291138750226606185e-05 3.557742632172225940e-04
8.567361757003483902e+00 1.678171022870901844e-04 1.678171022870901844e-04 2.296399723996643717e-05 3.585982018141467857e-04
8.924335163545295657e+00 1.692208004500269356e-04 1.692208004500269356e-04 2.301678838171564173e-05 3.614583892817695198e-04
9.281308570087107412e+00 1.706428486017884047e-04 1.706428486017884047e-04 2.306976176242790216e-05 3.643554589660047047e-04
9.638281976628919168e+00 1.720835699641323812e-04 1.720835699641323812e-04 2.312291822182614264e-05 3.672900581500909050e-04
9.995255383170730923e+00 1.735432949099140231e-04 1.735432949099140231e-04 2.317625860447514112e-05 3.702628484243031975e-04
1.035222878971254268e+01 1.750223611536674026e-04 1.750223611536674026e-04 2.322978375981518025e-05 3.732745060671499820e-04
1.070920219625435443e+01 1.765211139481346865e-04 1.765211139481346594e-04 2.328349454219576608e-05 3.763257224384651154e-04
1.106617560279616619e+01 1.780399062869551308e-04 1.780399062869551308e-04 2.333739181090979735e-05 3.794172043848200522e-04
1.142314900933797794e+01 1.795790991137359051e-04 1.795790991137359051e-04 2.339147643022783645e-05 3.825496746576996466e-04
1.178012241587978970e+01 1.811390615377344638e-04 1.811390615377344638e-04 2.344574926943283780e-05 3.857238723449017519e-04
1.213709582242160145e+01 1.827201710563935630e-04 1.827201710563935630e-04 2.350021120285498795e-05 3.889405533156421106e-04
1.249406922896341321e+01 1.843228137849769067e-04 1.843228137849769067e-04 2.355486310990699303e-05 3.922004906798608301e-04
1.285104263550522496e+01 1.859473846935671222e-04 1.859473846935671222e-04 2.360970587511949148e-05 3.955044752622537325e-04
1.320801604204703672e+01 1.875942878516954080e-04 1.875942878516954080e-04 2.366474038817690723e-05 3.988533160915676994e-04
