mode,frequency_cm-1,activity_normalized,depolarization_ratio,Rxx,Rxy,Rxz,Ryx,Ryy,Ryz,Rzx,Rzy,Rzz
1,673.9468130836236,0.12497592908056346,0.75,0.0,-2.4999999999999998e-05,0.2143,-2.4999999999999998e-05,0.0,0.0219,0.2143,0.0219,0.0
2,673.9468130836236,0.124975927397308,0.75,0.0,0.0,-0.0219,0.0,0.0,0.2143,-0.0219,0.2143,0.0
3,662.8496072285348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,600.6131811962181,0.0761447699313941,0.7499999919833341,-0.15607500000001107,0.0,0.0,0.0,0.15610000000001456,-0.0,0.0,-0.0,0.0
5,465.13319561667305,6.869371792908208e-10,0.75,0.0,1.2500000000000007e-05,0.0,1.2500000000000007e-05,0.0,0.0,0.0,0.0,0.0
6,465.13319561667305,6.869371792908208e-10,0.75,0.0,1.2500000000000007e-05,0.0,1.2500000000000007e-05,0.0,0.0,0.0,0.0,0.0
7,452.64241761444856,0.07389608267379903,0.75,0.0,0.0,-0.12589999999999998,0.0,0.0,0.01845,-0.12589999999999998,0.01845,0.0
8,452.64241761444856,0.07389608552627545,0.7500000000000001,0.0,2.4999999999999998e-05,-0.01845,2.4999999999999998e-05,0.0,-0.12589999999999998,-0.01845,-0.12589999999999998,0.0
9,319.61609389381624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,295.70265930741556,1.0,0.266907754221995,-0.028325000000006817,0.0,0.0,0.0,-0.028300000000003322,0.0,0.0,0.0,-0.44607500000000133
11,227.4630882769338,0.13552377299981447,0.7499999816656536,0.10320000000001439,0.0,0.0,0.0,-0.10322500000001789,0.0,0.0,0.0,0.0
12,103.35307098094974,0.030593503526052168,0.7500000000000001,0.0,0.0,-0.0205,0.0,0.0,0.014349999999999998,-0.0205,0.014349999999999998,0.0
13,103.35307098094974,0.030593503526052168,0.7500000000000001,0.0,0.0,0.014349999999999998,0.0,0.0,0.0205,0.014349999999999998,0.0205,0.0
14,90.42955909497613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,90.42955909497613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
