# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 3.402185908037075931e-04
3.569734065418118107e-01 3.414593635399799780e-04
7.139468130836236215e-01 3.427090527535395616e-04
1.070920219625435488e+00 3.439677627087740493e-04
1.427893626167247243e+00 3.452355993642389014e-04
1.784867032709058998e+00 3.465126704072973222e-04
2.141840439250870975e+00 3.477990852896037030e-04
2.498813845792682731e+00 3.490949552634542105e-04
2.855787252334494486e+00 3.504003934190290772e-04
3.212760658876306241e+00 3.517155147225524523e-04
3.569734065418117996e+00 3.530404360553946407e-04
3.926707471959929752e+00 3.543752762541447577e-04
4.283680878501741951e+00 3.557201561516806321e-04
4.640654285043553706e+00 3.570751986192661001e-04
4.997627691585365461e+00 3.584405286097027397e-04
5.354601098127177217e+00 3.598162732015695474e-04
5.711574504668988972e+00 3.612025616445801025e-04
6.068547911210800727e+00 3.625995254060901786e-04
6.425521317752612482e+00 3.640072982187898994e-04
6.782494724294424238e+00 3.654260161296156765e-04
7.139468130836235993e+00 3.668558175499158649e-04
7.496441537378047748e+00 3.682968433069098708e-04
7.853414943919859503e+00 3.697492366964769258e-04
8.210388350461672147e+00 3.712131435373160508e-04
8.567361757003483902e+00 3.726887122265161879e-04
8.924335163545295657e+00 3.741760937965807354e-04
9.281308570087107412e+00 3.756754419739489863e-04
9.638281976628919168e+00 3.771869132390613623e-04
9.995255383170730923e+00 3.787106668880128955e-04
1.035222878971254268e+01 3.802468650958459157e-04
1.070920219625435443e+01 3.817956729815306775e-04
1.106617560279616619e+01 3.833572586746864571e-04
1.142314900933797794e+01 3.849317933840958657e-04
1.178012241587978970e+01 3.865194514680696789e-04
1.213709582242160145e+01 3.881204105067179101e-04
1.249406922896341321e+01 3.897348513761873562e-04
1.285104263550522496e+01 3.913629583249284439e-04
1.320801604204703672e+01 3.930049190520520930e-04
1.356498944858884848e+01 3.946609247878471774e-04
1.392196285513066023e+01 3.963311703765227696e-04
