# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
0.41248203 2.3066011016e-05 -1.2941244419e-08 -8.9131144766e-09 -1.2941244419e-08 2.3051612120e-05 1.7150030313e-09 -8.9131144766e-09 1.7150030313e-09 2.3049554667e-05
0.82496406 4.6132100441e-05 -2.5882532830e-08 -1.7826259252e-08 -2.5882532830e-08 4.6103302600e-05 3.4300118925e-09 -1.7826259252e-08 3.4300118925e-09 4.6099187687e-05
1.23744609 6.9198346685e-05 -3.8823909224e-08 -2.6739464624e-08 -3.8823909224e-08 6.9155149801e-05 5.1450324134e-09 -2.6739464624e-08 5.1450324134e-09 6.9148977413e-05
1.64992812 9.2264828158e-05 -5.1765417594e-08 -3.5652760894e-08 -5.1765417594e-08 9.2207232084e-05 6.8600704240e-09 -3.5652760894e-08 6.8600704240e-09 9.2199002201e-05
2.06241015 1.1533162327e-04 -6.4707101934e-08 -4.4566178360e-08 -6.4707101934e-08 1.1525962781e-04 8.5751317546e-09 -4.4566178360e-08 8.5751317546e-09 1.1524934041e-04
2.47489218 1.3839881045e-04 -7.7649006239e-08 -5.3479747324e-08 -7.7649006239e-08 1.3831241536e-04 1.0290222235e-08 -5.3479747324e-08 1.0290222235e-08 1.3830007039e-04
2.88737421 1.6146646809e-04 -9.0591174506e-08 -6.2393498089e-08 -9.0591174506e-08 1.6136567308e-04 1.2005347697e-08 -6.2393498089e-08 1.2005347697e-08 1.6135127052e-04
3.29985624 1.8453467464e-04 -1.0353365073e-07 -7.1307460958e-08 -1.0353365073e-07 1.8441947936e-04 1.3720513971e-08 -7.1307460958e-08 1.3720513971e-08 1.8440301915e-04
3.71233828 2.0760350852e-04 -1.1647647893e-07 -8.0221666238e-08 -1.1647647893e-07 2.0747391258e-04 1.5435726887e-08 -8.0221666238e-08 1.5435726887e-08 2.0745539466e-04
4.12482031 2.3067304815e-04 -1.2941970309e-07 -8.9136144235e-08 -1.2941970309e-07 2.3052905112e-04 1.7150992278e-08 -8.9136144235e-08 1.7150992278e-08 2.3050847543e-04
