# frequency_cm-1 xx xy xz yx yy yz zx zy zz
0.00000000 1.0358285911e+01 -1.7986229875e-02 -1.2696738921e-02 -1.7981229875e-02 1.0354164449e+01 4.4970241207e-04 -1.2665738921e-02 4.6470241207e-04 1.0353716886e+01
0.41248203 1.0358286862e+01 -1.7986230408e-02 -1.2696739289e-02 -1.7981230408e-02 1.0354165399e+01 4.4970248280e-04 -1.2665739289e-02 4.6470248280e-04 1.0353717837e+01
0.82496406 1.0358289716e+01 -1.7986232009e-02 -1.2696740392e-02 -1.7981232009e-02 1.0354168251e+01 4.4970269499e-04 -1.2665740392e-02 4.6470269499e-04 1.0353720688e+01
1.23744609 1.0358294472e+01 -1.7986234678e-02 -1.2696742230e-02 -1.7981234678e-02 1.0354173005e+01 4.4970304863e-04 -1.2665742230e-02 4.6470304863e-04 1.0353725441e+01
1.64992812 1.0358301131e+01 -1.7986238414e-02 -1.2696744803e-02 -1.7981238414e-02 1.0354179660e+01 4.4970354374e-04 -1.2665744803e-02 4.6470354374e-04 1.0353732096e+01
2.06241015 1.0358309693e+01 -1.7986243218e-02 -1.2696748111e-02 -1.7981243218e-02 1.0354188216e+01 4.4970418031e-04 -1.2665748111e-02 4.6470418031e-04 1.0353740651e+01
2.47489218 1.0358320157e+01 -1.7986249089e-02 -1.2696752155e-02 -1.7981249089e-02 1.0354198674e+01 4.4970495834e-04 -1.2665752155e-02 4.6470495834e-04 1.0353751108e+01
2.88737421 1.0358332524e+01 -1.7986256027e-02 -1.2696756933e-02 -1.7981256027e-02 1.0354211033e+01 4.4970587784e-04 -1.2665756933e-02 4.6470587784e-04 1.0353763466e+01
3.29985624 1.0358346794e+01 -1.7986264033e-02 -1.2696762447e-02 -1.7981264033e-02 1.0354225293e+01 4.4970693881e-04 -1.2665762447e-02 4.6470693881e-04 1.0353777725e+01
3.71233828 1.0358362966e+01 -1.7986273106e-02 -1.2696768697e-02 -1.7981273106e-02 1.0354241455e+01 4.4970814125e-04 -1.2665768697e-02 4.6470814125e-04 1.0353793886e+01
4.12482031 1.0358381041e+01 -1.7986283248e-02 -1.2696775681e-02 -1.7981283248e-02 1.0354259519e+01 4.4970948517e-04 -1.2665775681e-02 4.6470948517e-04 1.0353811948e+01
4.53730234 1.0358401019e+01 -1.7986294456e-02 -1.2696783401e-02 -1.7981294456e-02 1.0354279485e+01 4.4971097057e-04 -1.2665783401e-02 4.6471097057e-04 1.0353831912e+01
4.94978437 1.0358422900e+01 -1.7986306733e-02 -1.2696791856e-02 -1.7981306733e-02 1.0354301352e+01 4.4971259746e-04 -1.2665791856e-02 4.6471259746e-04 1.0353853777e+01
5.36226640 1.0358446684e+01 -1.7986320077e-02 -1.2696801047e-02 -1.7981320077e-02 1.0354325121e+01 4.4971436584e-04 -1.2665801047e-02 4.6471436584e-04 1.0353877544e+01
5.77474843 1.0358472371e+01 -1.7986334488e-02 -1.2696810973e-02 -1.7981334488e-02 1.0354350792e+01 4.4971627572e-04 -1.2665810973e-02 4.6471627572e-04 1.0353903213e+01
6.18723046 1.0358499961e+01 -1.7986349968e-02 -1.2696821634e-02 -1.7981349968e-02 1.0354378365e+01 4.4971832710e-04 -1.2665821634e-02 4.6471832710e-04 1.0353930783e+01
6.59971249 1.0358529454e+01 -1.7986366515e-02 -1.2696833031e-02 -1.7981366515e-02 1.0354407840e+01 4.4972052000e-04 -1.2665833031e-02 4.6472052000e-04 1.0353960256e+01
7.01219452 1.0358560851e+01 -1.7986384131e-02 -1.2696845163e-02 -1.7981384131e-02 1.0354439217e+01 4.4972285442e-04 -1.2665845163e-02 4.6472285442e-04 1.0353991630e+01
7.42467655 1.0358594152e+01 -1.7986402814e-02 -1.2696858031e-02 -1.7981402814e-02 1.0354472497e+01 4.4972533036e-04 -1.2665858031e-02 4.6472533036e-04 1.0354024907e+01
7.83715858 1.0358629355e+01 -1.7986422565e-02 -1.2696871634e-02 -1.7981422565e-02 1.0354507679e+01 4.4972794784e-04 -1.2665871634e-02 4.6472794784e-04 1.0354060085e+01
8.24964061 1.0358666463e+01 -1.7986443384e-02 -1.2696885973e-02 -1.7981443384e-02 1.0354544763e+01 4.4973070686e-04 -1.2665885973e-02 4.6473070686e-04 1.0354097167e+01
8.66212264 1.0358705475e+01 -1.7986465272e-02 -1.2696901048e-02 -1.7981465272e-02 1.0354583750e+01 4.4973360744e-04 -1.2665901048e-02 4.6473360744e-04 1.0354136150e+01
9.07460467 1.0358746390e+01 -1.7986488228e-02 -1.2696916859e-02 -1.7981488228e-02 1.0354624640e+01 4.4973664959e-04 -1.2665916859e-02 4.6473664959e-04 1.0354177036e+01
9.48708670 1.0358789210e+01 -1.7986512252e-02 -1.2696933405e-02 -1.7981512252e-02 1.0354667433e+01 4.4973983330e-04 -1.2665933405e-02 4.6473983330e-04 1.0354219825e+01
9.89956873 1.0358833933e+01 -1.7986537344e-02 -1.2696950687e-02 -1.7981537344e-02 1.0354712129e+01 4.4974315861e-04 -1.2665950687e-02 4.6474315861e-04 1.0354264517e+01
10.31205076 1.0358880562e+01 -1.7986563505e-02 -1.2696968705e-02 -1.7981563505e-02 1.0354758728e+01 4.4974662550e-04 -1.2665968705e-02 4.6474662550e-04 1.0354311112e+01
10.72453279 1.0358929094e+01 -1.7986590734e-02 -1.2696987459e-02 -1.7981590734e-02 1.0354807231e+01 4.4975023401e-04 -1.2665987459e-02 4.6475023401e-04 1.0354359610e+01
11.13701483 1.0358979532e+01 -1.7986619032e-02 -1.2697006949e-02 -1.7981619032e-02 1.0354857637e+01 4.4975398414e-04 -1.2666006949e-02 4.6475398414e-04 1.0354410012e+01
11.54949686 1.0359031874e+01 -1.7986648399e-02 -1.2697027175e-02 -1.7981648399e-02 1.0354909946e+01 4.4975787590e-04 -1.2666027175e-02 4.6475787590e-04 1.0354462317e+01
11.96197889 1.0359086122e+01 -1.7986678835e-02 -1.2697048137e-02 -1.7981678835e-02 1.0354964160e+01 4.4976190931e-04 -1.2666048137e-02 4.6476190931e-04 1.0354516526e+01
12.37446092 1.0359142275e+01 -1.7986710340e-02 -1.2697069835e-02 -1.7981710340e-02 1.0355020278e+01 4.4976608438e-04 -1.2666069835e-02 4.6476608438e-04 1.0354572639e+01
12.78694295 1.0359200333e+01 -1.7986742913e-02 -1.2697092270e-02 -1.7981742913e-02 1.0355078300e+01 4.4977040112e-04 -1.2666092270e-02 4.6477040112e-04 1.0354630655e+01
13.19942498 1.0359260297e+01 -1.7986776556e-02 -1.2697115441e-02 -1.7981776556e-02 1.0355138226e+01 4.4977485955e-04 -1.2666115441e-02 4.6477485955e-04 1.0354690576e+01
13.61190701 1.0359322166e+01 -1.7986811268e-02 -1.2697139349e-02 -1.7981811268e-02 1.0355200057e+01 4.4977945968e-04 -1.2666139349e-02 4.6477945968e-04 1.0354752402e+01
14.02438904 1.0359385942e+01 -1.7986847050e-02 -1.2697163993e-02 -1.7981847050e-02 1.0355263793e+01 4.4978420154e-04 -1.2666163993e-02 4.6478420154e-04 1.0354816132e+01
14.43687107 1.0359451624e+01 -1.7986883901e-02 -1.2697189374e-02 -1.7981883901e-02 1.0355329434e+01 4.4978908513e-04 -1.2666189374e-02 4.6478908513e-04 1.0354881768e+01
14.84935310 1.0359519213e+01 -1.7986921822e-02 -1.2697215491e-02 -1.7981921822e-02 1.0355396981e+01 4.4979411048e-04 -1.2666215491e-02 4.6479411048e-04 1.0354949308e+01
15.26183513 1.0359588708e+01 -1.7986960812e-02 -1.2697242345e-02 -1.7981960812e-02 1.0355466433e+01 4.4979927759e-04 -1.2666242345e-02 4.6479927759e-04 1.0355018754e+01
15.67431716 1.0359660111e+01 -1.7987000873e-02 -1.2697269936e-02 -1.7982000873e-02 1.0355537790e+01 4.4980458649e-04 -1.2666269936e-02 4.6480458649e-04 1.0355090105e+01
16.08679919 1.0359733420e+01 -1.7987042003e-02 -1.2697298264e-02 -1.7982042003e-02 1.0355611054e+01 4.4981003720e-04 -1.2666298264e-02 4.6481003720e-04 1.0355163362e+01
16.49928122 1.0359808637e+01 -1.7987084204e-02 -1.2697327330e-02 -1.7982084204e-02 1.0355686224e+01 4.4981562973e-04 -1.2666327330e-02 4.6481562973e-04 1.0355238526e+01
16.91176325 1.0359885762e+01 -1.7987127475e-02 -1.2697357132e-02 -1.7982127475e-02 1.0355763301e+01 4.4982136410e-04 -1.2666357132e-02 4.6482136410e-04 1.0355315595e+01
17.32424528 1.0359964794e+01 -1.7987171817e-02 -1.2697387672e-02 -1.7982171817e-02 1.0355842284e+01 4.4982724034e-04 -1.2666387672e-02 4.6482724034e-04 1.0355394572e+01
17.73672731 1.0360045735e+01 -1.7987217229e-02 -1.2697418949e-02 -1.7982217229e-02 1.0355923175e+01 4.4983325846e-04 -1.2666418949e-02 4.6483325846e-04 1.0355475455e+01
18.14920934 1.0360128585e+01 -1.7987263712e-02 -1.2697450963e-02 -1.7982263712e-02 1.0356005972e+01 4.4983941848e-04 -1.2666450963e-02 4.6483941848e-04 1.0355558245e+01
18.56169138 1.0360213343e+01 -1.7987311265e-02 -1.2697483715e-02 -1.7982311265e-02 1.0356090678e+01 4.4984572043e-04 -1.2666483715e-02 4.6484572043e-04 1.0355642943e+01
18.97417341 1.0360300011e+01 -1.7987359890e-02 -1.2697517205e-02 -1.7982359890e-02 1.0356177291e+01 4.4985216432e-04 -1.2666517205e-02 4.6485216432e-04 1.0355729549e+01
19.38665544 1.0360388587e+01 -1.7987409587e-02 -1.2697551433e-02 -1.7982409587e-02 1.0356265813e+01 4.4985875018e-04 -1.2666551433e-02 4.6485875018e-04 1.0355818062e+01
19.79913747 1.0360479074e+01 -1.7987460354e-02 -1.2697586398e-02 -1.7982460354e-02 1.0356356243e+01 4.4986547803e-04 -1.2666586398e-02 4.6486547803e-04 1.0355908484e+01
20.21161950 1.0360571470e+01 -1.7987512194e-02 -1.2697622102e-02 -1.7982512194e-02 1.0356448582e+01 4.4987234789e-04 -1.2666622102e-02 4.6487234789e-04 1.0356000815e+01
20.62410153 1.0360665777e+01 -1.7987565105e-02 -1.2697658544e-02 -1.7982565105e-02 1.0356542829e+01 4.4987935979e-04 -1.2666658544e-02 4.6487935979e-04 1.0356095054e+01
21.03658356 1.0360761995e+01 -1.7987619088e-02 -1.2697695724e-02 -1.7982619088e-02 1.0356638987e+01 4.4988651374e-04 -1.2666695724e-02 4.6488651374e-04 1.0356191203e+01
21.44906559 1.0360860123e+01 -1.7987674143e-02 -1.2697733642e-02 -1.7982674143e-02 1.0356737054e+01 4.4989380979e-04 -1.2666733642e-02 4.6489380979e-04 1.0356289262e+01
21.86154762 1.0360960163e+01 -1.7987730271e-02 -1.2697772300e-02 -1.7982730271e-02 1.0356837031e+01 4.4990124794e-04 -1.2666772300e-02 4.6490124794e-04 1.0356389230e+01
22.27402965 1.0361062114e+01 -1.7987787471e-02 -1.2697811695e-02 -1.7982787471e-02 1.0356938919e+01 4.4990882822e-04 -1.2666811695e-02 4.6490882822e-04 1.0356491109e+01
22.68651168 1.0361165978e+01 -1.7987845743e-02 -1.2697851830e-02 -1.7982845743e-02 1.0357042718e+01 4.4991655067e-04 -1.2666851830e-02 4.6491655067e-04 1.0356594898e+01
23.09899371 1.0361271753e+01 -1.7987905089e-02 -1.2697892704e-02 -1.7982905089e-02 1.0357148427e+01 4.4992441530e-04 -1.2666892704e-02 4.6492441530e-04 1.0356700598e+01
23.51147574 1.0361379442e+01 -1.7987965508e-02 -1.2697934316e-02 -1.7982965508e-02 1.0357256049e+01 4.4993242215e-04 -1.2666934316e-02 4.6493242215e-04 1.0356808210e+01
23.92395777 1.0361489043e+01 -1.7988027000e-02 -1.2697976668e-02 -1.7983027000e-02 1.0357365582e+01 4.4994057123e-04 -1.2666976668e-02 4.6494057123e-04 1.0356917733e+01
24.33643980 1.0361600558e+01 -1.7988089566e-02 -1.2698019760e-02 -1.7983089566e-02 1.0357477027e+01 4.4994886259e-04 -1.2667019760e-02 4.6494886259e-04 1.0357029169e+01
24.74892183 1.0361713987e+01 -1.7988153206e-02 -1.2698063591e-02 -1.7983153206e-02 1.0357590385e+01 4.4995729624e-04 -1.2667063591e-02 4.6495729624e-04 1.0357142516e+01
25.16140386 1.0361829330e+01 -1.7988217919e-02 -1.2698108161e-02 -1.7983217919e-02 1.0357705656e+01 4.4996587222e-04 -1.2667108161e-02 4.6496587222e-04 1.0357257777e+01
25.57388589 1.0361946588e+01 -1.7988283707e-02 -1.2698153472e-02 -1.7983283707e-02 1.0357822840e+01 4.4997459055e-04 -1.2667153472e-02 4.6497459055e-04 1.0357374951e+01
25.98636793 1.0362065760e+01 -1.7988350569e-02 -1.2698199522e-02 -1.7983350569e-02 1.0357941939e+01 4.4998345127e-04 -1.2667199522e-02 4.6498345127e-04 1.0357494039e+01
26.39884996 1.0362186848e+01 -1.7988418506e-02 -1.2698246313e-02 -1.7983418506e-02 1.0358062951e+01 4.4999245440e-04 -1.2667246313e-02 4.6499245440e-04 1.0357615040e+01
26.81133199 1.0362309852e+01 -1.7988487517e-02 -1.2698293843e-02 -1.7983487517e-02 1.0358185878e+01 4.5000159998e-04 -1.2667293843e-02 4.6500159998e-04 1.0357737956e+01
27.22381402 1.0362434772e+01 -1.7988557604e-02 -1.2698342115e-02 -1.7983557604e-02 1.0358310720e+01 4.5001088803e-04 -1.2667342115e-02 4.6501088803e-04 1.0357862787e+01
27.63629605 1.0362561609e+01 -1.7988628766e-02 -1.2698391127e-02 -1.7983628766e-02 1.0358437478e+01 4.5002031859e-04 -1.2667391127e-02 4.6502031859e-04 1.0357989534e+01
28.04877808 1.0362690363e+01 -1.7988701004e-02 -1.2698440879e-02 -1.7983701004e-02 1.0358566151e+01 4.5002989169e-04 -1.2667440879e-02 4.6502989169e-04 1.0358118196e+01
28.46126011 1.0362821034e+01 -1.7988774317e-02 -1.2698491373e-02 -1.7983774317e-02 1.0358696741e+01 4.5003960737e-04 -1.2667491373e-02 4.6503960737e-04 1.0358248774e+01
28.87374214 1.0362953624e+01 -1.7988848707e-02 -1.2698542608e-02 -1.7983848707e-02 1.0358829248e+01 4.5004946565e-04 -1.2667542608e-02 4.6504946565e-04 1.0358381269e+01
29.28622417 1.0363088132e+01 -1.7988924173e-02 -1.2698594584e-02 -1.7983924173e-02 1.0358963672e+01 4.5005946657e-04 -1.2667594584e-02 4.6505946657e-04 1.0358515681e+01
29.69870620 1.0363224558e+01 -1.7989000715e-02 -1.2698647302e-02 -1.7984000715e-02 1.0359100013e+01 4.5006961017e-04 -1.2667647302e-02 4.6506961017e-04 1.0358652010e+01
30.11118823 1.0363362905e+01 -1.7989078335e-02 -1.2698700761e-02 -1.7984078335e-02 1.0359238273e+01 4.5007989647e-04 -1.2667700761e-02 4.6507989647e-04 1.0358790257e+01
30.52367026 1.0363503171e+01 -1.7989157031e-02 -1.2698754963e-02 -1.7984157031e-02 1.0359378451e+01 4.5009032552e-04 -1.2667754963e-02 4.6509032552e-04 1.0358930423e+01
30.93615229 1.0363645357e+01 -1.7989236805e-02 -1.2698809906e-02 -1.7984236805e-02 1.0359520549e+01 4.5010089735e-04 -1.2667809906e-02 4.6510089735e-04 1.0359072508e+01
31.34863432 1.0363789464e+01 -1.7989317657e-02 -1.2698865591e-02 -1.7984317657e-02 1.0359664566e+01 4.5011161199e-04 -1.2667865591e-02 4.6511161199e-04 1.0359216512e+01
31.76111635 1.0363935492e+01 -1.7989399587e-02 -1.2698922019e-02 -1.7984399587e-02 1.0359810503e+01 4.5012246949e-04 -1.2667922019e-02 4.6512246949e-04 1.0359362437e+01
32.17359838 1.0364083442e+01 -1.7989482594e-02 -1.2698979190e-02 -1.7984482594e-02 1.0359958361e+01 4.5013346987e-04 -1.2667979190e-02 4.6513346987e-04 1.0359510281e+01
32.58608041 1.0364233315e+01 -1.7989566681e-02 -1.2699037103e-02 -1.7984566681e-02 1.0360108140e+01 4.5014461318e-04 -1.2668037103e-02 4.6514461318e-04 1.0359660047e+01
32.99856244 1.0364385110e+01 -1.7989651846e-02 -1.2699095760e-02 -1.7984651846e-02 1.0360259841e+01 4.5015589946e-04 -1.2668095760e-02 4.6515589946e-04 1.0359811734e+01
33.41104448 1.0364538829e+01 -1.7989738090e-02 -1.2699155159e-02 -1.7984738090e-02 1.0360413463e+01 4.5016732874e-04 -1.2668155159e-02 4.6516732874e-04 1.0359965343e+01
33.82352651 1.0364694471e+01 -1.7989825414e-02 -1.2699215302e-02 -1.7984825414e-02 1.0360569008e+01 4.5017890106e-04 -1.2668215302e-02 4.6517890106e-04 1.0360120874e+01
34.23600854 1.0364852038e+01 -1.7989913817e-02 -1.2699276189e-02 -1.7984913817e-02 1.0360726477e+01 4.5019061646e-04 -1.2668276189e-02 4.6519061646e-04 1.0360278329e+01
34.64849057 1.0365011530e+01 -1.7990003300e-02 -1.2699337819e-02 -1.7985003300e-02 1.0360885869e+01 4.5020247499e-04 -1.2668337819e-02 4.6520247499e-04 1.0360437706e+01
35.06097260 1.0365172947e+01 -1.7990093864e-02 -1.2699400194e-02 -1.7985093864e-02 1.0361047186e+01 4.5021447668e-04 -1.2668400194e-02 4.6521447668e-04 1.0360599009e+01
35.47345463 1.0365336290e+01 -1.7990185508e-02 -1.2699463313e-02 -1.7985185508e-02 1.0361210427e+01 4.5022662157e-04 -1.2668463313e-02 4.6522662157e-04 1.0360762235e+01
35.88593666 1.0365501560e+01 -1.7990278233e-02 -1.2699527176e-02 -1.7985278233e-02 1.0361375594e+01 4.5023890970e-04 -1.2668527176e-02 4.6523890970e-04 1.0360927387e+01
36.29841869 1.0365668757e+01 -1.7990372039e-02 -1.2699591784e-02 -1.7985372039e-02 1.0361542686e+01 4.5025134113e-04 -1.2668591784e-02 4.6525134113e-04 1.0361094465e+01
36.71090072 1.0365837882e+01 -1.7990466927e-02 -1.2699657136e-02 -1.7985466927e-02 1.0361711705e+01 4.5026391588e-04 -1.2668657136e-02 4.6526391588e-04 1.0361263469e+01
37.12338275 1.0366008935e+01 -1.7990562897e-02 -1.2699723234e-02 -1.7985562897e-02 1.0361882652e+01 4.5027663401e-04 -1.2668723234e-02 4.6527663401e-04 1.0361434400e+01
37.53586478 1.0366181917e+01 -1.7990659949e-02 -1.2699790078e-02 -1.7985659949e-02 1.0362055526e+01 4.5028949555e-04 -1.2668790078e-02 4.6528949555e-04 1.0361607258e+01
37.94834681 1.0366356828e+01 -1.7990758083e-02 -1.2699857666e-02 -1.7985758083e-02 1.0362230328e+01 4.5030250055e-04 -1.2668857666e-02 4.6530250055e-04 1.0361782045e+01
38.36082884 1.0366533670e+01 -1.7990857301e-02 -1.2699926001e-02 -1.7985857301e-02 1.0362407059e+01 4.5031564906e-04 -1.2668926001e-02 4.6531564906e-04 1.0361958760e+01
38.77331087 1.0366712442e+01 -1.7990957601e-02 -1.2699995082e-02 -1.7985957601e-02 1.0362585719e+01 4.5032894112e-04 -1.2668995082e-02 4.6532894112e-04 1.0362137405e+01
39.18579290 1.0366893145e+01 -1.7991058985e-02 -1.2700064909e-02 -1.7986058985e-02 1.0362766310e+01 4.5034237677e-04 -1.2669064909e-02 4.6534237677e-04 1.0362317979e+01
39.59827493 1.0367075781e+01 -1.7991161453e-02 -1.2700135482e-02 -1.7986161453e-02 1.0362948831e+01 4.5035595606e-04 -1.2669135482e-02 4.6535595606e-04 1.0362500484e+01
40.01075696 1.0367260348e+01 -1.7991265006e-02 -1.2700206803e-02 -1.7986265006e-02 1.0363133284e+01 4.5036967904e-04 -1.2669206803e-02 4.6536967904e-04 1.0362684921e+01
40.42323900 1.0367446849e+01 -1.7991369643e-02 -1.2700278870e-02 -1.7986369643e-02 1.0363319668e+01 4.5038354576e-04 -1.2669278870e-02 4.6538354576e-04 1.0362871289e+01
