# frequency_cm-1 intensity_x intensity_y intensity_z intensity_total
0.000000000000000000e+00 2.280933632604369519e-06 2.279509765853710217e-06 2.279306310014924881e-06 6.839749708473004617e-06
4.124820305617469818e-01 2.283363568754602600e-06 2.281938185122767306e-06 2.281734512537343666e-06 6.847036266414713148e-06
8.249640611234939636e-01 2.285797389928566590e-06 2.284370486990339887e-06 2.284166597311739401e-06 6.854334474230645454e-06
1.237446091685241001e+00 2.288235104412483693e-06 2.286806679737477333e-06 2.286602572618421998e-06 6.861644356768383447e-06
1.649928122246987927e+00 2.290676720514682400e-06 2.289246771667321330e-06 2.289042446759793683e-06 6.868965938941797836e-06
2.062410152808734853e+00 2.293122246565663985e-06 2.291690771105172368e-06 2.291486228060410829e-06 6.876299245731247182e-06
2.474892183370482002e+00 2.295571690918173230e-06 2.294138686398563014e-06 2.293933924867060612e-06 6.883644302183796433e-06
2.887374213932228706e+00 2.298025061947275930e-06 2.296590525917329057e-06 2.296385545548832163e-06 6.891001133413437150e-06
3.299856244493975854e+00 2.300482368050420725e-06 2.299046298053677697e-06 2.298841098497183904e-06 6.898369764601281479e-06
3.712338275055723003e+00 2.302943617647518299e-06 2.301506011222263354e-06 2.301300592126018515e-06 6.905750220995799320e-06
4.124820305617469707e+00 2.305408819181012528e-06 2.303969673860260513e-06 2.303764034871758315e-06 6.913142527913031780e-06
4.537302336179216411e+00 2.307877981115948671e-06 2.306437294427428948e-06 2.306231435193407946e-06 6.920546710736785142e-06
4.949784366740964003e+00 2.310351111940051715e-06 2.308908881406196302e-06 2.308702801572636111e-06 6.927962794918884128e-06
5.362266397302710708e+00 2.312828220163795413e-06 2.311384443301722465e-06 2.311178142513846300e-06 6.935390805979364179e-06
5.774748427864457412e+00 2.315309314320475549e-06 2.313863988641977503e-06 2.313657466544245826e-06 6.942830769506698454e-06
6.187230458426205004e+00 2.317794402966286595e-06 2.316347525977814074e-06 2.316140782213924594e-06 6.950282711158024839e-06
6.599712488987951708e+00 2.320283494680391170e-06 2.318835063883039433e-06 2.318628098095924562e-06 6.957746656659355165e-06
7.012194519549698413e+00 2.322776598064999659e-06 2.321326610954494197e-06 2.321119422786318515e-06 6.965222631805812371e-06
7.424676550111446005e+00 2.325273721745437553e-06 2.323822175812119269e-06 2.323614764904278672e-06 6.972710662461835495e-06
7.837158580673192709e+00 2.327774874370225492e-06 2.326321767099036726e-06 2.326114133092155887e-06 6.980210774561418528e-06
8.249640611234939414e+00 2.330280064611152535e-06 2.328825393481621815e-06 2.328617536015551219e-06 6.987722994108325569e-06
8.662122641796687006e+00 2.332789301163350276e-06 2.331333063649579190e-06 2.331124982363393015e-06 6.995247347176322904e-06
9.074604672358432822e+00 2.335302592745369498e-06 2.333844786316016177e-06 2.333636480848012720e-06 7.002783859909398394e-06
9.487086702920180414e+00 2.337819948099256408e-06 2.336360570217521973e-06 2.336152040205218990e-06 7.010332558521997794e-06
9.899568733481928007e+00 2.340341375990624212e-06 2.338880424114238373e-06 2.338671669194371810e-06 7.017893469299233971e-06
1.031205076404367382e+01 2.342866885208738661e-06 2.341404356789943205e-06 2.341195376598464229e-06 7.025466618597146095e-06
1.072453279460542142e+01 2.345396484566584973e-06 2.343932377052121900e-06 2.343723171224196479e-06 7.033052032842902929e-06
1.113701482516716901e+01 2.347930182900949142e-06 2.346464493732042880e-06 2.346255061902049244e-06 7.040649738535040842e-06
1.154949685572891482e+01 2.350467989072495870e-06 2.349000715684840144e-06 2.348791057486364545e-06 7.048259762243700135e-06
1.196197888629066242e+01 2.353009911965844796e-06 2.351541051789586537e-06 2.351331166855423675e-06 7.055882130610854585e-06
1.237446091685241001e+01 2.355555960489646308e-06 2.354085510949372100e-06 2.353875398911522159e-06 7.063516870350540143e-06
1.278694294741415582e+01 2.358106143576663282e-06 2.356634102091382842e-06 2.356423762581049370e-06 7.071164008249095493e-06
1.319942497797590342e+01 2.360660470183848582e-06 2.359186834166980787e-06 2.358976266814566888e-06 7.078823571165395834e-06
1.361190700853765101e+01 2.363218949292420027e-06 2.361743716151776820e-06 2.361532920586886844e-06 7.086495586031083267e-06
1.402438903909939683e+01 2.365781589907945515e-06 2.364304757045717081e-06 2.364093732897150696e-06 7.094180079850813292e-06
1.443687106966114442e+01 2.368348401060415020e-06 2.366869965873154963e-06 2.366658712768906312e-06 7.101877079702475872e-06
1.484935310022289201e+01 2.370919391804328265e-06 2.369439351682937514e-06 2.369227869250192667e-06 7.109586612737458022e-06
1.526183513078463783e+01 2.373494571218767558e-06 2.372012923548479547e-06 2.371801211413617354e-06 7.117308706180864035e-06
1.567431716134638542e+01 2.376073948407479965e-06 2.374590690567845804e-06 2.374378748356429421e-06 7.125043387331756036e-06
1.608679919190813123e+01 2.378657532498961156e-06 2.377172661863832696e-06 2.376960489200612975e-06 7.132790683563406404e-06
1.649928122246987883e+01 2.381245332646532916e-06 2.379758846584048347e-06 2.379546443092959600e-06 7.140550622323540015e-06
1.691176325303162642e+01 2.383837358028422761e-06 2.382349253900990943e-06 2.382136619205148825e-06 7.148323231134562952e-06
1.732424528359337401e+01 2.386433617847849494e-06 2.384943893012133860e-06 2.384731026733833250e-06 7.156108537593816604e-06
1.773672731415512160e+01 2.389034121333101125e-06 2.387542773140004862e-06 2.387329674900716478e-06 7.163906569373823313e-06
1.814920934471686564e+01 2.391638877737620427e-06 2.390145903532269534e-06 2.389932572952639506e-06 7.171717354222530315e-06
1.856169137527861324e+01 2.394247896340083285e-06 2.392753293461812596e-06 2.392539730161659502e-06 7.179540919963555383e-06
1.897417340584036083e+01 2.396861186444485513e-06 2.395364952226820488e-06 2.395151155825132816e-06 7.187377294496439240e-06
1.938665543640210842e+01 2.399478757380220365e-06 2.397980889150864382e-06 2.397766859265798407e-06 7.195226505796882731e-06
1.979913746696385601e+01 2.402100618502170009e-06 2.400601113582985305e-06 2.400386849831862555e-06 7.203088581917017869e-06
2.021161949752560361e+01 2.404726779190778795e-06 2.403225634897772495e-06 2.403011136897078473e-06 7.210963550985629764e-06
2.062410152808734765e+01 2.407357248852146433e-06 2.405854462495453182e-06 2.405639729860834406e-06 7.218851441208434444e-06
2.103658355864909524e+01 2.409992036918107187e-06 2.408487605801975172e-06 2.408272638148235363e-06 7.226752280868317722e-06
2.144906558921084283e+01 2.412631152846313732e-06 2.411125074269086475e-06 2.410909871210187827e-06 7.234666098325588458e-06
2.186154761977259042e+01 2.415274606120326940e-06 2.413766877374427627e-06 2.413551438523484875e-06 7.242592922018238594e-06
2.227402965033433802e+01 2.417922406249695500e-06 2.416413024621611309e-06 2.416197349590891735e-06 7.250532780462198967e-06
2.268651168089608561e+01 2.420574562770045283e-06 2.419063525540310021e-06 2.418847613941230483e-06 7.258485702251584940e-06
2.309899371145782965e+01 2.423231085243163617e-06 2.421718389686343321e-06 2.421502241129466869e-06 7.266451716058974231e-06
2.351147574201957724e+01 2.425891983257083995e-06 2.424377626641759144e-06 2.424161240736794595e-06 7.274430850635638157e-06
2.392395777258132483e+01 2.428557266426176705e-06 2.427041246014926123e-06 2.426824622370723404e-06 7.282423134811826232e-06
2.433643980314307242e+01 2.431226944391231838e-06 2.429709257440615337e-06 2.429492395665166752e-06 7.290428597497014351e-06
2.474892183370482002e+01 2.433901026819548230e-06 2.432381670580091781e-06 2.432164570280524391e-06 7.298447267680164825e-06
2.516140386426656761e+01 2.436579523405020703e-06 2.435058495121198227e-06 2.434841155903776390e-06 7.306479174429995744e-06
2.557388589482831165e+01 2.439262443868226890e-06 2.437739740778444163e-06 2.437522162248564875e-06 7.314524346895235928e-06
2.598636792539005924e+01 2.441949797956516592e-06 2.440425417293094729e-06 2.440207599055285507e-06 7.322582814304895980e-06
2.639884995595180683e+01 2.444641595444101565e-06 2.443115534433261351e-06 2.442897476091176844e-06 7.330654605968539336e-06
2.681133198651355443e+01 2.447337846132140652e-06 2.445810101993982633e-06 2.445591803150405046e-06 7.338739751276528754e-06
2.722381401707530202e+01 2.450038559848832523e-06 2.448509129797323882e-06 2.448290590054157048e-06 7.346838279700312606e-06
2.763629604763704606e+01 2.452743746449505047e-06 2.451212627692458849e-06 2.450993846650728649e-06 7.354950220792692545e-06
2.804877807819879365e+01 2.455453415816699990e-06 2.453920605555762051e-06 2.453701582815612184e-06 7.363075604188074225e-06
2.846126010876054124e+01 2.458167577860271271e-06 2.456633073290899833e-06 2.456413808451590541e-06 7.371214459602762068e-06
2.887374213932228884e+01 2.460886242517471785e-06 2.459350040828922690e-06 2.459130533488827372e-06 7.379366816835221847e-06
2.928622416988403643e+01 2.463609419753039798e-06 2.462071518128347856e-06 2.461851767884951372e-06 7.387532705766339026e-06
2.969870620044578402e+01 2.466337119559300169e-06 2.464797515175262215e-06 2.464577521625158772e-06 7.395712156359721156e-06
3.011118823100752806e+01 2.469069351956246935e-06 2.467528041983405313e-06 2.467307804722294227e-06 7.403905198661946051e-06
3.052367026156927565e+01 2.471806126991638603e-06 2.470263108594263801e-06 2.470042627216948651e-06 7.412111862802850631e-06
3.093615229213102324e+01 2.474547454741094711e-06 2.473002725077166727e-06 2.472781999177551966e-06 7.420332178995813827e-06
3.134863432269277084e+01 2.477293345308180107e-06 2.475746901529372357e-06 2.475525930700462041e-06 7.428566177538014928e-06
3.176111635325451843e+01 2.480043808824504479e-06 2.478495648076165581e-06 2.478274431910059136e-06 7.436813888810728349e-06
3.217359838381626247e+01 2.482798855449815523e-06 2.481248974870951514e-06 2.481027512958842464e-06 7.445075343279609925e-06
3.258608041437801006e+01 2.485558495372087039e-06 2.484006892095345279e-06 2.483785184027518282e-06 7.453350571494951024e-06
