# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 4.163882615207102644e-05
4.124820305617469818e-01 4.168318504418165181e-05
8.249640611234939636e-01 4.172761485805229876e-05
1.237446091685241001e+00 4.177211574494934328e-05
1.649928122246987927e+00 4.181668785654273529e-05
2.062410152808734853e+00 4.186133134490715063e-05
2.474892183370482002e+00 4.190604636252335982e-05
2.887374213932228706e+00 4.195083306227959010e-05
3.299856244493975854e+00 4.199569159747267065e-05
3.712338275055723003e+00 4.204062212180948945e-05
4.124820305617469707e+00 4.208562478940827402e-05
4.537302336179216411e+00 4.213069975479984499e-05
4.949784366740964003e+00 4.217584717292904595e-05
5.362266397302710708e+00 4.222106719915601057e-05
5.774748427864457412e+00 4.226635998925749074e-05
6.187230458426205004e+00 4.231172569942821864e-05
6.599712488987951708e+00 4.235716448628227551e-05
7.012194519549698413e+00 4.240267650685444013e-05
7.424676550111446005e+00 4.244826191860150345e-05
7.837158580673192709e+00 4.249392087940363056e-05
8.249640611234939414e+00 4.253965354756579731e-05
8.662122641796687006e+00 4.258546008181909133e-05
9.074604672358432822e+00 4.263134064132211471e-05
9.487086702920180414e+00 4.267729538566240026e-05
9.899568733481928007e+00 4.272332447485767865e-05
1.031205076404367382e+01 4.276942806935746407e-05
1.072453279460542142e+01 4.281560633004429428e-05
1.113701482516716901e+01 4.286185941823516718e-05
1.154949685572891482e+01 4.290818749568301127e-05
1.196197888629066242e+01 4.295459072457804086e-05
1.237446091685241001e+01 4.300106926754917238e-05
1.278694294741415582e+01 4.304762328766550153e-05
1.319942497797590342e+01 4.309425294843767892e-05
1.361190700853765101e+01 4.314095841381936016e-05
1.402438903909939683e+01 4.318773984820868986e-05
1.443687106966114442e+01 4.323459741644965692e-05
1.484935310022289201e+01 4.328153128383366657e-05
1.526183513078463783e+01 4.332854161610089565e-05
1.567431716134638542e+01 4.337562857944176985e-05
1.608679919190813123e+01 4.342279234049852221e-05
1.649928122246987883e+01 4.347003306636654842e-05
1.691176325303162642e+01 4.351735092459596533e-05
