# frequency_cm-1 Raman_activity
0.000000000000000000e+00 1.205963231445437285e-05
2.021911321999999789e+00 1.207898215161007298e-05
4.043822643999999578e+00 1.209838853366900513e-05
6.065733965999999810e+00 1.211785171431438943e-05
8.087645287999999155e+00 1.213737194876779167e-05
1.010955660999999850e+01 1.215694949380072935e-05
1.213146793199999962e+01 1.217658460774638614e-05
1.415337925399999897e+01 1.219627755051145173e-05
1.617529057599999831e+01 1.221602858358805140e-05
1.819720189799999943e+01 1.223583797006577561e-05
2.021911321999999700e+01 1.225570597464384848e-05
2.224102454199999812e+01 1.227563286364337079e-05
2.426293586399999924e+01 1.229561890501969006e-05
2.628484718599999681e+01 1.231566436837489764e-05
2.830675850799999793e+01 1.233576952497039874e-05
3.032866982999999550e+01 1.235593464773963822e-05
3.235058115199999662e+01 1.237616001130091785e-05
3.437249247399999774e+01 1.239644589197033907e-05
3.639440379599999886e+01 1.241679256777485568e-05
3.841631511799999288e+01 1.243720031846546557e-05
4.043822643999999400e+01 1.245766942553047864e-05
4.246013776199999512e+01 1.247820017220897278e-05
4.448204908399999624e+01 1.249879284350430908e-05
4.650396040599999736e+01 1.251944772619780978e-05
4.852587172799999848e+01 1.254016510886254961e-05
5.054778304999999250e+01 1.256094528187726241e-05
5.256969437199999362e+01 1.258178853744040525e-05
5.459160569399999474e+01 1.260269516958432250e-05
5.661351701599999586e+01 1.262366547418955904e-05
5.863542833799999698e+01 1.264469974899928857e-05
6.065733965999999100e+01 1.266579829363390292e-05
6.267925098199999212e+01 1.268696140960570979e-05
6.470116230399999324e+01 1.270818940033376764e-05
6.672307362599998726e+01 1.272948257115889347e-05
6.874498494799999548e+01 1.275084122935876368e-05
7.076689626999998950e+01 1.277226568416318272e-05
7.278880759199999773e+01 1.279375624676949058e-05
7.481071891399999174e+01 1.281531323035810421e-05
7.683263023599998576e+01 1.283693695010822653e-05
7.885454155799999398e+01 1.285862772321367750e-05
8.087645287999998800e+01 1.288038586889888782e-05
8.289836420199999623e+01 1.290221170843503148e-05
8.492027552399999024e+01 1.292410556515634134e-05
8.694218684599998426e+01 1.294606776447652970e-05
8.896409816799999248e+01 1.296809863390540198e-05
9.098600948999998650e+01 1.299019850306561956e-05
9.300792081199999473e+01 1.301236770370960818e-05
9.502983213399998874e+01 1.303460656973663417e-05
9.705174345599999697e+01 1.305691543721006192e-05
9.907365477799999098e+01 1.307929464437473153e-05
1.010955660999999850e+02 1.310174453167455007e-05
1.031174774219999932e+02 1.312426544177021655e-05
1.051393887439999872e+02 1.314685771955712651e-05
1.071613000659999955e+02 1.316952171218346634e-05
1.091832113879999895e+02 1.319225776906843465e-05
1.112051227099999835e+02 1.321506624192069744e-05
1.132270340319999917e+02 1.323794748475696858e-05
1.152489453539999857e+02 1.326090185392080381e-05
1.172708566759999940e+02 1.328392970810155901e-05
1.192927679979999880e+02 1.330703140835352470e-05
1.213146793199999820e+02 1.333020731811528240e-05
1.233365906419999902e+02 1.335345780322918304e-05
1.253585019639999842e+02 1.337678323196108787e-05
1.273804132859999925e+02 1.340018397502024836e-05
1.294023246079999865e+02 1.342366040557939442e-05
1.314242359299999805e+02 1.344721289929502588e-05
1.334461472519999745e+02 1.347084183432789045e-05
1.354680585739999970e+02 1.349454759136367326e-05
1.374899698959999910e+02 1.351833055363387626e-05
1.395118812179999850e+02 1.354219110693690594e-05
1.415337925399999790e+02 1.356612963965937286e-05
1.435557038619999730e+02 1.359014654279759436e-05
1.455776151839999955e+02 1.361424220997931253e-05
1.475995265059999895e+02 1.363841703748561713e-05
1.496214378279999835e+02 1.366267142427309715e-05
1.516433491499999775e+02 1.368700577199621098e-05
1.536652604719999715e+02 1.371142048502985305e-05
1.556871717939999940e+02 1.373591597049218477e-05
1.577090831159999880e+02 1.376049263826765181e-05
1.597309944379999820e+02 1.378515090103025204e-05
1.617529057599999760e+02 1.380989117426703907e-05
1.637748170819999700e+02 1.383471387630183745e-05
1.657967284039999925e+02 1.385961942831921707e-05
1.678186397259999865e+02 1.388460825438869801e-05
1.698405510479999805e+02 1.390968078148918911e-05
1.718624623699999745e+02 1.393483743953368406e-05
1.738843736919999685e+02 1.396007866139420655e-05
1.759062850139999910e+02 1.398540488292698406e-05
1.779281963359999850e+02 1.401081654299791137e-05
1.799501076579999790e+02 1.403631408350822922e-05
1.819720189799999730e+02 1.406189794942049603e-05
1.839939303019999670e+02 1.408756858878480186e-05
1.860158416239999895e+02 1.411332645276526533e-05
1.880377529459999835e+02 1.413917199566676933e-05
1.900596642679999775e+02 1.416510567496200513e-05
1.920815755899999715e+02 1.419112795131876542e-05
1.941034869119999939e+02 1.421723928862752205e-05
1.961253982339999880e+02 1.424344015402928325e-05
1.981473095559999820e+02 1.426973101794375406e-05
2.001692208779999760e+02 1.429611235409774415e-05
2.021911321999999700e+02 1.432258463955390932e-05
2.042130435219999924e+02 1.434914835473976240e-05
2.062349548439999865e+02 1.437580398347699074e-05
2.082568661659999805e+02 1.440255201301108032e-05
2.102787774879999745e+02 1.442939293404121944e-05
2.123006888099999685e+02 1.445632724075055643e-05
2.143226001319999909e+02 1.448335543083672159e-05
2.163445114539999850e+02 1.451047800554270160e-05
2.183664227759999790e+02 1.453769546968801366e-05
2.203883340979999730e+02 1.456500833170020501e-05
2.224102454199999670e+02 1.459241710364670302e-05
2.244321567419999894e+02 1.461992230126695164e-05
2.264540680639999835e+02 1.464752444400493068e-05
2.284759793859999775e+02 1.467522405504198682e-05
2.304978907079999715e+02 1.470302166133001526e-05
