# frequency_cm-1 intensity_normalized
0.000000000000000000e+00 9.115951514297246445e-06
1.210521604444432020e+00 9.132543251100159632e-06
2.421043208888864040e+00 9.149180326389261188e-06
3.631564813333295838e+00 9.165862905503562990e-06
4.842086417777728080e+00 9.182591154536451234e-06
6.052608022222160322e+00 9.199365240339831814e-06
7.263129626666591676e+00 9.216185330528272316e-06
8.473651231111023918e+00 9.233051593483203296e-06
9.684172835555456160e+00 9.249964198357129731e-06
1.089469443999988840e+01 9.266923315077864491e-06
1.210521604444432064e+01 9.283929114352809241e-06
1.331573764888875289e+01 9.300981767673235345e-06
1.452625925333318335e+01 9.318081447318630843e-06
1.573678085777761559e+01 9.335228326361022009e-06
1.694730246222204784e+01 9.352422578669371148e-06
1.815782406666648185e+01 9.369664378913979472e-06
1.936834567111091232e+01 9.386953902570923861e-06
2.057886727555534279e+01 9.404291325926522418e-06
2.178938887999977680e+01 9.421676826081827133e-06
2.299991048444420727e+01 9.439110580957141958e-06
2.421043208888864129e+01 9.456592769296586618e-06
2.542095369333307175e+01 9.474123570672662119e-06
2.663147529777750577e+01 9.491703165490875550e-06
2.784199690222193624e+01 9.509331734994373351e-06
2.905251850666636670e+01 9.527009461268616937e-06
3.026304011111080072e+01 9.544736527246088810e-06
3.147356171555523119e+01 9.562513116711007148e-06
3.268408331999966521e+01 9.580339414304111538e-06
3.389460492444409567e+01 9.598215605527447020e-06
3.510512652888852614e+01 9.616141876749183704e-06
3.631564813333296371e+01 9.634118415208485514e-06
3.752616973777739418e+01 9.652145409020395877e-06
3.873669134222182464e+01 9.670223047180753900e-06
3.994721294666625511e+01 9.688351519571157983e-06
4.115773455111068557e+01 9.706531016963939598e-06
4.236825615555512314e+01 9.724761731027191275e-06
4.357877775999955361e+01 9.743043854329814919e-06
4.478929936444398408e+01 9.761377580346602314e-06
4.599982096888841454e+01 9.779763103463374918e-06
4.721034257333285211e+01 9.798200618982103331e-06
4.842086417777728258e+01 9.816690323126121630e-06
4.963138578222171304e+01 9.835232413045331539e-06
5.084190738666614351e+01 9.853827086821464196e-06
5.205242899111057397e+01 9.872474543473375806e-06
5.326295059555501155e+01 9.891174982962356842e-06
5.447347219999944201e+01 9.909928606197514092e-06
5.568399380444387248e+01 9.928735615041149319e-06
5.689451540888830294e+01 9.947596212314193824e-06
5.810503701333273341e+01 9.966510601801687055e-06
5.931555861777717098e+01 9.985478988258272157e-06
6.052608022222160145e+01 1.000450157741373387e-05
6.173660182666603191e+01 1.002357857597858557e-05
6.294712343111046238e+01 1.004271019164968848e-05
6.415764503555489284e+01 1.006189663311588610e-05
6.536816663999933041e+01 1.008113811006371667e-05
6.657868824444376799e+01 1.010043483318312719e-05
6.778920984888819135e+01 1.011978701417324511e-05
6.899973145333262892e+01 1.013919486574818733e-05
7.021025305777705228e+01 1.015865860164290129e-05
7.142077466222148985e+01 1.017817843661906201e-05
7.263129626666592742e+01 1.019775458647097088e-05
7.384181787111035078e+01 1.021738726803154412e-05
7.505233947555478835e+01 1.023707669917830474e-05
7.626286107999921171e+01 1.025682309883943033e-05
7.747338268444364928e+01 1.027662668699983306e-05
7.868390428888808685e+01 1.029648768470730916e-05
7.989442589333251021e+01 1.031640631407867142e-05
8.110494749777694778e+01 1.033638279830598844e-05
8.231546910222137114e+01 1.035641736166282387e-05
8.352599070666580872e+01 1.037651022951052818e-05
8.473651231111024629e+01 1.039666162830458633e-05
8.594703391555466965e+01 1.041687178560099083e-05
8.715755551999910722e+01 1.043714093006268257e-05
8.836807712444353058e+01 1.045746929146598324e-05
